"Student Number","School Subject","Mark","University Subject","Mark"
"4737888","","","Chemistry 171","40"
"","","","Mechanics 122","40"
"","","","Materials science 123","80"
"","","","Workshop practice 121","77"
"","Accounting","70","",""
"","Afrikaans 1st Add Language","79","",""
"","Computer Applic Technology","77","",""
"","Life Orientation","80","",""
"","Mathematics","80","",""
"","Physical Sciences","86","",""
"2346756","","","Chemistry 171","58"
"","","","Calculus 158","52"
"","","","Linear algebra 161","50"
"","","","Materials science 113","71"
"","Accounting","60","",""
"","English","52","",""
"","Life Orientation","60","",""
"","Mathematics","59","",""
"","Physical Sciences","60","",""
