"HOUSEHOLD DATA
ANNUAL AVERAGES 
6. Employment status of the Hispanic or Latino population by sex, age, and detailed ethnic group","","","","","","","",""
"[Numbers in thousands]","","","","","","","",""
"","","","","","","","",""
"Employment status, sex, and age","Hispanic or Latino ethnicity","","","","","","",""
"","Total(1)","","Mexican","","Puerto Rican","","Cuban",""
"","2022","2023","2022","2023","2022","2023","2022","2023"
"","","","","","","","",""
"TOTAL","","","","","","","",""
"Civilian noninstitutional population","46171","47532","27692","28167","4175","4223","2188","2230"
"Civilian labor force","30601","31818","18422","18890","2449","2553","1394","1427"
"Participation rate","66.3","66.9","66.5","67.1","58.7","60.5","63.7","64"
"Employed","29299","30343","17626","18014","2310","2421","1352","1379"
"Employment-population ratio","63.5","63.8","63.6","64","55.3","57.3","61.8","61.8"
"Unemployed","1302","1475","796","876","139","133","42","48"
"Unemployment rate","4.3","4.6","4.3","4.6","5.7","5.2","3","3.4"
"Not in labor force","15570","15714","9271","9277","1725","1670","793","803"
"","","","","","","","",""
"Men, 16 years and over","","","","","","","",""
"Civilian noninstitutional population","23084","23835","14048","14324","2002","2037","1120","1160"
"Civilian labor force","17368","17911","10713","10835","1275","1323","785","812"
"Participation rate","75.2","75.1","76.3","75.6","63.7","64.9","70.1","70"
"Employed","16654","17071","10265","10323","1196","1258","761","780"
"Employment-population ratio","72.1","71.6","73.1","72.1","59.7","61.7","68","67.2"
"Unemployed","715","839","448","512","79","65","24","33"
"Unemployment rate","4.1","4.7","4.2","4.7","6.2","4.9","3.1","4"
"Not in labor force","5716","5924","3335","3490","728","714","334","347"
"","","","","","","","",""
"Men, 20 years and over","","","","","","","",""
"Civilian noninstitutional population","20919","21599","12608","12854","1837","1882","1055","1087"
"Civilian labor force","16623","17116","10198","10315","1225","1281","765","788"
"Participation rate","79.5","79.2","80.9","80.2","66.7","68.1","72.5","72.5"
"Employed","15997","16386","9812","9878","1156","1221","743","757"
"Employment-population ratio","76.5","75.9","77.8","76.8","62.9","64.9","70.4","69.7"
"Unemployed","626","730","386","436","68","61","22","31"
"Unemployment rate","3.8","4.3","3.8","4.2","5.6","4.7","2.9","3.9"
"Not in labor force","4296","4483","2410","2540","613","600","290","299"
"","","","","","","","",""
"Women, 16 years and over","","","","","","","",""
"Civilian noninstitutional population","23087","23697","13644","13843","2172","2186","1068","1070"
"Civilian labor force","13233","13907","7709","8055","1175","1230","609","614"
"Participation rate","57.3","58.7","56.5","58.2","54.1","56.3","57","57.4"
"Employed","12646","13271","7361","7692","1114","1163","591","599"
"Employment-population ratio","54.8","56","53.9","55.6","51.3","53.2","55.4","56"
"Unemployed","587","635","348","364","61","68","18","15"
"Unemployment rate","4.4","4.6","4.5","4.5","5.2","5.5","2.9","2.5"
"Not in labor force","9854","9790","5935","5787","998","955","459","456"
"","","","","","","","",""
"Women, 20 years and over","","","","","","","",""
"Civilian noninstitutional population","20984","21544","12261","12460","1978","1993","1022","1010"
"Civilian labor force","12562","13205","7260","7590","1118","1176","597","599"
"Participation rate","59.9","61.3","59.2","60.9","56.5","59","58.4","59.3"
"Employed","12049","12649","6962","7280","1062","1115","581","584"
"Employment-population ratio","57.4","58.7","56.8","58.4","53.7","55.9","56.9","57.9"
"Unemployed","513","557","298","310","56","61","16","15"
"Unemployment rate","4.1","4.2","4.1","4.1","5","5.2","2.6","2.5"
"Not in labor force","8421","8339","5002","4871","860","817","425","411"
"","","","","","","","",""
"Both sexes, 16 to 19 years","","","","","","","",""
"Civilian noninstitutional population","4269","4389","2823","2852","359","348","111","134"
"Civilian labor force","1416","1496","964","986","107","96","33","40"
"Participation rate","33.2","34.1","34.1","34.6","29.8","27.6","29.4","30"
"Employed","1253","1308","852","856","92","85","28","38"
"Employment-population ratio","29.3","29.8","30.2","30","25.6","24.5","25.3","28.2"
"Unemployed","163","188","112","130","15","11","4","2"
"Unemployment rate","11.5","12.6","11.6","13.2","14","11.3","–","5.9"
"Not in labor force","2852","2892","1859","1866","252","252","78","94"
"","","","","","","","",""
"Footnotes:","","","","","","","",""
"(1) Includes persons of Central or South American origin and of other Hispanic or Latino ethnicity, not shown separately.","","","","","","","",""
"NOTE: Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 35,000).","","","","","","","",""
