"Category","Hispanic or Latino ethnicity","","","","","","",""
"","Total(1)","","Mexican","","Puerto Rican","","Cuban",""
"","2022","2023","2022","2023","2022","2023","2022","2023"
"","","","","","","","",""
"Total, 16 years and over","29299","30343","17626","18014","2310","2421","1352","1379"
"Men","16654","17071","10265","10323","1196","1258","761","780"
"Women","12646","13271","7361","7692","1114","1163","591","599"
"","","","","","","","",""
"OCCUPATION","","","","","","","",""
"Management, professional, and related occupations","7414","7884","4027","4245","773","874","454","499"
"Management, business, and financial operations occupations","3321","3606","1803","1984","360","383","177","205"
"Management occupations","2316","2528","1246","1394","261","273","130","133"
"Business and financial operations occupations","1005","1078","557","590","99","110","46","72"
"Professional and related occupations","4093","4279","2224","2261","413","491","277","294"
"Computer and mathematical occupations","532","572","255","268","55","69","45","44"
"Architecture and engineering occupations","355","364","203","201","29","37","16","17"
"Life, physical, and social science occupations","151","185","80","93","11","27","4","11"
"Community and social service occupations","416","417","236","251","45","60","23","13"
"Legal occupations","202","184","93","79","13","15","27","21"
"Education, training, and library occupations","1083","1141","626","641","108","123","52","53"
"Arts, design, entertainment, sports, and media occupations","438","451","232","234","41","39","24","26"
"Healthcare practitioners and technical occupations","915","963","497","493","110","121","86","108"
"Service occupations","6701","7147","4085","4271","424","472","242","234"
"Healthcare support occupations","1050","1088","623","654","84","94","59","56"
"Protective service occupations","450","500","269","309","61","65","30","27"
"Food preparation and serving related occupations","2224","2423","1431","1525","132","133","58","57"
"Building and grounds cleaning and maintenance occupations","2250","2301","1395","1346","76","99","58","57"
"Personal care and service occupations","727","834","368","437","71","80","37","38"
"Sales and office occupations","5426","5336","3177","3192","536","512","297","238"
"Sales and related occupations","2489","2378","1448","1422","223","204","144","116"
"Office and administrative support occupations","2937","2958","1730","1770","314","308","153","121"
"Natural resources, construction, and maintenance occupations","4881","4949","3230","3230","202","187","131","154"
"Farming, fishing, and forestry occupations","438","441","382","369","5","5","3","4"
"Construction and extraction occupations","3396","3454","2213","2188","104","104","78","110"
"Installation, maintenance, and repair occupations","1047","1054","635","673","93","77","49","40"
"Production, transportation, and material moving occupations","4877","5026","3107","3076","375","376","229","254"
"Production occupations","2007","2121","1331","1350","137","136","60","83"
"Transportation and material moving occupations","2870","2905","1776","1726","238","239","169","171"
"","","","","","","","",""
"CLASS OF WORKER(2)","","","","","","","",""
"Agriculture","","","","","","","",""
"Wage and salary workers(3)","535","554","466","469","7","7","7","4"
"Self-employed workers, unincorporated","26","20","21","15","1","1","0","1"
"Nonagricultural industries","","","","","","","",""
"Wage and salary workers(3)","26780","27827","15976","16368","2213","2324","1249","1293"
"Government","2775","2876","1687","1786","320","332","127","111"
"Private industries","24005","24951","14289","14582","1893","1992","1121","1182"
"Private households","286","302","139","147","6","4","9","5"
"Other industries","23719","24649","14150","14435","1888","1988","1112","1177"
"Self-employed workers, unincorporated","1948","1927","1153","1154","88","88","97","82"
"","","","","","","","",""
"FULL- OR PART-TIME STATUS(4)","","","","","","","",""
"Full-time workers","24581","25318","14793","14979","1936","2039","1187","1235"
"Part-time workers","4719","5024","2833","3035","375","382","165","144"
