"Age and sex","2023","","","","","","","","","","",""
"","Agriculture and related industries","","","","Nonagricultural industries","","","","","","",""
"","Total","Wage and
salary
workers(1)","Self-
employed
workers,
unincor-
porated","Unpaid
family
workers","Total","Wage and salary workers(1)","","","","","Self-
employed
workers,
unincor-
porated","Unpaid
family
workers"
"","","","","","","Total","Private industries","","","Govern-
ment","",""
"","","","","","","","Total","Private
household
workers","Other
private
industries","","",""
"","","","","","","","","","","","",""
"Men, 16 years and over","1601","1092","495","14","83899","78523","69190","54","69136","9333","5355","20"
"16 to 19 years","66","52","5","8","2737","2673","2562","2","2560","110","56","7"
"16 to 17 years","35","25","4","7","996","973","936","2","934","37","21","3"
"18 to 19 years","30","28","2","1","1740","1700","1626","0","1626","74","35","5"
"20 to 24 years","110","94","13","2","7331","7139","6670","3","6667","469","190","1"
"25 to 34 years","255","217","37","0","18861","18008","16054","11","16042","1955","852","1"
"35 to 44 years","335","263","72","1","18719","17582","15279","11","15268","2303","1135","2"
"45 to 54 years","264","196","68","0","16729","15497","13339","10","13329","2158","1229","2"
"55 to 64 years","291","174","115","2","13861","12782","11045","11","11034","1737","1076","4"
"65 years and over","281","95","185","1","5661","4842","4241","6","4235","600","816","3"
"","","","","","","","","","","","",""
"Total, 16 years and over","2264","1531","698","35","158772","149692","128154","673","127481","21538","9030","50"
"16 to 19 years","101","75","10","16","5546","5443","5197","29","5168","246","95","9"
"16 to 17 years","50","35","6","10","2124","2086","2012","14","1998","74","35","3"
"18 to 19 years","50","41","4","6","3423","3357","3185","15","3170","172","60","6"
"20 to 24 years","162","138","20","4","14563","14239","13053","75","12978","1186","318","6"
"25 to 34 years","370","313","54","2","35468","34038","29697","109","29588","4341","1427","3"
"35 to 44 years","457","354","100","3","34943","32962","27781","118","27662","5181","1973","8"
"45 to 54 years","373","280","90","3","31613","29525","24341","135","24206","5183","2078","10"
"55 to 64 years","405","238","162","6","26157","24332","20263","133","20129","4069","1818","7"
"65 years and over","397","133","262","1","10482","9154","7822","74","7748","1332","1321","8"
"","","","","","","","","","","","",""
"Women, 16 years and over","663","439","203","20","74874","71169","58964","619","58345","12205","3675","30"
"16 to 19 years","35","23","4","8","2810","2770","2634","26","2608","135","39","1"
"16 to 17 years","15","10","2","3","1127","1113","1076","11","1064","37","14","0"
"18 to 19 years","20","13","2","5","1682","1657","1559","15","1544","98","25","1"
"20 to 24 years","52","44","7","1","7233","7100","6384","72","6311","716","128","5"
"25 to 34 years","115","96","17","2","16607","16030","13644","98","13546","2387","574","2"
"35 to 44 years","121","91","28","2","16223","15379","12502","108","12394","2877","839","6"
"45 to 54 years","109","84","22","3","14884","14027","11002","125","10877","3026","849","8"
"55 to 64 years","114","64","47","4","12296","11551","9218","123","9096","2332","742","3"
"65 years and over","116","38","78","0","4821","4312","3581","68","3513","732","504","5"
