"HOUSEHOLD DATA
ANNUAL AVERAGES
16. Employed persons in nonagricultural industries by sex and class of worker","","","","","",""
"[In thousands]","","","","","",""
"","","","","","",""
"Industry and sex","2023","","","","",""
"","Total
employed","Wage and salary workers(1)","","","Self-
employed
workers,
unincor-
porated","Unpaid
family
workers"
"","","Total","Private
industries","Government","",""
"","","","","","",""
"TOTAL","","","","","",""
"Total, nonagricultural industries","158772","149692","128154","21538","9030","50"
"Mining, quarrying, and oil and gas extraction","590","579","576","3","11","0"
"Construction","11896","10326","9956","370","1562","8"
"Manufacturing","15570","15259","15144","115","308","2"
"Durable goods","10065","9864","9770","93","199","2"
"Nondurable goods","5506","5396","5374","22","110","0"
"Wholesale and retail trade","19787","19019","18937","83","759","9"
"Wholesale trade","3259","3164","3152","12","94","0"
"Retail trade","16528","15855","15785","70","664","9"
"Transportation and utilities","9949","9264","7990","1274","684","2"
"Transportation and warehousing","8452","7778","6828","950","673","2"
"Utilities","1497","1486","1162","324","–","–"
"Information","2971","2831","2680","151","140","0"
"Financial activities","11018","10249","10051","198","765","4"
"Finance and insurance","7746","7516","7396","119","231","0"
"Real estate and rental and leasing","3272","2733","2654","79","535","4"
"Professional and business services","20735","18805","18284","521","1923","8"
"Professional and technical services","13726","12682","12370","313","1041","3"
"Management, administrative, and waste services","7009","6122","5915","208","881","5"
"Education and health services","36378","35380","24980","10400","990","8"
"Educational services","14029","13834","5124","8710","195","0"
"Health care and social assistance","22348","21546","19856","1689","795","8"
"Hospitals","7467","7453","6651","802","14","0"
"Health services, except hospitals","11201","10764","10361","403","435","2"
"Social assistance","3680","3329","2845","484","345","5"
"Leisure and hospitality","14288","13531","13123","408","753","4"
"Arts, entertainment, and recreation","3529","3030","2702","328","499","0"
"Accommodation and food services","10759","10501","10421","80","254","4"
"Other services","7605","6464","6432","32","1136","5"
"Other services, except private households","6932","5791","5759","32","1136","5"
"Private households","673","673","673","–","–","–"
"Public administration","7984","7984","–","7984","–","–"
"","","","","","",""
"Men","","","","","",""
"Total, nonagricultural industries","83899","78523","69190","9333","5355","20"
"Mining, quarrying, and oil and gas extraction","500","492","491","2","8","0"
"Construction","10610","9153","8828","325","1454","3"
"Manufacturing","10971","10781","10691","90","189","2"
"Durable goods","7472","7327","7253","74","142","2"
"Nondurable goods","3500","3453","3438","15","46","0"
"Wholesale and retail trade","10877","10471","10435","37","401","5"
"Wholesale trade","2227","2158","2152","6","69","0"
"Retail trade","8650","8313","8282","31","331","5"
"Transportation and utilities","7530","6964","6086","878","565","0"
"Transportation and warehousing","6348","5793","5174","619","555","0"
"Utilities","1182","1171","913","259","–","–"
"Information","1833","1734","1698","36","100","0"
"Financial activities","5384","4951","4864","87","430","2"
"Finance and insurance","3659","3489","3438","51","169","0"
"Real estate and rental and leasing","1725","1462","1426","37","261","2"
"Professional and business services","11980","10894","10577","317","1082","4"
"Professional and technical services","7870","7303","7118","185","567","0"
"Management, administrative, and waste services","4110","3591","3459","132","516","3"
"Education and health services","9322","9097","6091","3007","223","2"
"Educational services","4365","4299","1722","2578","66","0"
"Health care and social assistance","4957","4798","4369","429","157","2"
"Hospitals","1896","1893","1648","245","3","0"
"Health services, except hospitals","2453","2324","2228","96","128","1"
"Social assistance","608","581","494","87","26","1"
"Leisure and hospitality","7027","6616","6391","225","410","1"
"Arts, entertainment, and recreation","1974","1698","1502","197","276","0"
"Accommodation and food services","5052","4918","4889","29","134","1"
"Other services","3551","3055","3038","17","494","1"
"Other services, except private households","3496","3001","2984","17","494","1"
"Private households","54","54","54","–","–","–"
"Public administration","4313","4313","–","4313","–","–"
"","","","","","",""
"Women","","","","","",""
"Total, nonagricultural industries","74874","71169","58964","12205","3675","30"
"Mining, quarrying, and oil and gas extraction","90","87","85","1","3","0"
"Construction","1287","1173","1128","45","108","5"
"Manufacturing","4599","4478","4453","26","120","0"
"Durable goods","2593","2536","2517","19","56","0"
"Nondurable goods","2006","1942","1936","6","64","0"
"Wholesale and retail trade","8910","8548","8502","46","358","4"
"Wholesale trade","1032","1006","1000","7","25","0"
"Retail trade","7878","7542","7502","39","333","4"
"Transportation and utilities","2420","2300","1904","396","118","1"
"Transportation and warehousing","2104","1985","1654","331","118","1"
"Utilities","315","315","250","65","–","–"
"Information","1138","1098","982","115","40","0"
"Financial activities","5634","5297","5187","111","335","2"
"Finance and insurance","4088","4027","3958","69","61","0"
"Real estate and rental and leasing","1546","1271","1229","42","274","1"
"Professional and business services","8756","7911","7707","204","841","4"
"Professional and technical services","5857","5380","5251","128","475","2"
"Management, administrative, and waste services","2899","2531","2456","76","366","2"
"Education and health services","27056","26283","18890","7393","767","6"
"Educational services","9664","9535","3402","6133","129","0"
"Health care and social assistance","17391","16748","15488","1260","638","6"
"Hospitals","5571","5560","5003","557","11","0"
"Health services, except hospitals","8749","8440","8133","307","307","2"
"Social assistance","3072","2748","2351","397","319","4"
"Leisure and hospitality","7261","6915","6733","182","343","3"
"Arts, entertainment, and recreation","1555","1332","1201","131","222","0"
"Accommodation and food services","5706","5583","5532","51","121","3"
"Other services","4055","3409","3394","15","641","4"
"Other services, except private households","3436","2790","2775","15","641","4"
"Private households","619","619","619","–","–","–"
"Public administration","3670","3670","–","3670","–","–"
"","","","","","",""
"Footnotes:","","","","","",""
"(1) Includes self-employed workers whose businesses are incorporated.","","","","","",""
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).","","","","","",""
