"Occupation","Total unemployed","","Unemployment rates","","","","",""
"","2022","2023","Total","","Men","","Women",""
"","","","2022","2023","2022","2023","2022","2023"
"","","","","","","","",""
"Total, 16 years and over(1)","5996","6080","3.6","3.6","3.7","3.8","3.6","3.5"
"","","","","","","","",""
"Management, professional, and related occupations","1355","1432","2","2","1.8","2","2.1","2"
"Management, business, and financial operations occupations","530","604","1.8","1.9","1.6","1.9","2","2"
"Management occupations","330","361","1.6","1.7","1.5","1.7","1.7","1.7"
"Business and financial operations occupations","200","243","2.1","2.5","1.9","2.5","2.4","2.4"
"Professional and related occupations","825","828","2.1","2","2","2.1","2.2","2"
"Computer and mathematical occupations","118","138","1.9","2.1","1.8","2","2","2.1"
"Architecture and engineering occupations","52","64","1.5","1.8","1.4","1.5","2.2","3.1"
"Life, physical, and social science occupations","26","32","1.4","1.7","1.7","1.8","1","1.5"
"Community and social service occupations","54","66","1.8","2.3","1.9","2.7","1.8","2.1"
"Legal occupations","26","19","1.4","1","0.9","0.5","1.8","1.4"
"Education, training, and library occupations","254","243","2.7","2.5","2.8","3","2.6","2.3"
"Arts, design, entertainment, sports, and media occupations","144","130","4","3.6","4","3.6","4","3.6"
"Healthcare practitioners and technical occupations","152","137","1.5","1.3","1.1","1.2","1.6","1.4"
"","","","","","","","",""
"Service occupations","1281","1240","4.8","4.5","4.8","4.7","4.8","4.4"
"Healthcare support occupations","203","187","3.9","3.5","3.3","3.4","4.1","3.5"
"Protective service occupations","108","93","3.4","2.9","3","2.6","4.6","4"
"Food preparation and serving related occupations","480","493","5.7","5.7","5.6","5.8","5.8","5.6"
"Building and grounds cleaning and maintenance occupations","319","306","5.4","5.2","5","5.4","5.9","5.1"
"Personal care and service occupations","170","161","4.1","3.7","5.6","3.9","3.7","3.6"
"","","","","","","","",""
"Sales and office occupations","1176","1146","3.7","3.6","3.6","3.7","3.8","3.6"
"Sales and related occupations","579","581","3.9","3.9","3.2","3.4","4.5","4.4"
"Office and administrative support occupations","598","565","3.6","3.4","4.2","4.3","3.3","3.1"
"","","","","","","","",""
"Natural resources, construction, and maintenance occupations","658","659","4.4","4.4","4.3","4.3","6","6.1"
"Farming, fishing, and forestry occupations","71","74","6.8","7","6.3","6.8","7.9","7.4"
"Construction and extraction occupations","477","480","5.4","5.4","5.4","5.3","5.5","7.1"
"Installation, maintenance, and repair occupations","110","105","2.2","2.1","2.1","2.1","4.5","2.5"
"","","","","","","","",""
"Production, transportation, and material moving occupations","1027","1030","4.9","4.9","4.7","4.7","5.4","5.4"
"Production occupations","332","328","3.9","3.8","3.6","3.5","4.6","4.6"
"Transportation and material moving occupations","695","702","5.5","5.7","5.4","5.5","6.1","6.2"
"","","","","","","","",""
"No previous work experience","482","556","–","–","–","–","–","–"
"16 to 19 years","265","294","–","–","–","–","–","–"
"20 to 24 years","127","150","–","–","–","–","–","–"
"25 years and over","90","111","–","–","–","–","–","–"
