"","Aggregated and disaggregated subnational public employment","","","",""
"","Unit of measure: Persons","","","",""
"","Time period: 2021","","","",""
"","Combined measure: Subnational public employees","","","",""
"","","","","",""
"","Sex","Female","Male","Total",""
"","","","","",""
"","Reference area: Austria","","","",""
"","Institutional sector: State government","","","",""
"","","","","192,617",""
"","Reference area: Belgium","","","",""
"","Institutional sector: Intermediate government","","","",""
"","","9,287","6,574","15,861",""
"","Reference area: Belgium","","","",""
"","Institutional sector: Inter-municipal cooperation bodies","","","",""
"","","27,816","18,701","46,517",""
"","Reference area: Belgium","","","",""
"","Institutional sector: State government","","","",""
"","","330,442","156,431","486,873",""
"","Reference area: Belgium","","","",""
"","Institutional sector: Municipal government","","","",""
"","","185,945","112,567","298,512",""
"","Reference area: Canada","","","",""
"","Institutional sector: State government","","","",""
"","","166,700","128,900","295,500",""
"","Reference area: Canada","","","",""
"","Institutional sector: Municipal government","","","",""
"","","143,500","206,300","349,800",""
"","Reference area: Costa Rica","","","",""
"","Institutional sector: Municipal government","","","",""
"","","949","2,351","3,300",""
"","Reference area: Denmark","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","111,220","35,154","146,374",""
"","Reference area: Denmark","","","",""
"","Institutional sector: Municipal government","","","",""
"","","389,237","114,288","503,525",""
"","Reference area: Finland","","","",""
"","Institutional sector: Inter-municipal cooperation bodies","","","",""
"","","143,789","37,841","181,630",""
"","Reference area: Finland","","","",""
"","Institutional sector: Municipal government","","","",""
"","","452,667","96,150","548,817",""
"","Reference area: France","","","",""
"","Institutional sector: Intermediate government","","","",""
"","","208,570","141,548","350,118",""
"","Reference area: France","","","",""
"","Institutional sector: Inter-municipal cooperation bodies","","","",""
"","","206,353","168,980","375,333",""
"","Reference area: France","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","57,981","39,952","97,933",""
"","Reference area: France","","","",""
"","Institutional sector: Municipal government","","","",""
"","","737,237","416,601","1,153,838",""
"","Reference area: Germany","","","",""
"","Institutional sector: State government","","","",""
"","","","","2,541,400",""
"","Reference area: Israel","","","",""
"","Institutional sector: Municipal government","","","",""
"","","1,118,270","542,678","1,660,948",""
"","Reference area: Italy","","","",""
"","Institutional sector: Inter-municipal cooperation bodies","","","",""
"","","4,110","2,828","6,938",""
"","Reference area: Italy","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","47,063","37,060","84,123",""
"","Reference area: Italy","","","",""
"","Institutional sector: Municipal government","","","",""
"","","182,543","140,163","322,706",""
"","Reference area: Korea","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","23,144","35,568","58,712",""
"","Reference area: Korea","","","",""
"","Institutional sector: Municipal government","","","",""
"","","129,365","120,802","250,167",""
"","Reference area: Mexico","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","792,951","642,732","1,435,683",""
"","Reference area: Mexico","","","",""
"","Institutional sector: Municipal government","","","",""
"","","338,147","643,771","981,918",""
"","Reference area: Norway","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","1,768","760","2,528",""
"","Reference area: Portugal","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","29,013","14,523","43,536",""
"","Reference area: Portugal","","","",""
"","Institutional sector: Municipal government","","","",""
"","","59,247","72,468","131,715",""
"","Reference area: Sweden","","","",""
"","Institutional sector: Inter-municipal cooperation bodies","","","",""
"","","3,640","6,750","10,390",""
"","Reference area: Sweden","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","189,020","59,240","248,260",""
"","Reference area: Sweden","","","",""
"","Institutional sector: Municipal government","","","",""
"","","499,560","139,105","638,665",""
"","Reference area: Non-OECD economies > Bulgaria","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","","","752",""
"","Reference area: Bulgaria","","","",""
"","Institutional sector: Municipal government","","","",""
"","","","","24,273",""
"","Reference area: Malta","","","",""
"","Institutional sector: Regional government (unitary countries only)","","","",""
"","","14","3","17",""
"","Reference area: Malta","","","",""
"","Institutional sector: Municipal government","","","",""
"","","217","184","401",""
"","","","","",""
"","© Terms & conditions ","","","","Aggregated and disaggregated subnational public employment"
