"","North East","","North West","","Yorkshire and the Humber","","East Midlands","","West Midlands","","East of England","","London","","South East","","South West","","England",""
"","","","","","","","","","","","","","","","","","","","",""
"Sub-sector","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009","2005","2009"
"Advertising","8","4","6","7","5","5","4","4","5","5","4","4","9","10","9","6","7","4","7","7"
"Architecture","7","4","5","4","6","6","5","4","5","6","4","4","9","8","6","5","5","5","6","5"
"Art & Antiques","5","5","10","10","4","6","8","11","9","8","8","5","7","9","7","8","5","5","7","8"
"Designer Fashion","4","4","4","4","3","4","4","4","3","4","3","3","4","4","4","3","3","3","3","4"
"Music & the Visual & Performing Arts","4","7","4","5","5","5","3","5","4","8","2","3","3","3","3","4","3","3","3","4"
"Publishing","3","22","18","13","14","15","6","17","10","19","35","18","28","15","17","21","9","10","22","17"
"Radio & TV","4","4","4","4","5","5","17","19","4","4","2","2","23","17","4","3","3","3","14","11"
"Software, Computer Games & Electronic Publishing","7","5","9","7","5","4","4","3","5","5","5","4","5","4","9","6","4","3","6","5"
"Video, Film & Photography","2","2","3","3","3","3","4","8","3","3","4","3","7","6","3","3","4","4","6","5"
"","","","","","","","","","","","","","","","","","","","",""
"Total","6","6","7","6","5","5","5","5","5","6","6","4","7","6","7","6","4","4","7","5"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
