"","","","","","","","","","","","","","",""
"","","Hour","SO2 (lbs/MWh)","","","","NOx (lbs/MWh)","","","","CO2 (lbs/MWh)","","",""
"","","","Min","Average","Max","Std. Dev.","Min","Average","Max","Std. Dev.","Min","Average","Max","Std. Dev."
"","January","Monthly Average","0.25","0.44","0.68","0.09","0.78","1.06","1.41","0.14","633","815","1,005","75.9"
"","","1","0.45","0.53","0.65","0.05","1.11","1.19","1.28","0.05","813","877","938","30.0"
"","","2","0.48","0.56","0.65","0.05","1.17","1.26","1.36","0.06","841","925","996","35.3"
"","","3","0.46","0.57","0.66","0.05","1.17","1.29","1.39","0.06","877","943","1,003","29.3"
"","","4","0.44","0.57","0.68","0.05","1.17","1.29","1.41","0.06","900","947","1,005","26.6"
"","","5","0.44","0.56","0.65","0.06","1.16","1.28","1.39","0.06","901","945","1,005","26.4"
"","","6","0.37","0.51","0.66","0.07","1.07","1.20","1.36","0.08","842","902","952","30.6"
"","","7","0.32","0.44","0.61","0.08","0.98","1.10","1.28","0.09","812","855","910","27.0"
"","","8","0.29","0.42","0.59","0.08","0.92","1.03","1.20","0.08","766","810","861","26.3"
"","","9","0.30","0.41","0.60","0.08","0.90","1.01","1.15","0.08","746","791","828","25.3"
"","","10","0.28","0.39","0.51","0.06","0.86","0.97","1.11","0.06","705","772","815","24.6"
"","","11","0.29","0.37","0.52","0.05","0.84","0.95","1.12","0.06","709","761","807","22.7"
"","","12","0.31","0.39","0.53","0.05","0.87","0.96","1.15","0.06","719","765","824","24.0"
"","","13","0.32","0.40","0.53","0.05","0.89","0.98","1.14","0.05","734","775","822","21.2"
"","","14","0.33","0.42","0.54","0.05","0.90","1.00","1.15","0.05","751","786","824","20.8"
"","","15","0.34","0.43","0.52","0.04","0.94","1.02","1.13","0.05","754","795","835","19.6"
"","","16","0.30","0.43","0.54","0.05","0.90","1.03","1.16","0.05","757","802","840","20.3"
"","","17","0.26","0.40","0.51","0.05","0.88","1.01","1.15","0.05","766","802","843","18.4"
"","","18","0.25","0.35","0.45","0.04","0.86","0.93","1.03","0.04","703","756","798","20.9"
"","","19","0.27","0.34","0.40","0.03","0.80","0.87","0.95","0.03","650","700","731","19.6"
"","","20","0.30","0.35","0.42","0.03","0.78","0.89","0.98","0.04","633","711","762","25.8"
"","","21","0.31","0.38","0.46","0.03","0.83","0.93","1.03","0.04","642","734","788","29.2"
"","","22","0.36","0.41","0.50","0.04","0.86","0.98","1.10","0.04","677","773","819","30.4"
"","","23","0.37","0.44","0.54","0.04","0.94","1.04","1.14","0.04","726","801","836","22.5"
"","","24","0.41","0.49","0.56","0.04","1.04","1.10","1.18","0.04","760","822","857","22.3"
"","February","Monthly Average","0.23","0.38","0.59","0.08","0.78","1.00","1.35","0.13","636","786","979","80.5"
"","","1","0.37","0.46","0.55","0.04","1.06","1.13","1.25","0.05","809","862","909","28.6"
"","","2","0.41","0.49","0.58","0.04","1.09","1.20","1.31","0.06","824","909","965","36.5"
"","","3","0.40","0.50","0.57","0.04","1.12","1.23","1.35","0.06","856","929","978","28.9"
"","","4","0.40","0.50","0.59","0.05","1.13","1.24","1.35","0.05","861","935","977","25.0"
"","","5","0.36","0.48","0.59","0.05","1.10","1.22","1.32","0.06","872","928","979","22.6"
"","","6","0.30","0.42","0.56","0.07","1.00","1.12","1.28","0.07","843","877","917","21.8"
"","","7","0.27","0.36","0.51","0.07","0.92","1.02","1.19","0.08","794","823","873","21.5"
"","","8","0.27","0.36","0.51","0.07","0.87","0.97","1.16","0.07","737","783","835","25.9"
"","","9","0.24","0.34","0.50","0.07","0.85","0.93","1.10","0.07","706","748","782","21.3"
