"","Climate hasard statistics - Regions","","","","","","",""
"","Frequency of observation: Annual","","","","","","",""
"","Territorial level: TL2","","","","","","",""
"","","","","","","","",""
"","Time period","","2017","2018","2019","2020","2021",""
"","Reference area","","","","","","",""
"","Measure: Land exposure to river flooding","","","","","","",""
"","Combined unit of measure: Percentage of area","","","","","","",""
"","Return period: 10 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","8.0","8.0","8.0","8.0","",""
"","Victoria","","2.4","2.4","2.4","2.4","",""
"","Queensland","","7.2","7.2","7.2","7.2","",""
"","South Australia","","2.0","2.0","2.0","2.0","",""
"","Western Australia","","1.1","1.1","1.1","1.1","",""
"","Tasmania","","0.2","0.2","0.2","0.2","",""
"","Northern Territory","","2.1","2.1","2.1","2.1","",""
"","Australian Capital Territory","","1.4","1.4","1.4","1.4","",""
"","Measure: Land exposure to river flooding","","","","","","",""
"","Combined unit of measure: Percentage of area","","","","","","",""
"","Return period: 20 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","8.9","8.9","8.9","8.9","",""
"","Victoria","","2.7","2.7","2.7","2.7","",""
"","Queensland","","7.8","7.8","7.8","7.8","",""
"","South Australia","","2.2","2.2","2.2","2.2","",""
"","Western Australia","","1.3","1.3","1.3","1.3","",""
"","Tasmania","","0.2","0.2","0.2","0.2","",""
"","Northern Territory","","2.3","2.3","2.3","2.3","",""
"","Australian Capital Territory","","1.4","1.4","1.4","1.4","",""
"","Measure: Land exposure to river flooding","","","","","","",""
"","Combined unit of measure: Percentage of area","","","","","","",""
"","Return period: 50 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","9.9","9.9","9.9","9.9","",""
"","Victoria","","2.9","2.9","2.9","2.9","",""
"","Queensland","","8.5","8.5","8.5","8.5","",""
"","South Australia","","2.4","2.4","2.4","2.4","",""
"","Western Australia","","1.5","1.5","1.5","1.5","",""
"","Tasmania","","0.2","0.2","0.2","0.2","",""
"","Northern Territory","","2.5","2.5","2.5","2.5","",""
"","Australian Capital Territory","","1.4","1.4","1.4","1.4","",""
"","Measure: Land exposure to river flooding","","","","","","",""
"","Combined unit of measure: Percentage of area","","","","","","",""
"","Return period: 100 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","10.5","10.5","10.5","10.5","",""
"","Victoria","","3.1","3.1","3.1","3.1","",""
"","Queensland","","8.9","8.9","8.9","8.9","",""
"","South Australia","","2.6","2.6","2.6","2.6","",""
"","Western Australia","","1.6","1.6","1.6","1.6","",""
"","Tasmania","","0.2","0.2","0.2","0.2","",""
"","Northern Territory","","2.7","2.7","2.7","2.7","",""
"","Australian Capital Territory","","1.5","1.5","1.5","1.5","",""
"","Measure: Built-up area exposure to river flooding","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: 10 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","4.0","4.0","4.0","4.0","",""
"","Victoria","","2.0","2.0","2.1","2.1","",""
"","Queensland","","7.2","7.1","7.2","7.2","",""
"","South Australia","","4.5","4.6","4.7","4.7","",""
"","Western Australia","","2.4","2.3","2.3","2.3","",""
"","Tasmania","","3.3","3.3","3.3","3.3","",""
"","Northern Territory","","4.0","4.0","3.7","3.7","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Built-up area exposure to river flooding","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: 20 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","4.3","4.3","4.4","4.4","",""
"","Victoria","","2.3","2.3","2.4","2.4","",""
"","Queensland","","7.6","7.5","7.5","7.5","",""
"","South Australia","","4.8","4.9","5.0","5.0","",""
"","Western Australia","","2.5","2.5","2.4","2.4","",""
"","Tasmania","","3.5","3.5","3.5","3.5","",""
"","Northern Territory","","4.0","4.0","3.7","3.7","",""
"","Australian Capital Territory","","0.0","0.1","0.1","0.1","",""
"","Measure: Built-up area exposure to river flooding","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: 50 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","4.7","4.7","4.8","4.8","",""
"","Victoria","","2.4","2.4","2.5","2.5","",""
"","Queensland","","7.9","7.9","7.9","7.9","",""
"","South Australia","","5.1","5.1","5.2","5.2","",""
"","Western Australia","","2.6","2.6","2.6","2.6","",""
"","Tasmania","","4.1","4.1","4.1","4.1","",""
"","Northern Territory","","4.3","4.3","4.0","4.0","",""
"","Australian Capital Territory","","0.0","0.1","0.1","0.1","",""
"","Measure: Built-up area exposure to river flooding","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: 100 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","5.1","5.1","5.1","5.1","",""
"","Victoria","","2.5","2.5","2.6","2.6","",""
"","Queensland","","8.1","8.1","8.1","8.1","",""
"","South Australia","","5.1","5.2","5.3","5.3","",""
"","Western Australia","","2.9","2.9","2.9","2.9","",""
"","Tasmania","","4.1","4.1","4.1","4.1","",""
"","Northern Territory","","4.6","4.6","4.2","4.2","",""
"","Australian Capital Territory","","0.0","0.1","0.1","0.1","",""
"","Measure: Land exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of area","","","","","","",""
"","Return period: 10 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.0","0.0","0.0","0.0","",""
