"(a) 30-min","Pearson correlation coefficients","","","",""
"PAR","0.90 ","","","",""
"Ta","0.53 ","0.49 ","","",""
"VPD","0.77 ","0.73 ","0.71 ","",""
"Sal","-0.09 ","N.S.","-0.26 ","-0.05 ",""
"WL","0.10 ","0.06 ","N.S.","0.14 ","0.21 "
"","ET","PAR","Ta","VPD","Sal"
"","","","","",""
"","","","","",""
"(a) 30-min","Statistical significance (p-value)","","","",""
"PAR","0.00 ","","","",""
"Ta","0.00 ","0.00 ","","",""
"VPD","0.00 ","0.00 ","0.00 ","",""
"Sal","0.00 ","0.10 ","0.00 ","0.00 ",""
"WL","0.00 ","0.00 ","0.56 ","0.00 ","0.00 "
"","ET","PAR","Ta","VPD","Sal"
