"Table 1: Gas consumption by floor area (square metres) [note 1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coverage: 2005 to 2010 cover England only, 2011 to 2022 cover England and Wales.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"This worksheet contains three tables presented next to each other horizontally with one blank column in between each table. The three tables show the number of dwellings, the mean consumption and the median consumption.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freeze panes are active on this sheet. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt W, F].","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source: NEED, VOA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Table 1a: Number of dwellings in sample by floor area (square metres)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","50 or less","51 to 100","101 to 150","151 to 200","Over 200","201 to 250","Over 250","Unknown","All dwellings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","210,730","1,395,970","744,990","128,220","[no data]","28,220","10,070","13,620","2,531,820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2006","216,930","1,417,110","747,670","127,860","[no data]","28,630","10,610","13,960","2,562,760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2007","224,200","1,451,890","773,120","134,610","[no data]","30,640","11,630","14,180","2,640,270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2008","227,130","1,474,420","789,060","139,640","[no data]","32,440","12,460","14,310","2,689,450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009","261,310","1,612,160","852,430","152,950","[no data]","37,490","16,070","16,600","2,949,010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","232,950","1,509,840","805,310","144,720","[no data]","35,330","14,790","15,000","2,757,930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2011","265,190","1,572,120","853,100","155,220","55,920","[no data]","[no data]","7,670","2,909,210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2012","253,120","1,504,330","812,960","147,370","53,110","[no data]","[no data]","7,380","2,778,260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2013","284,110","1,756,980","929,840","159,520","53,580","[no data]","[no data]","[no data]","3,184,030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","301,500","1,877,850","995,990","172,770","59,230","[no data]","[no data]","8,300","3,415,650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","306,840","1,853,440","1,003,150","179,270","62,280","[no data]","[no data]","[no data]","3,404,980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2016","190,440","1,264,780","732,620","138,490","49,240","[no data]","[no data]","63,690","2,439,260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","1,667,430","9,605,570","5,484,450","1,077,410","422,410","[no data]","[no data]","[no data]","18,257,260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018","1,665,310","9,550,900","5,489,140","1,082,520","423,230","[no data]","[no data]","[no data]","18,211,100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2019","1,663,520","9,573,860","5,486,400","1,082,860","422,490","[no data]","[no data]","[no data]","18,229,130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020","1,861,550","10,257,990","5,911,470","1,186,980","472,190","[no data]","[no data]","[no data]","19,690,170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","1,678,950","9,683,380","5,648,900","1,140,370","456,070","[no data]","[no data]","[no data]","18,607,680","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022","1,693,280","9,703,910","5,668,410","1,161,410","487,300","[no data]","[no data]","[no data]","18,714,310","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
