"Year","Solid ","Gas ","Electric","Oil","Renewables ","All fuels ","","","","","","","","","","","",""
"1970","196.5","101.3","74.0","37.5","","409.2","","","","","","","","","","","",""
"1971","168.4","112.2","77.6","37.0","","395.2","","","","","","","","","","","",""
"1972","148.0","128.6","83.3","42.4","","402.3","","","","","","","","","","","",""
"1973","144.8","137.7","87.9","46.5","","416.9","","","","","","","","","","","",""
"1974","136.5","154.5","89.3","41.4","","421.6","","","","","","","","","","","",""
"1975","115.7","169.4","86.1","40.0","","411.2","","","","","","","","","","","",""
"1976","106.8","177.8","81.9","39.9","","406.5","","","","","","","","","","","",""
"1977","108.2","189.4","82.6","40.2","","420.5","","","","","","","","","","","",""
"1978","98.6","208.7","82.5","39.5","","429.3","","","","","","","","","","","",""
"1979","99.5","236.8","86.3","38.6","","461.2","","","","","","","","","","","",""
"1980","86.0","242.5","82.7","30.8","","442.0","","","","","","","","","","","",""
"1981","79.8","251.7","81.1","27.6","","440.2","","","","","","","","","","","",""
"1982","78.7","251.1","79.7","25.7","","435.1","","","","","","","","","","","",""
"1983","73.2","255.5","79.8","24.4","","432.9","","","","","","","","","","","",""
"1984","57.4","256.9","80.6","25.6","","420.5","","","","","","","","","","","",""
"1985","74.3","280.8","85.3","26.3","","466.7","","","","","","","","","","","",""
"1986","73.0","296.1","88.6","27.2","","484.9","","","","","","","","","","","",""
"1987","63.0","303.6","89.9","25.8","","482.2","","","","","","","","","","","",""
"1988","59.2","296.8","89.1","25.0","","470.1","","","","","","","","","","","",""
"1989","47.2","286.9","88.9","23.7","","446.7","","","","","","","","","","","",""
"1990","46.3","286.6","89.5","27.5","2.3","452.2","","","","","","","","","","","",""
"1991","50.8","318.7","93.6","31.3","2.3","496.7","","","","","","","","","","","",""
"1992","44.3","315.0","94.9","32.1","2.7","488.9","","","","","","","","","","","",""
"1993","48.8","324.6","95.8","33.5","2.7","505.4","","","","","","","","","","","",""
"1994","40.2","314.6","96.8","33.3","2.7","487.6","","","","","","","","","","","",""
"1995","29.1","311.1","97.5","33.3","2.7","473.7","","","","","","","","","","","",""
"1996","31.1","358.6","102.6","39.0","2.7","533.9","","","","","","","","","","","",""
"1997","27.4","329.6","99.7","37.6","2.5","496.8","","","","","","","","","","","",""
"1998","26.0","339.5","104.4","39.3","2.6","511.8","","","","","","","","","","","",""
"1999","26.8","341.6","105.2","35.1","3.0","511.7","","","","","","","","","","","",""
"2000","21.2","352.9","106.7","35.9","3.1","519.8","","","","","","","","","","","",""
"2001","20.4","362.0","110.0","39.1","3.0","534.5","","","","","","","","","","","",""
"2002","15.8","359.1","114.5","34.3","3.1","526.7","","","","","","","","","","","",""
"2003","12.9","368.7","117.3","34.0","2.9","535.8","","","","","","","","","","","",""
"2004","11.1","378.2","118.5","36.2","3.4","547.3","","","","","","","","","","","",""
"2005","7.7","364.3","119.9","34.3","4.1","530.4","","","","","","","","","","","",""
"2006","7.1","350.0","119.0","36.1","4.5","516.7","","","","","","","","","","","",""
"2007","7.5","336.6","117.4","31.9","5.0","498.5","","","","","","","","","","","",""
"2008","8.4","343.0","114.3","33.6","5.4","504.7","","","","","","","","","","","",""
"2009","8.1","317.2","113.1","33.4","5.7","477.6","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
