"Date Rec'd","IDB","Name of local Authority","Forecast","Total","Notes","Update by",""
"11/7/2022","Ainsty","","","","","",""
"","","Harrogate Borough Council"," £ 39,500.00 ","","","",""
"","","Leeds City Council"," £ 8,075.00 ","","","",""
"","","Selby District Council"," £ 33,352.00 ","","","JB",""
"","","City of York Council"," £ 249,154.00 ","","","",""
"","","",""," £ 330,081.00 ","","",""
"11/7/2022","Airedale Drainage Commissioners","","","","","",""
"","","Bradford Metropolitan Council"," £ 7,229.00 ","","","",""
"","","Craven District Council"," £ 12,408.00 ","","","JB",""
"","","",""," £ 19,637.00 ","","",""
"11/15/2022","Alconbury and Ellington","","","","","",""
"","","Huntingdonshire District Council"," £ 85,295.00 ","","","JB",""
"","","",""," £ 85,295.00 ","","",""
"11/21/2022","Ancholme Internal Drainage Board","","","","","",""
"","","North Lincolnshire District Council"," £ 206,609.00 ","","","",""
"","","West Lindsey District Council"," £ 18,850.00 ","","","JB",""
"","","",""," £ 225,459.00 ","","",""
"11/10/2022","Axe Brue","","","","","",""
"","","Mendip District Council"," £ 136,830.00 ","","","",""
"","","North Somerset Unitary Authority"," £ 17,487.00 ","","","JB",""
"","","Sedgemoor District Council"," £ 928,629.00 ","","","",""
"","","",""," £ 1,082,946.00 ","","",""
"11/10/2022","Axeholme & North Notts","","","","","",""
"","","North Lincolnshire Council"," £ 752,687.00 ","","","",""
"","","Bassetlaw District Council"," £ 135,058.00 ","","","",""
"","","Doncaster Metropolitan Borough Council"," £ 1,620.00 ","","","JB",""
"","","East Riding of Yorkshire Council"," £ 11,054.00 ","","","",""
"","","",""," £ 900,419.00 ","","",""
"11/11/2022","Bedfordshire and River Ivel","","","","","",""
"","","Bedford Borough Council"," £ 611,639.00 ","","","",""
"","","Central Bedfordshire Council"," £ 374,393.00 ","","","JB",""
"","","North Herts District Council"," £ 5,263.00 ","","","",""
"","","South Cambs District Council"," £ 161.00 ","","","",""
"","","",""," £ 991,456.00 ","","",""
"11/21/2022","Benwick","","","","","",""
"","","Fenland District Council"," £ 27,078.00 ","","","",""
"","","Huntingdonshire District Council"," £ 2,166.00 ","","","JB",""
"","","",""," £ 29,244.00 ","","",""
"11/7/2022","Beverley and North Holderness","","","","","",""
"","","East Riding of Yorkshire Council"," £ 389,786.00 ","","","JB",""
"","","",""," £ 389,786.00 ","","",""
