"Table 1 Scientific procedures by species of animal and primary purpose of the procedure, page 1 of 2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","Number of procedures","","","","","","",""
"Species of animal","Primary purpose of the procedure","","","","","","","","","Total","","","","","","",""
"","Fundamental biological research","Applied studies -human medicine or dentistry","Applied studies -veterinary medicine","Protection of man, animals or environment","Education","Training","Forensic enquiries","Direct diagnosis","Breeding of GM or HM animals","","","","","","","",""
"Mammal","","","","","","","","","","","","","","","","",""
"  Mouse","864,182","318,304","14,612","17,776","903","0","0","4,433","1,459,553","  2,679,763 ","","","","","","",""
"  Rat","86,491","137,751","121","33,064","445","720","0","6","12,937","  271,535 ","","","","","","",""
"  Guinea pig","2,283","7,811","1,112","122","100","0","0","109","0","  11,537 ","","","","","","",""
"  Hamster","883","787","118","206","0","0","0","0","0","  1,994 ","","","","","","",""
"  Gerbil","508","0","0","0","0","0","0","0","0","  508 ","","","","","","",""
"  Other rodent","2,969","214","60","653","0","0","0","0","0","  3,896 ","","","","","","",""
"  Rabbit","1,467","8,346","2,373","1,767","20","0","0","1,462","26","  15,461 ","","","","","","",""
"  Cat","207","0","28","0","0","0","0","0","0","  235 ","","","","","","",""
"  Dog","","","","","","","","","","","","","","","","",""
"     Beagle","125","3,811","229","193","0","0","0","0","0","  4,358 ","","","","","","",""
"     Greyhound","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"     Other including cross-bred dogs","158","0","36","0","0","0","0","0","0","  194 ","","","","","","",""
"  Ferret","285","380","4","0","13","0","0","9","0","  691 ","","","","","","",""
"  Other carnivore","565","0","68","162","0","0","0","0","0","  795 ","","","","","","",""
"  Horse and other equids","144","0","308","0","0","0","0","7,928","0","  8,380 ","","","","","","",""
"  Pig","1,371","908","1,976","24","0","0","0","0","61","  4,340 ","","","","","","",""
"  Goat","113","5","2","7","0","0","0","69","0","  196 ","","","","","","",""
"  Sheep","4,306","699","1,263","82","0","0","0","31,183","181","  37,714 ","","","","","","",""
"  Cattle","3,410","0","1,551","21","0","0","0","120","0","  5,102 ","","","","","","",""
"  Deer","50","0","0","0","0","0","0","0","0","  50 ","","","","","","",""
"  Camelid","257","0","0","0","0","0","0","0","0","  257 ","","","","","","",""
"  Other ungulate","12","0","0","0","0","0","0","0","0","  12 ","","","","","","",""
"  Primate","","","","","","","","","","","","","","","","",""
"   Prosimian","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"   New World monkey","","","","","","","","","","","","","","","","",""
"      marmoset, tamarin","  154 ","  197 ","0","0","0","0","0","0","0","  351 ","","","","","","",""
"      Squirrel, owl, spider monkey","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"      Other New World monkey","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"   Old World monkey","","","","","","","","","","","","","","","","",""
"      Macaque","  177 ","  1,652 ","0","  287 ","0","0","0","  8 ","0","  2,124 ","","","","","","",""
"      Baboon","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"      Other Old World monkey","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"   Ape","","","","","","","","","","","","","","","","",""
"      Gibbon","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"      Great ape","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"  Other mammal","  525 ","0","  20 ","0","0","0","0","0","0","  545 ","","","","","","",""
"Bird","","","","","","","","","","","","","","","","",""
"  Domestic fowl (Gallus domesticus)","  6,234 ","  28 ","  140,529 ","  274 ","0","0","0","  1,377 ","  602 ","  149,044 ","","","","","","",""
"  Turkey","  460 ","  171 ","  2,628 ","0","0","0","0","  150 ","0","  3,409 ","","","","","","",""
"  Quail (Coturnix coturnix)","  34 ","0","0","0","0","0","0","0","0","  34 ","","","","","","",""
"  Quail (not Coturnix coturnix)","  131 ","0","0","  752 ","0","0","0","0","0","  883 ","","","","","","",""
"  Other bird","  6,680 ","0","0","  2,099 ","0","0","0","  469 ","0","  9,248 ","","","","","","",""
"Reptile - any reptilian species","  383 ","0","0","0","0","0","0","0","0","  383 ","","","","","","",""
"Amphibian - any amphibian species","  11,867 ","0","0","  419 ","0","0","0","0","  3,629 ","  15,915 ","","","","","","",""
"Fish - any fish species","  342,442 ","  1,731 ","  19,975 ","  58,908 ","0","0","  23 ","0","  140,824 ","  563,903 ","","","","","","",""
"Cephalopod - Octopus vulgaris","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"Total","  1,338,873 ","  482,795 ","  187,013 ","  116,816 ","  1,481 ","  720 ","  23 ","  47,323 ","  1,617,813 ","  3,792,857 ","","","","","","",""
"Increase on 2010","44,370 ","-""#,##0"" ","26,531 ","41,019 ","-""#,##0"" ","43 ","23 ","616 ","-""#,##0"" ","68,131 ","","","","","","",""
