"Table 1 Scientific procedures by species of animal and primary purpose of the procedure, page 1 of 2","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","","","Number of procedures","","","","",""
"Species of animal","","","","","","","","","","Total","","","","","","",""
"","Applied studies -veterinary medicine","Protection of man, animals or environment","Fundamental biological research","Applied studies -human medicine or dentistry","Education","Training","Forensic enquiries","Direct diagnosis","Breeding of GM or HM animals","","","","","","","",""
"Mammal","","","","","","","","","","","","","","","","",""
"  Mouse","14,612","17,776","864,182","318,304","903","0","0","4,433","1,459,553","  2,679,763 ","","","","","","",""
"  Rat","121","33,064","86,491","137,751","445","720","0","6","12,937","  271,535 ","","","","","","",""
"  Guinea pig","1,112","122","2,283","7,811","100","0","0","109","0","  11,537 ","","","","","","",""
"  Hamster","118","206","883","787","0","0","0","0","0","  1,994 ","","","","","","",""
"  Gerbil","0","0","508","0","0","0","0","0","0","  508 ","","","","","","",""
"  Other rodent","60","653","2,969","214","0","0","0","0","0","  3,896 ","","","","","","",""
"  Rabbit","2,373","1,767","1,467","8,346","20","0","0","1,462","26","  15,461 ","","","","","","",""
"  Cat","28","0","207","0","0","0","0","0","0","  235 ","","","","","","",""
"  Dog","","","","","","","","","","","","","","","","",""
"     Beagle","229","193","125","3,811","0","0","0","0","0","  4,358 ","","","","","","",""
"     Greyhound","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"     Other including cross-bred dogs","36","0","158","0","0","0","0","0","0","  194 ","","","","","","",""
"  Ferret","4","0","285","380","13","0","0","9","0","  691 ","","","","","","",""
"  Other carnivore","68","162","565","0","0","0","0","0","0","  795 ","","","","","","",""
"  Horse and other equids","308","0","144","0","0","0","0","7,928","0","  8,380 ","","","","","","",""
"  Pig","1,976","24","1,371","908","0","0","0","0","61","  4,340 ","","","","","","",""
"  Goat","2","7","113","5","0","0","0","69","0","  196 ","","","","","","",""
"  Sheep","1,263","82","4,306","699","0","0","0","31,183","181","  37,714 ","","","","","","",""
"  Cattle","1,551","21","3,410","0","0","0","0","120","0","  5,102 ","","","","","","",""
"  Deer","0","0","50","0","0","0","0","0","0","  50 ","","","","","","",""
"  Camelid","0","0","257","0","0","0","0","0","0","  257 ","","","","","","",""
"  Other ungulate","0","0","12","0","0","0","0","0","0","  12 ","","","","","","",""
"  Primate","","","","","","","","","","","","","","","","",""
"   Prosimian","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"   New World monkey","","","","","","","","","","","","","","","","",""
"      marmoset, tamarin","0","0","  154 ","  197 ","0","0","0","0","0","  351 ","","","","","","",""
"      Squirrel, owl, spider monkey","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"      Other New World monkey","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"   Old World monkey","","","","","","","","","","","","","","","","",""
"      Macaque","0","  287 ","  177 ","  1,652 ","0","0","0","  8 ","0","  2,124 ","","","","","","",""
"      Baboon","0","0","0","0","0","0","0","0","0","0","","","","","","",""
