"Table 4 Scientific procedures by species of animal and target body system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","","","","Number of procedures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Species of animal","Body systems","","","","","","","","","","","","Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Respiratory","Cardiovascular","Nervous","Senses","Alimentary","Skin","Musculo -skeletal","Reproductive","Immune and reticulo - endothelial","Other system","Multiple systems","System not relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mammal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Mouse","  63,565 ","  99,016 ","  277,883 ","  41,981 ","  48,817 ","  48,820 ","  37,370 ","  218,100 ","  463,340 ","  80,520 ","  635,329 ","  665,022 ","  2,679,763 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Rat","  20,303 ","  16,539 ","  69,643 ","  2,372 ","  5,395 ","  794 ","  1,421 ","  29,293 ","  5,212 ","  5,938 ","  56,030 ","  58,595 ","  271,535 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  All other rodents","  2,982 ","  3,916 ","  131 ","  365 ","  409 ","  58 ","  54 ","  15 ","  4,998 ","  10 ","  3,809 ","  1,188 ","  17,935 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Rabbit","  72 ","  885 ","0","  230 ","  157 ","  1,070 ","  160 ","  1,986 ","  3,579 ","  765 ","  4,744 ","  1,813 ","  15,461 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Cat","0","0","  48 ","  6 ","  13 ","0","0","0","0","0","  151 ","  17 ","  235 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Dog","  19 ","  261 ","0","0","  131 ","0","  30 ","  55 ","  58 ","  215 ","  1,773 ","  2,010 ","  4,552 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Ferret","  248 ","  13 ","0","  38 ","0","0","0","0","  55 ","0","  83 ","  254 ","  691 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Other carnivore","0","  49 ","0","0","0","0","0","  71 ","0","0","  38 ","  637 ","  795 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Horse and other equids","  16 ","  57 ","0","0","0","0","  7 ","  13 ","  221 ","  5,965 ","  103 ","  1,998 ","  8,380 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Pig","  218 ","  191 ","  77 ","  27 ","  705 ","  79 ","  1 ","  26 ","  581 ","  27 ","  1,604 ","  804 ","  4,340 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Sheep","  65 ","  211 ","  144 ","0","  775 ","  77 ","  383 ","  1,388 ","  1,490 ","  28,682 ","  2,462 ","  2,037 ","  37,714 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  All other ungulates","  549 ","  47 ","  4 ","0","  1,224 ","0","0","  958 ","  981 ","  34 ","  1,718 ","  102 ","  5,617 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    New World monkey","0","  8 ","  86 ","0","0","0","0","0","0","0","  68 ","  189 ","  351 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Old World monkey","  9 ","  41 ","  57 ","  5 ","0","0","0","0","  2 ","0","  792 ","  1,218 ","  2,124 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  All other mammals","0","0","0","  13 ","0","  131 ","0","  3 ","0","0","0","  398 ","  545 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bird","  84 ","  718 ","  1,474 ","  425 ","  3,898 ","  57 ","  371 ","  1,237 ","  3,594 ","  121,798 ","  21,018 ","  7,944 ","  162,618 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reptile","0","0","0","0","0","0","0","0","0","  383 ","0","0","  383 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Amphibian","0","0","  158 ","0","0","  605 ","  197 ","  12,687 ","0","0","  1,419 ","  849 ","  15,915 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fish","  26,940 ","  10,352 ","  70,422 ","  5,708 ","  3,036 ","  5,455 ","  3,987 ","  58,062 ","  28,455 ","  4,054 ","  252,010 ","  95,422 ","  563,903 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total","  115,070 ","  132,304 ","  420,127 ","  51,170 ","  64,560 ","  57,146 ","  43,981 ","  323,894 ","  512,566 ","  248,391 ","  983,151 ","  840,497 ","  3,792,857 ","","  1,969,209 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase on 2010","27,623 ","10,993 ","43,437 ","-""#,##0"" ","-""#,##0"" ","-""#,##0"" ","-""#,##0"" ","2,599 ","46,528 ","10,221 ","88,507 ","-""#,##0"" ","68,131 ","","104,506 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Percentage change from 2010","32%","9%","12%","-""0f%","-""0f%","-""0f%","-""0f%","1%","10%","4%","10%","-""0f%","2%","","6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Percentage of total for 2011","3%","3%","11%","1%","2%","2%","1%","9%","14%","7%","26%","22%","100%","","51.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010 Totals","  87,447 ","  121,311 ","  376,690 ","  56,025 ","  82,803 ","  63,138 ","  51,786 ","  321,295 ","  466,038 ","  238,170 ","  894,644 ","  965,379 ","  3,724,726 ","","  1,864,703 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","99%","","","","","","one system total","52%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"same direction change","","1","","","1","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Respiratory","Cardiovascular","Nervous","Senses","Alimentary","Skin","Musculo -skeletal","Reproductive","Immune and reticulo - endothelial","Other system","Multiple systems","System not relevant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Increase 2009 on 2008","-""#,##0"" ","7,873 ","-""#,##0"" ","9,147 ","-""#,##0"" ","11,735 ","-""#,##0"" ","-""#,##0"" ","22,561 ","20,424 ","1,349 ","92,205 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
