"Table 5 Scientific procedures by species of animal and level of anaesthesia","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","Number of procedures","","","","","","","","",""
"Species of animal","","Type of anaesthesia","","","","Total","","","","","","","","",""
"","No anaesthesia","General anaesthesia, with recovery","Local anaesthesia","General anaesthesia at end of procedure, without recovery","General anaesthesia throughout, without recovery","","","","","","","","","",""
"Mammal","","","","","","","","","","","","","","",""
"  Ferret","  83 ","  565 ","-","  31 ","  12 ","  691 ","","","","","","","","",""
"  Other carnivore","  402 ","  393 ","-","-","-","  795 ","","","","","","","","",""
"  Horse and other equids","  362 ","-","  8,014 ","  4 ","-","  8,380 ","","","","","","","","",""
"  Pig","  3,269 ","  606 ","  25 ","  19 ","  421 ","  4,340 ","","","","","","","","",""
"  Sheep","  36,362 ","  1,019 ","  259 ","  51 ","  23 ","  37,714 ","","","","","","","","",""
"  All other ungulates","  5,418 ","  87 ","  110 ","-","  2 ","  5,617 ","","","","","","","","",""
"  Primate","","","","","","","","","","","","","","",""
"    New World monkey","  195 ","  53 ","-","  33 ","  70 ","  351 ","","","","","","","","",""
"    Old World monkey","  1,497 ","  598 ","-","  6 ","  23 ","  2,124 ","","","","","","","","",""
"  Mouse","  1,984,204 ","  396,591 ","  144,433 ","  106,142 ","  48,393 ","  2,679,763 ","","","","","","","","",""
"  Rat","  143,674 ","  76,465 ","  712 ","  27,083 ","  23,601 ","  271,535 ","","","","","","","","",""
"  All other rodents","  11,722 ","  2,863 ","  548 ","  1,721 ","  1,081 ","  17,935 ","","","","","","","","",""
"  Rabbit","  9,010 ","  760 ","  1,861 ","  1,678 ","  2,152 ","  15,461 ","","","","","","","","",""
"  Cat","  148 ","  87 ","-","-","-","  235 ","","","","","","","","",""
"  Dog","  3,944 ","  264 ","  35 ","  188 ","  121 ","  4,552 ","","","","","","","","",""
"  All other mammals","  401 ","  3 ","  131 ","-","  10 ","  545 ","","","","","","","","",""
"Bird","  45,092 ","  340 ","  88 ","  116,052 ","  1,046 ","  162,618 ","","","","","","","","",""
"Reptile","  383 ","-","-","-","-","  383 ","","","","","","","","",""
"Amphibian","  15,304 ","  430 ","-","  107 ","  74 ","  15,915 ","","","","","","","","",""
"Fish","  434,251 ","  77,343 ","  85 ","  51,516 ","  708 ","  563,903 ","","","","","","","","",""
"  Total","  2,695,721 ","  558,467 ","  156,301 ","  304,631 ","  77,737 ","  3,792,857 ","","","","","","","","",""
"Increase on 2010","127,435 ","-""#,##0"" ","-""#,##0"" ","72,294 ","-""#,##0"" ","68,131 ","","","","","","","","",""
"Percentage change from 2010","5%","-""0f%","-""0f%","31%","-""0f%","2%","","","","","","","","",""
"Percentage of total for 2011","71%","15%","4%","8%","2%","100%","","","","","","","","",""
"2010 Totals","  2,568,286 ","  622,464 ","  206,350 ","  232,337 ","  95,289 ","  3,724,726 ","","","","","","","","",""
"Note. Neuromuscular blocking agents (NMBA) were used in 2,547  procedures in 2011.  All of these procedures involved the use of general anaesthesia.","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
