"Table 6 Scientific procedures (non-toxicology) by species of animal and field of research, page 1 of 4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","","","","Number of procedures","","","","","","","","","","","","",""
"Species of animal","Field of research","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Anatomy","Physiology","Biochemistry","Psychology","Pathology","Immunology","Microbiology","Parasitology","Pharmacology","Pharmaceutical R&D","Therapeutics","Clinical medicine","Clinical surgery","","","","","","","","","","","","",""
"Mammal","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  Mouse","  229,570 ","  361,418 ","  26,331 ","  34,196 ","  65,876 ","  503,753 ","  29,565 ","  29,764 ","  50,260 ","  127,515 ","  14,014 ","  12,001 ","  1,533 ","","","","","","","","","","","","",""
"  Rat","  6,866 ","  30,030 ","  1,177 ","  9,998 ","  3,045 ","  5,898 ","  1,039 ","  404 ","  20,503 ","  53,860 ","  3,963 ","  4,902 ","  1,196 ","","","","","","","","","","","","",""
"  Guinea pig","0","  370 ","-","-","  23 ","  412 ","  451 ","  1 ","  1,663 ","  1,565 ","  96 ","-","-","","","","","","","","","","","","",""
"  Hamster","0","  231 ","-","-","-","  300 ","  426 ","  33 ","-","  129 ","  110 ","  20 ","-","","","","","","","","","","","","",""
"  Gerbil","  79 ","  9 ","-","-","-","  18 ","-","  368 ","-","-","  34 ","-","-","","","","","","","","","","","","",""
"  Other rodent","0","  2 ","-","-","-","-","  154 ","  2,840 ","-","  214 ","-","-","-","","","","","","","","","","","","",""
"  Rabbit","  62 ","  557 ","  214 ","-","  76 ","  1,442 ","  507 ","  17 ","  77 ","  1,929 ","  219 ","  98 ","  16 ","","","","","","","","","","","","",""
"  Cat","-","-","-","-","-","-","-","-","  59 ","-","  6 ","-","-","","","","","","","","","","","","",""
"  Dog","","","","","","","","","","","","","","","","","","","","","","","","","",""
"     Beagle","-","-","-","-","-","  58 ","-","-","  15 ","  644 ","-","-","-","","","","","","","","","","","","",""
"     Greyhound","0","-","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","",""
"     Other including cross-bred dogs","0","-","-","-","-","-","-","-","-","  14 ","-","-","-","","","","","","","","","","","","",""
"  Ferret","  8 ","  24 ","-","  6 ","-","  72 ","  539 ","-","  13 ","  3 ","-","-","-","","","","","","","","","","","","",""
"  Other carnivore","0","-","-","  73 ","-","  108 ","-","-","  30 ","-","-","-","-","","","","","","","","","","","","",""
"  Horse and other equids","  9 ","  26 ","-","-","-","  165 ","  7,996 ","-","  28 ","-","-","  60 ","  4 ","","","","","","","","","","","","",""
"  Pig","  62 ","  304 ","-","-","  280 ","  321 ","  233 ","  140 ","  32 ","  61 ","  152 ","  72 ","  53 ","","","","","","","","","","","","",""
"  Goat","0","  18 ","-","  89 ","-","  65 ","  6 ","-","-","  5 ","-","  4 ","-","","","","","","","","","","","","",""
"  Sheep","  177 ","  660 ","  231 ","  321 ","  392 ","  699 ","  30,389 ","  700 ","-","  159 ","  23 ","  357 ","  222 ","","","","","","","","","","","","",""
"  Cattle","0","  1,163 ","-","-","  8 ","  746 ","  47 ","  236 ","-","-","-","-","-","","","","","","","","","","","","",""
"  Deer","0","0","-","-","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","",""
"  Camelid","0","-","0","-","-","  257 ","-","-","-","-","-","-","-","","","","","","","","","","","","",""
"  Other ungulate","0","-","-","  12 ","-","-","-","-","-","-","-","-","-","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
