"Table 7 Scientific procedures (non-toxicology) by species of animal and production of biological materials","","","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","Number of procedures","","","","","","","","","","",""
"Species of animal","Production","","","","","","","Other (1)","Total","","","","","","","","","","",""
"","Infectious agents","Vectors","Neoplasms","Monoclonal antibodies (ascites model)","Monoclonal antibodies (initial 
immunisation)","Polyclonal antibodies","Other biological materials","","","","","","","","","","","","",""
"Mammal","","","","","","","","","","","","","","","","","","","",""
"  Mouse","  24,463 ","  5,150 ","  10,251 ","-","  1,731 ","  2,290 ","  114,497 ","  2,353,765 ","  2,512,147 ","","","","","","","","","","",""
"  Rat","  466 ","  4 ","  259 ","0","  61 ","  115 ","  14,020 ","  144,413 ","  159,338 ","","","","","","","","","","",""
"  All other rodents","  347 ","-","  24 ","-","  2 ","  146 ","  119 ","  9,430 ","  10,068 ","","","","","","","","","","",""
"  Rabbit","  48 ","  15 ","-","-","  46 ","  3,252 ","  308 ","  1,575 ","  5,244 ","","","","","","","","","","",""
"  Cat","-","-","-","-","-","-","-","  218 ","  218 ","","","","","","","","","","",""
"  Dog","-","-","-","-","-","-","  541 ","  370 ","  911 ","","","","","","","","","","",""
"  Ferret","-","-","-","-","-","  102 ","-","  563 ","  665 ","","","","","","","","","","",""
"  Other carnivore","-","-","-","-","-","-","  19 ","  738 ","  757 ","","","","","","","","","","",""
"  Horse and other equids","-","-","-","-","-","-","  6,046 ","  2,262 ","  8,308 ","","","","","","","","","","",""
"  Pigs, sheep & all other ungulates","  760 ","-","-","-","  33 ","  1,011 ","  30,308 ","  12,212 ","  44,324 ","","","","","","","","","","",""
"  Primate","","","","","","","","","","","","","","","","","","","",""
"    New World monkey","-","-","-","-","-","-","  85 ","  157 ","  242 ","","","","","","","","","","",""
"    Old World monkey","-","-","-","-","-","  2 ","  308 ","  256 ","  566 ","","","","","","","","","","",""
"  All other mammals","-","-","-","-","-","-","  3 ","  542 ","  545 ","","","","","","","","","","",""
"Bird","  116,695 ","-","-","-","-","  477 ","  2,048 ","  27,746 ","  146,966 ","","","","","","","","","","",""
"Reptile, Amphibian","-","-","-","-","-","-","  7,634 ","  8,245 ","  15,879 ","","","","","","","","","","",""
"Fish","  4,685 ","-","-","-","-","-","  1,353 ","  481,515 ","  487,553 ","","","","","","","","","","",""
"  Total","  147,464 ","  5,169 ","  10,534 ","0","  1,873 ","  7,395 ","  177,289 ","  3,044,007 ","  3,393,731 ","","","","","","","","","","",""
"Increase on 2010","20,141 ","-""#,##0"" ","1,943 ","0 ","-""#,##0"" ","-""#,##0"" ","-""#,##0"" ","62,789 ","60,199 ","","","","","","","","","","",""
"Percentage change from 2010","16%","-""0f%","23%","N/A","-""0f%","-""0f%","-""0f%","2%","1.8%","","","","","","","","","","",""
"Percentage of total for 2011","4%","0.2%","0.3%","0%","0.1%","0.2%","5%","90%","100%","","","","","","","","","","",""
"2010 Totals","  127,323 ","  6,884 ","  8,591 ","0 ","  2,144 ","  8,217 ","  199,155 ","  2,981,218 ","  3,333,532 ","","","","","","","","","","",""
"(1) Includes breeding procedures which are now detailed in Tables 3.1 - 3.3 ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"N/A = Not applicable","","","","","","","","","","","","","","","","","","","",""
"","0.42165822191214","","","","","0.071402019878533","51%","","","","","","","","","","","","",""
"","","","","","","","all prod","","","","","","","","","","","","",""
"","","","","","","","  349,724 ","","","","","","","","","","","","",""
"","0.79134568437042","","","","","","-""#,##0"" ","","","","","","","","","","","","",""
"","0.16589133619053","","","","","","-""0f%","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","  352,314 ","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
