"Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 1 of 4","","","","","","","","","Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 3 of 4","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","Number of procedures","Great Britain 2011","","","","","","","","","","Number of procedures",""
"Species of animal","Toxicology or other safety/efficacy evaluation","","","","","","","","Species of animal","Toxicology or other safety/efficacy evaluation","","","","","","","","","Total",""
"","General safety/efficacy evaluation","","","","","","","","","Pharmaceutical safety/efficacy evaluation","","","","Other purposes","","","","","",""
"","Pollution","Agriculture","Industry","Household","Food additives","Other foodstuffs","Finished cosmetics(2)","Cosmetics ingredients(2)","","Safety testing","Efficacy testing","Quality control","ADME and residue","Toxicology research","Tobacco safety(1)","Medical  device safety","Method development","Other","",""
"Mammal","","","","","","","","","Mammal","","","","","","","","","","",""
"  Mouse","  1,165 ","  5,789 ","  5,364 ","0","-","  3,628 ","-","-","  Mouse","  32,063 ","  3,475 ","  99,988 ","  7,925 ","  1,390 ","0","  980 ","  4,210 ","  1,639 ","  167,616 ",""
"  Rat","  842 ","  12,447 ","  12,433 ","-","  3,412 ","  397 ","-","-","  Rat","  64,722 ","  117 ","  757 ","  10,854 ","  453 ","-","  424 ","  3,288 ","  2,051 ","  112,197 ",""
"  Guinea pig","-","-","0","-","-","-","0","-","  Guinea pig","  1,146 ","  31 ","  5,407 ","  20 ","  39 ","-","  299 ","  14 ","-","  6,956 ",""
"  Hamster","-","-","  80 ","0","-","-","-","0","  Hamster","  390 ","  118 ","-","  93 ","-","-","-","-","-","  681 ",""
"  Gerbil","0","-","-","-","0","-","-","-","  Gerbil","-","-","-","-","-","-","-","-","-","",""
"  Other rodent","0","  48 ","-","-","-","0","-","-","  Other rodent","-","-","-","-","-","-","-","-","  182 ","  230 ",""
"  Rabbit","0","  1,008 ","  646 ","-","  104 ","-","0","-","  Rabbit","  4,640 ","  9 ","  3,075 ","  121 ","-","-","  419 ","  185 ","  10 ","  10,217 ",""
"  Cat","0","-","-","-","-","-","-","0","  Cat","  17 ","-","-","-","-","-","-","-","0","  17 ",""
"  Dog","","","","","","","","","  Dog","","","","","","","","","","",""
"     Beagle","0","  65 ","-","-","  8 ","  64 ","-","-","     Beagle","  2,434 ","-","-","  889 ","-","-","  1 ","  165 ","  15 ","  3,641 ",""
"     Greyhound","0","-","-","-","-","-","-","-","     Greyhound","-","0","-","-","-","-","-","-","-","0",""
"     Other including cross-bred dogs","0","-","-","-","-","-","-","-","     Other including cross-bred dogs","-","-","0","-","-","-","-","-","-","0",""
"  Ferret","0","-","-","-","-","-","-","-","  Ferret","-","  21 ","-","  5 ","-","-","-","-","-","  26 ",""
"  Other carnivore","0","-","-","-","-","-","-","-","  Other carnivore","-","  38 ","-","-","0","-","-","-","0","  38 ",""
"  Horse, donkey and cross-bred  equids","0","-","0","-","-","-","-","-","  Horse and other equids","  32 ","  40 ","-","-","-","0","-","-","0","  72 ",""
"  Pig","0","  5 ","-","-","-","-","-","-","  Pig","  422 ","  845 ","-","  110 ","  4 ","-","  47 ","  439 ","  3 ","  1,875 ",""
"  Goat","0","  6 ","-","-","-","-","-","-","  Goat","-","-","-","  1 ","-","-","-","0","-","  7 ",""
"  Sheep","0","-","-","-","-","-","-","-","  Sheep","  76 ","  160 ","  128 ","  48 ","-","-","  69 ","  16 ","0","  497 ",""
"  Cattle","0","  19 ","-","-","-","-","-","-","  Cattle","  12 ","  754 ","  22 ","  147 ","-","-","-","  6 ","  8 ","  968 ",""
"  Deer","0","-","-","-","-","-","-","-","  Deer","-","-","-","-","-","-","-","-","-","0",""
"  Camelid","0","-","-","-","-","-","-","-","  Camelid","-","-","-","-","-","-","-","-","-","0",""
"  Other ungulate","0","-","-","-","-","-","-","-","  Other ungulate","-","-","-","-","-","-","-","-","0","0",""
"(2) Following a decision in 1998, procedures using animals in research on finished cosmetics and on cosmetic ingredients have not been allowed.","","","","","","","","","(1) Following a decision in 1997, procedures using animals in research on tobacco have not been allowed.","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 2 of 4","","","","","","","","","Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 4 of 4","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","Number of procedures","Great Britain 2011","","","","","","","","","","Number of procedures",""
"Species of animal","Toxicology or other safety/efficacy evaluation","","","","","","","","Species of animal","Toxicology or other safety/efficacy evaluation","","","","","","","","","Total",""
"","General safety/efficacy evaluation","","","","","","","","","Pharmaceutical safety/efficacy evaluation","","","","Other purposes","","","","","",""
"","Pollution","Agriculture","Industry","Household","Food additives","Other foodstuffs","Finished cosmetics(2)","Cosmetics ingredients(2)","","Safety testing","Efficacy testing","Quality control","ADME and residue","Toxicology research","Tobacco safety(1)","Medical  device safety","Method development","Other","",""
"  Primate","","","","","","","","","  Primate","","","","","","","","","","",""
"   Prosimian","0","-","-","-","-","-","-","-","   Prosimian","-","-","-","-","-","-","-","-","-","0",""
"   New World monkey","","","","","","","","","   New World monkey","","","","","","","","","","",""
"      marmoset, tamarin","0","-","-","-","-","-","-","-","      marmoset, tamarin","  83 ","-","-","-","-","-","-","  26 ","0","  109 ",""
"      Squirrel, owl, spider monkey","0","-","-","-","-","-","-","-","      Squirrel, owl, spider monkey","-","-","-","-","-","-","-","-","-","0",""
