"Table 10 Scientific procedures (toxicology) by species of animal and type of legislation","","","","","","","","","","",""
"Summary version","","","","","","","","","","",""
"Note. For numbers of procedures by purpose, see full table available on the website","","","","","","","","","","",""
"","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","Number of procedures","","",""
"Species of animal","UK requirements only","One EU country only (not UK)","EU requirements, incl. European Pharmacopoeia","Requirements of (non-EU) Council of Europe ","Requirements of other countries","Any combination of legislative requirements","Non-legislative purposes","Total","","",""
"Mammal","","","","","","","","","","",""
"  Mouse","  1,493 ","0","  8,042 ","  46 ","  580 ","  151,163 ","  6,292 ","  167,616 ","","",""
"  Rat","  434 ","  27 ","  900 ","-","  272 ","  104,462 ","  6,102 ","  112,197 ","","",""
"  All other rodents","  128 ","-","  717 ","-","  221 ","  6,414 ","  387 ","  7,867 ","","",""
"  Rabbit","  240 ","-","  2,511 ","-","  39 ","  7,169 ","  258 ","  10,217 ","","",""
"  Cat","0","0","  15 ","0","0","  2 ","0","  17 ","","",""
"  Dog","0","0","  35 ","0","0","  3,299 ","  307 ","  3,641 ","","",""
"  Ferret","-","-","-","-","-","  26 ","-","  26 ","","",""
"  Other carnivore","  38 ","-","-","-","-","-","0","  38 ","","",""
"  Horse and other equids","0","0","  72 ","0","0","0","0","  72 ","","",""
"  Pigs, sheep & all other ungulates","  80 ","0","  1,539 ","0","  111 ","  1,591 ","  26 ","  3,347 ","","",""
"  Primate","","","","","","","","","","",""
"    New World monkey","-","-","-","-","-","  96 ","  13 ","  109 ","","",""
"    Old World monkey","-","-","-","-","-","  1,549 ","  9 ","  1,558 ","","",""
"  All other mammals","0","-","-","-","-","-","-","0","","",""
"Bird","-","  1,535 ","  2,281 ","-","-","  11,572 ","  264 ","  15,652 ","","",""
"Reptile / Amphibian","0","-","-","-","-","  419 ","0","  419 ","","",""
"Fish","  858 ","-","  11,290 ","-","  1,317 ","  10,859 ","  52,026 ","  76,350 ","","",""
"Total ","  3,271 ","  1,562 ","  27,402 ","  46 ","  2,540 ","  298,621 ","  65,684 ","  399,126 ","","",""
"Increase on 2010","124 ","1,548 ","-""#,##0"" ","-""#,##0"" ","-""#,##0"" ","17,589 ","-""#,##0"" ","7,932 ","","",""
"Percentage change from 2010","4%","11057%","-""0f%","N/A","-""0f%","6%","-""0f%","2%","","",""
"Percentage of total for 2011","1%","0.4%","7%","0%","1%","75%","16%","100%","","",""
"2010 Totals","3,147 ","14 ","27,881 ","61 ","4,543 ","281,032 ","74,516 ","391,194 ","","",""
"","","","","","","","","","","",""
"N/A = Not applicable","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
