"Table 11 Scientific procedures (toxicology) by species of animal and type of toxicological test: all purposes, page 1 of 2","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","Number of procedures","","","","","","","",""
"Species of animal","Type of toxicological test or procedure","","","","","","","","","","","","","","","","",""
"","Acute lethal
toxicity","Acute lethal
concentration","Acute limit setting","Acute non - lethal clinical sign","Subacute limit-setting or dose ranging","Subacute toxicity","Subchronic and chronic","Carcinogenicity","Genetic toxicology (includes mutagenicity)","Teratogenicity","","","","","","","",""
"Mammal","","","","","","","","","","","","","","","","","",""
"  Mouse","  78,545 ","  1,180 ","  4,563 ","  11,406 ","  3,435 ","  3,552 ","  1,945 ","  1,815 ","  2,166 ","  355 ","","","","","","","",""
"  Rat","  74 ","  1,878 ","  3,269 ","  5,549 ","  8,046 ","  13,483 ","  10,847 ","  2,032 ","  4,850 ","  2,987 ","","","","","","","",""
"  All other rodents","  338 ","  182 ","  4 ","  38 ","-","  40 ","  96 ","-","-","0","","","","","","","",""
"  Rabbit","-","-","-","  8 ","  68 ","  102 ","  64 ","-","-","  1,813 ","","","","","","","",""
"  Cat","-","-","-","  2 ","-","-","-","-","-","-","","","","","","","",""
"  Dog","-","-","-","  87 ","  386 ","  840 ","  840 ","-","-","-","","","","","","","",""
"  Ferret","-","-","-","-","-","-","-","-","-","-","","","","","","","",""
"  Other carnivore","-","-","-","-","-","-","-","-","-","-","","","","","","","",""
"  Horse and other equids","0","-","-","-","  32 ","-","-","-","-","-","","","","","","","",""
"    Pigs, sheep & all other ungulates","0","0","0","  22 ","  48 ","  59 ","  134 ","-","-","-","","","","","","","",""
"  Primate","","","","","","","","","","","","","","","","","",""
"    New World monkey","-","-","-","-","  11 ","  2 ","-","-","-","-","","","","","","","",""
"    Old World monkey","-","-","-","  7 ","  121 ","  476 ","  228 ","-","-","-","","","","","","","",""
"  All other mammals","0","-","-","-","-","-","-","-","-","-","","","","","","","",""
"Bird","  308 ","  60 ","  182 ","-","  60 ","  534 ","-","-","-","-","","","","","","","",""
"Reptile, amphibian","0","-","-","-","-","  400 ","-","-","-","-","","","","","","","",""
"Fish","  105 ","  5,383 ","  2,457 ","-","  2,136 ","  6,734 ","  4,080 ","-","-","-","","","","","","","",""
"  Total","  79,370 ","  8,683 ","  10,475 ","  17,119 ","  14,343 ","  26,222 ","  18,234 ","  3,847 ","  7,016 ","  5,155 ","","","","","","","",""
"Increase on 2010","12,315 ","1,647 ","-""#,##0"" ","11,043 ","820 ","2,434 ","1,546 ","-""#,##0"" ","398 ","1,701 ","","","","","","","",""
"Percentage change from 2010","18%","23%","-""0f%","182%","6%","10%","9%","-""0f%","6%","49%","","","","","","","",""
"Percentage of total for 2011","20%","2%","3%","4%","4%","7%","5%","1%","2%","1%","","","","","","","",""
