"Table 16 Scientific procedures (toxicology) by species of animal and type of toxicological test: other safety or toxicology testing","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","Number of procedures","",""
"Species of animal","Type of toxicological test or procedure","","","","","","","","","","",""
"","Acute lethal
toxicity","Acute lethal
concentration","Acute limit setting","Acute non - lethal clinical sign","Subacute limit-setting or dose ranging","Subacute toxicity","Subchronic and chronic","Carcinogenicity","Genetic toxicology (includes mutagenicity)","Teratogenicity","",""
"  Horse and other equids","0","-","-","-","-","-","-","-","-","-","",""
"  Pigs, sheep & all other ungulates","0","0","0","0","0","0","0","-","-","-","",""
"  New World monkey","-","-","-","-","-","-","-","-","-","-","",""
"  Old World monkey","-","-","-","-","-","-","-","-","-","-","",""
"  Bird","-","-","-","-","-","-","-","-","-","-","",""
"  Reptile / Amphibian","0","-","-","-","-","-","-","-","-","-","",""
"  Fish","-","-","  103 ","-","-","-","  240 ","-","-","-","",""
"  Mouse","  84 ","  1,180 ","  73 ","-","  34 ","-","-","  9 ","-","-","",""
"  Rat","  4 ","  1,204 ","  50 ","-","  24 ","  140 ","  188 ","-","  380 ","-","",""
"  All other rodents","  338 ","  182 ","-","-","-","-","-","-","-","0","",""
"  Rabbit","-","-","-","-","-","-","-","-","-","-","",""
"  Cat","-","-","-","-","-","-","-","-","-","-","",""
"  Dog","-","-","-","-","-","-","-","-","-","-","",""
"  Other carnivore","-","-","-","-","-","-","-","-","-","-","",""
"  Total","0","0","  103 ","0","0","0","  240 ","0","0","0","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
