"Animal","Genotype","Group","Treatment","Time Immobile (s)","Latency to Immobility (s)",""
"C1","WT","Control","Vehicle","37","105",""
"C2","WT","Control","Vehicle","20","90",""
"C3","WT","Control","Vehicle","19","78",""
"C4","WT","Control","Vehicle","33","99",""
"C5","WT","Control","Vehicle","56","85",""
"C6","WT","Control","Vehicle","10","79",""
"C7","WT","Control","Vehicle","30","104",""
"C8","WT","Control","Vehicle","76","79",""
"C9","WT","Control","Vehicle","120","81",""
"C10","WT","Control","Vehicle","111","98",""
"average","","","","51.2","89.8",""
"stdv","","","","38.926711765687","10.840254199562",""
"sterror","","","","12.309707100045","3.427989368582",""
"","","","","","",""
"C11","WT","Control","Fluoxetine","85","80",""
"C12","WT","Control","Fluoxetine","66","101",""
"C13","WT","Control","Fluoxetine","175","74",""
"C14","WT","Control","Fluoxetine","110","70",""
"C15","WT","Control","Fluoxetine","161","59",""
"C16","WT","Control","Fluoxetine","159","99",""
"C17","WT","Control","Fluoxetine","172","70",""
"C18","WT","Control","Fluoxetine","104","102",""
"C19","WT","Control","Fluoxetine","133","100",""
"C20","WT","Control","Fluoxetine","166","72",""
"average","","","","133.1","82.7",""
"stdv","","","","39.436165015264","16.173022805483",""
"sterror","","","","12.470810363048","5.1143588715172",""
"","","","","","",""
"351","WT","Stress","Vehicle","208","4",""
"191","WT","Stress","Vehicle","262","3",""
"251","WT","Stress","Vehicle","279","2",""
"361","WT","Stress","Vehicle","208","3",""
"541","WT","Stress","Vehicle","286","3",""
"852","WT","Stress","Vehicle","215","4",""
"4163","WT","Stress","Vehicle","192","6",""
"4213","WT","Stress","Vehicle","237","3",""
"4223","WT","Stress","Vehicle","201","4",""
"4303","WT","Stress","Vehicle","180","3",""
"4323","WT","Stress","Vehicle","205","3",""
"E1","WT","Stress","Vehicle","228","46",""
"E2","WT","Stress","Vehicle","279","48",""
"E3","WT","Stress","Vehicle","283","53",""
"E4","WT","Stress","Vehicle","209","16",""
"E5","WT","Stress","Vehicle","143","27",""
"average","","","","225.9375","14.25",""
"stdv","","","","41.771551323838","18.451738852115",""
"sterror","","","","10.442887830959","4.6129347130289",""
"","","","","","",""
"211","WT","Stress","Fluoxetine","250","8",""
"291","WT","Stress","Fluoxetine","189","7",""
"111","WT","Stress","Fluoxetine","186","3",""
"11","WT","Stress","Fluoxetine","247","8",""
"672","WT","Stress","Fluoxetine","167","10",""
"4333","WT","Stress","Fluoxetine","204","13",""
"4353","WT","Stress","Fluoxetine","225","8",""
"4383","WT","Stress","Fluoxetine","106","15",""
"4393","WT","Stress","Fluoxetine","168","4",""
"E6","WT","Stress","Fluoxetine","57","111",""
"E7","WT","Stress","Fluoxetine","168","55",""
"E8","WT","Stress","Fluoxetine","245","50",""
"E9","WT","Stress","Fluoxetine","78","115",""
"E10","WT","Stress","Fluoxetine","44","138",""
"average","","","","166.71428571429","38.928571428571",""
"stdv","","","","70.067471407569","47.764589854369",""
"sterror","","","","18.72631942605","12.765623603916",""
"","","","","","",""
"411","FGF2KO","Stress","Vehicle","239","3",""
"131","FGF2KO","Stress","Vehicle","279","3",""
"141","FGF2KO","Stress","Vehicle","274","1",""
"151","FGF2KO","Stress","Vehicle","270","1",""
"802","FGF2KO","Stress","Vehicle","282","16",""
"812","FGF2KO","Stress","Vehicle","290","10",""
"4043","FGF2KO","Stress","Vehicle","238","1",""
"4113","FGF2KO","Stress","Vehicle","197","2",""
"average","","","","258.625","4.625",""
"stdv","","","","31.441271784528","5.4755952057418",""
"sterror","","","","11.116168243985","1.9359152505063",""
"","","","","","",""
"121","FGF2KO","Stress","Fluoxetine","276","2",""
"201","FGF2KO","Stress","Fluoxetine","171","3",""
"181","FGF2KO","Stress","Fluoxetine","203","1",""
"391","FGF2KO","Stress","Fluoxetine","230","3",""
"702","FGF2KO","Stress","Fluoxetine","265","9",""
"642","FGF2KO","Stress","Fluoxetine","256","5",""
"4153","FGF2KO","Stress","Fluoxetine","279","7",""
"4313","FGF2KO","Stress","Fluoxetine","272","2",""
"4783","FGF2KO","Stress","Fluoxetine","255","2",""
"average","","","","245.22222222222","3.7777777777778",""
"stdv","","","","36.965449333728","2.6822461565718",""
"sterror","","","","12.321816444576","0.89408205219062",""
