"Animal","Genotype","Group","Treatment","Emotionality Index",""
"C1","WT","Control","Vehicle","-0.14",""
"C2","WT","Control","Vehicle","-0.26",""
"C3","WT","Control","Vehicle","-0.68",""
"C4","WT","Control","Vehicle","-0.29",""
"C5","WT","Control","Vehicle","0.52",""
"C6","WT","Control","Vehicle","-1.54",""
"C7","WT","Control","Vehicle","-0.54",""
"C8","WT","Control","Vehicle","0.3",""
"C9","WT","Control","Vehicle","1.81",""
"C10","WT","Control","Vehicle","1.98",""
"average","","","","0.116",""
"stdv","","","","1.0913416819066",""
"sterror","","","","0.34511254203037",""
"","","","","",""
"C11","WT","Control","Fluoxetine","1.1",""
"C12","WT","Control","Fluoxetine","0.39",""
"C13","WT","Control","Fluoxetine","3.72",""
"C14","WT","Control","Fluoxetine","2.14",""
"C15","WT","Control","Fluoxetine","2.42",""
"C16","WT","Control","Fluoxetine","2.48",""
"C17","WT","Control","Fluoxetine","3.74",""
"C18","WT","Control","Fluoxetine","1.88",""
"C19","WT","Control","Fluoxetine","2.21",""
"C20","WT","Control","Fluoxetine","2.84",""
"average","","","","2.292",""
"stdv","","","","1.0395490475308",""
"sterror","","","","0.3287342729656",""
"","","","","",""
"351","WT","Stress","Vehicle","4.62",""
"191","WT","Stress","Vehicle","4.89",""
"251","WT","Stress","Vehicle","5.82",""
"361","WT","Stress","Vehicle","4.31",""
"541","WT","Stress","Vehicle","6.66",""
"852","WT","Stress","Vehicle","4.34",""
"4163","WT","Stress","Vehicle","3.87",""
"4213","WT","Stress","Vehicle","5.33",""
"4223","WT","Stress","Vehicle","4.16",""
"4303","WT","Stress","Vehicle","3.16",""
"4323","WT","Stress","Vehicle","4.35",""
"E1","WT","Stress","Vehicle","5.21",""
"E2","WT","Stress","Vehicle","6.78",""
"E3","WT","Stress","Vehicle","6.38",""
"E4","WT","Stress","Vehicle","4.41",""
"E5","WT","Stress","Vehicle","2.81",""
"average","","","","4.81875",""
"stdv","","","","1.1584810457376",""
"sterror","","","","0.28962026143441",""
"","","","","",""
"211","WT","Stress","Fluoxetine","5.26",""
"291","WT","Stress","Fluoxetine","3.49",""
"111","WT","Stress","Fluoxetine","3.17",""
"11","WT","Stress","Fluoxetine","3.98",""
"672","WT","Stress","Fluoxetine","3.37",""
"4333","WT","Stress","Fluoxetine","4.67",""
"4353","WT","Stress","Fluoxetine","5.5",""
"4383","WT","Stress","Fluoxetine","1.63",""
"4393","WT","Stress","Fluoxetine","3.22",""
"E6","WT","Stress","Fluoxetine","0.94",""
"E7","WT","Stress","Fluoxetine","3.49",""
"E8","WT","Stress","Fluoxetine","4.74",""
"E9","WT","Stress","Fluoxetine","0.98",""
"E10","WT","Stress","Fluoxetine","0.57",""
"average","","","","3.215",""
"stdv","","","","1.6240393610236",""
"sterror","","","","0.43404277654182",""
"","","","","",""
"411","FGF2KO","Stress","Vehicle","5.4",""
"131","FGF2KO","Stress","Vehicle","6.59",""
"141","FGF2KO","Stress","Vehicle","6.49",""
"151","FGF2KO","Stress","Vehicle","6.37",""
"802","FGF2KO","Stress","Vehicle","6.2",""
"812","FGF2KO","Stress","Vehicle","5.95",""
"4043","FGF2KO","Stress","Vehicle","5.57",""
"4113","FGF2KO","Stress","Vehicle","4.13",""
"average","","","","5.8375",""
"stdv","","","","0.81048045715401",""
"sterror","","","","0.28654811363639",""
"","","","","",""
"121","FGF2KO","Stress","Fluoxetine","6.68",""
"201","FGF2KO","Stress","Fluoxetine","2.96",""
"181","FGF2KO","Stress","Fluoxetine","3.63",""
"391","FGF2KO","Stress","Fluoxetine","5.79",""
"702","FGF2KO","Stress","Fluoxetine","5.9",""
"642","FGF2KO","Stress","Fluoxetine","5.37",""
"4153","FGF2KO","Stress","Fluoxetine","6.61",""
"4313","FGF2KO","Stress","Fluoxetine","6.35",""
"4783","FGF2KO","Stress","Fluoxetine","5.07",""
"average","","","","5.3733333333333",""
"stdv","","","","1.3036966671738",""
"sterror","","","","0.43456555572459",""
