"Animal","Genotype","Group","Treatment","GR Fold Change","FGF2 Fold Change",""
"C1","WT","Control","Vehicle","1.8404","1.2018",""
"C2","WT","Control","Vehicle","1.5911","1",""
"C3","WT","Control","Vehicle","1.7901","0.5305",""
"C4","WT","Control","Vehicle","1.6818","0.5725",""
"C5","WT","Control","Vehicle","2.5669","3.2454",""
"C6","WT","Control","Vehicle","1.7291","1.1784",""
"C7","WT","Control","Vehicle","2.7511","0.7188",""
"C8","WT","Control","Vehicle","0.9727","0.7255",""
"C9","WT","Control","Vehicle","3.0105","0.7645",""
"C10","WT","Control","Vehicle","1","0.6132",""
"average","","","","1.89337","1.05506",""
"stdv","","","","0.687964002692","0.80600107554381",""
"sterror","","","","0.21755331967129","0.25487991952639",""
"","","","","","",""
"C11","WT","Control","Fluoxetine","1.366","0.3912",""
"C12","WT","Control","Fluoxetine","0.7955","0.5566",""
"C13","WT","Control","Fluoxetine","1.879","1.5913",""
"C14","WT","Control","Fluoxetine","1.8777","1.9904",""
"C15","WT","Control","Fluoxetine","2.5669","1.1853",""
"C16","WT","Control","Fluoxetine","0.712","0.3683",""
"C17","WT","Control","Fluoxetine","1.4142","5.1949",""
"C18","WT","Control","Fluoxetine","0.8706","0.3753",""
"C19","WT","Control","Fluoxetine","2.4116","0.2714",""
"C20","WT","Control","Fluoxetine","2.0279","0.3613",""
"average","","","","1.59214","1.2286",""
"stdv","","","","0.66567387110106","1.5178494281933",""
"sterror","","","","0.21050456115407","0.4799861338275",""
"","","","","","",""
"351","WT","Stress","Vehicle","1","0.024",""
"251","WT","Stress","Vehicle","0.9299","0.0114",""
"361","WT","Stress","Vehicle","1.1218","0.0402",""
"852","WT","Stress","Vehicle","1.9545","0.0326",""
"E1","WT","Stress","Vehicle","1.4241","0.1118",""
"E2","WT","Stress","Vehicle","1.3195","0.5677",""
"E3","WT","Stress","Vehicle","1.4641","0.0016",""
"E4","WT","Stress","Vehicle","1.021","0.0305",""
"E5","WT","Stress","Vehicle","1.1567","1.0256",""
"average","","","","1.2657333333333","0.20504444444444",""
"stdv","","","","0.319690752916","0.35576790928606",""
"sterror","","","","0.10656358430533","0.11858930309535",""
"","","","","","",""
"211","WT","Stress","Fluoxetine","0.7487","0.4454",""
"291","WT","Stress","Fluoxetine","1.8718","0.1006",""
"111","WT","Stress","Fluoxetine","0.4423","0.0594",""
"672","WT","Stress","Fluoxetine","0.8478","0.0836",""
"E6","WT","Stress","Fluoxetine","0.4763","0.5987",""
"E7","WT","Stress","Fluoxetine","1.7411","0.8354",""
"E8","WT","Stress","Fluoxetine","1.366","0.6463",""
"E9","WT","Stress","Fluoxetine","1.0281","1.3769",""
"E10","WT","Stress","Fluoxetine","0.79","0.409",""
"average","","","","1.0346777777778","0.50614444444444",""
"stdv","","","","0.51827775318302","0.42581571750909",""
"sterror","","","","0.17275925106101","0.14193857250303",""
"","","","","","",""
"411","FGF2KO","Stress","Vehicle","0.442","0.022",""
"141","FGF2KO","Stress","Vehicle","0.5212","0.4395",""
"151","FGF2KO","Stress","Vehicle","0.4309","0.0399",""
"802","FGF2KO","Stress","Vehicle","0.5771","0",""
"average","","","","0.4928","0.12535",""
"stdv","","","","0.069102098376243","0.21006806039948",""
"sterror","","","","0.034551049188122","0.10503403019974",""
"","","","","","",""
"201","FGF2KO","Stress","Fluoxetine","0.326","0.4567",""
"181","FGF2KO","Stress","Fluoxetine","0.4278","0.0309",""
"391","FGF2KO","Stress","Fluoxetine","0.6638","0.0134",""
"702","FGF2KO","Stress","Fluoxetine","0.4217","0.0058",""
"average","","","","0.459825","0.1267",""
"stdv","","","","0.14375215650556","0.22025087211329",""
"sterror","","","","0.071876078252782","0.11012543605665",""
