"LEAD CONC DURING JANUARY & DECEMBER 2023 in mg/L","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","","",""
"OORGAUM","0.278","0.278","0.278","0.278","0.278","0.278","0.265","0.265","0.265","0.265","0.265","0.265","","",""
"","0.246","0.246","0.246","0.246","0.246","0.246","0.278","0.278","0.278","0.278","0.278","0.278","","",""
"","0.271","0.271","0.271","0.271","0.271","0.271","0.325","0.325","0.325","0.325","0.325","0.325","","",""
"","0.289","0.289","0.289","0.289","0.289","0.289","0.264","0.264","0.264","0.264","0.264","0.264","","",""
"","","","","","","","","","","","","","","",""
"TENANTS","0.311","0.311","0.311","0.311","0.311","0.311","0.331","0.331","0.331","0.331","0.331","0.331","","",""
"","0.31","0.31","0.31","0.31","0.31","0.31","0.35","0.35","0.35","0.35","0.35","0.35","","",""
"","0.37","0.37","0.37","0.37","0.37","0.37","0.32","0.32","0.32","0.32","0.32","0.32","","",""
"","0.312","0.312","0.312","0.312","0.312","0.312","0.278","0.278","0.278","0.278","0.278","0.278","","",""
"","","","","","","","","","","","","","","",""
"CHAMPION REEFS","0.47","0.47","0.47","0.47","0.47","0.47","0.52","0.84","0.52","0.87","0.56","0.52","","",""
"","0.45","0.45","0.45","0.45","0.51","0.45","0.49","0.98","0.75","0.85","0.55","0.52","","",""
"","0.43","0.43","0.51","0.43","0.49","0.43","0.47","0.85","0.78","0.74","0.54","0.47","","",""
"","0.49","0.49","0.52","0.49","0.49","0.49","0.465","0.78","0.78","0.75","0.52","0.465","","",""
"","","","","","","","","","","","","","","",""
"BALGHAT","0.19","0.19","0.19","0.19","0.19","0.19","0.157","0.157","0.157","0.157","0.157","0.157","","",""
"","0.164","0.164","0.164","0.164","0.164","0.164","0.142","0.142","0.142","0.142","0.142","0.142","","",""
"","0.153","0.153","0.153","0.153","0.153","0.153","0.157","0.157","0.157","0.157","0.157","0.157","","",""
"","0.166","0.166","0.166","0.166","0.166","0.166","0.162","0.162","0.162","0.162","0.162","0.162","","",""
