"Nutrient Name","Unit","N[1]","Raw","","Cooked","","Source Code[2]"
"","","","","","(Grilled)","",""
"","","","100g","114g","100g","85g",""
"Water","g","6","75","86","65","56","1"
"Energy","Kcal","0","107","122","151","128","4"
"Calories from fat","Kcal","0","19","21","24","20","4"
"Protein","g","6","22","25","32","27","1"
"Total lipid (fat)","g","6","2","2","3","2","1"
"Ash","g","6","1.09","1.24","1.45","1.23","1"
"Carbohydrate, by difference","g","0","0","0","0","0","4"
"Fiber, total dietary","g","0","0","0","0","0","7"
"Sugars, total","g","0","0","0","0","0","7"
"Calcium, Ca","mg","6","4.0","4.6","6.0","5.1","1"
"Iron, Fe","mg","6","0.8","0.9","1.4","1.2","1"
"Sodium, Na","mg","6","86","98","88","75","1"
"Vitamin C, total ascorbic acid","mg","0","0","0","0","0","7"
"Vitamin A","IU","0","0","0","0","0","1"
"Fatty acids, total saturated","g","0","0.8","0.9","1.0","0.9","4"
"Cholesterol","mg","6","56","64","72","61","1"
"Magnesium, Mg","mg","6","30","34","38","32","1"
"Phosphorus, P","mg","6","212","242","277","235","1"
"Potassium, K","mg","6","273","311","323","275","1"
"Zinc, Zn","mg","6","2.0","2.2","3.3","2.8","1"
"Selenium, Se","mcg","1","16","18","22","18","1"
"Thiamin","mg","1","0.10","0.11","0.09","0.08","1"
"Riboflavin","mg","1","0.34","0.39","0.47","0.40","1"
"Niacin","mg","1","9.3","10.6","10.1","8.6","1"
"Pantothenic acid","mg","1","0.58","0.66","0.65","0.55","1"
"Vitamin B6","mg","1","0.60","0.68","0.76","0.65","1"
"Vitamin B12","mcg","1","2.1","2.4","2.7","2.3","1"
