"Per capita sales of food for all purchasers with taxes and tips, by State","","","","","","",""
"(U.S. Dollars)","","","","","","",""
"Year","State","Nominal sales per capita","","Total nominal food sales per capita","Constant-dollar sales per capita (1988=100)","","Total constant-dollar food sales per capita"
"","","FAH","FAFH","","FAH","FAFH",""
"1997","Alabama","1,340.02","802.19","2,142.20","996.60","615.98","1,612.58"
"1998","Alabama","1,393.73","882.80","2,276.54","1,021.42","660.48","1,681.91"
"1999","Alabama","1,466.50","938.48","2,404.99","1,057.97","685.38","1,743.35"
"2000","Alabama","1,516.38","977.59","2,493.97","1,065.34","698.12","1,763.45"
"2001","Alabama","1,542.82","1,030.54","2,573.36","1,053.79","716.70","1,770.48"
"2002","Alabama","1,568.56","1,081.63","2,650.19","1,057.61","735.51","1,793.12"
"2003","Alabama","1,604.73","1,155.67","2,760.39","1,059.12","767.52","1,826.64"
"2004","Alabama","1,639.40","1,231.62","2,871.02","1,040.96","793.42","1,834.38"
"2005","Alabama","1,696.16","1,296.09","2,992.25","1,055.53","811.46","1,866.99"
"2006","Alabama","1,671.29","1,366.62","3,037.91","1,020.26","830.15","1,850.41"
"2007","Alabama","1,712.92","1,421.82","3,134.73","1,003.58","835.15","1,838.73"
"2008","Alabama","1,782.92","1,440.03","3,222.95","978.79","808.63","1,787.41"
"2009","Alabama","1,716.89","1,406.71","3,123.60","935.42","762.24","1,697.66"
"2010","Alabama","1,766.52","1,425.96","3,192.47","956.82","762.95","1,719.77"
"2011","Alabama","1,861.17","1,499.28","3,360.44","959.00","784.72","1,743.72"
"2012","Alabama","1,963.62","1,577.60","3,541.21","985.17","803.60","1,788.78"
"2013","Alabama","1,979.38","1,665.32","3,644.69","981.42","829.25","1,810.67"
"2014","Alabama","2,074.99","1,785.89","3,860.88","1,004.35","868.83","1,873.18"
"2015","Alabama","2,116.28","1,949.10","4,065.38","1,013.87","920.15","1,934.02"
"2016","Alabama","2,137.80","2,066.28","4,204.08","1,038.94","956.35","1,995.29"
"2017","Alabama","2,235.04","2,191.83","4,426.87","1,088.61","994.44","2,083.05"
"2018","Alabama","2,307.48","2,287.06","4,594.54","1,120.55","1,016.20","2,136.75"
"2019","Alabama","2,378.80","2,391.83","4,770.63","1,147.28","1,031.06","2,178.34"
"2020","Alabama","2,468.17","2,163.32","4,631.49","1,149.92","907.77","2,057.69"
"2021","Alabama","2,679.95","2,595.58","5,275.53","1,207.13","1,048.60","2,255.73"
"2022","Alabama","2,765.07","2,773.28","5,538.36","1,118.23","1,039.60","2,157.83"
"2023","Alabama","2,836.13","2,925.53","5,761.66","1,088.78","1,023.84","2,112.62"
"1997","Alaska","1,765.88","1,249.01","3,014.89","1,262.58","974.80","2,237.38"
"1998","Alaska","1,811.85","1,266.84","3,078.69","1,256.85","962.99","2,219.84"
"1999","Alaska","1,921.61","1,293.20","3,214.81","1,306.52","962.27","2,268.79"
"2000","Alaska","1,966.34","1,368.77","3,335.11","1,310.14","996.23","2,306.37"
"2001","Alaska","1,988.26","1,367.91","3,356.16","1,271.61","965.11","2,236.72"
"2002","Alaska","1,985.19","1,399.68","3,384.87","1,246.36","955.99","2,202.36"
"2003","Alaska","2,084.72","1,491.06","3,575.78","1,274.48","999.04","2,273.53"
"2004","Alaska","2,262.58","1,554.08","3,816.66","1,333.49","1,010.20","2,343.69"
