"","Cooling and heating degree days - Regions","","","","","","",""
"","Frequency of observation: Annual","","","","","","",""
"","Unit of measure: Degree days","","","","","","",""
"","","","","","","","",""
"","Time period","","2014","2015","2016","2017","2018",""
"","Combined reference area","","","","","","",""
"","Measure: Cooling degree days","","","","","","",""
"","New South Wales, TL2","","582.5","542.9","577.6","689.5","750.4",""
"","Victoria, TL2","","213.7","200.7","198.8","216.7","264.5",""
"","Queensland, TL2","","1,288.1","1,327.2","1,415.2","1,521.7","1,566.4",""
"","South Australia, TL2","","1,041.4","1,011.8","919.2","1,050.4","1,141.9",""
"","Western Australia, TL2","","1,478.8","1,493.9","1,434.6","1,441.6","1,558.5",""
"","Tasmania, TL2","","2.2","2.2","0.8","1.0","5.1",""
"","Northern Territory, TL2","","1,746.5","1,782.4","2,014.3","2,006.5","2,129.0",""
"","Australian Capital Territory, TL2","","32.5","13.2","33.6","52.0","71.0",""
"","Burgenland (AT), TL2","","24.0","150.4","37.8","104.0","95.3",""
"","·  Mittelburgenland, TL3","","13.6","133.5","24.1","87.3","81.6",""
"","·  Nordburgenland, TL3","","36.1","183.7","56.2","125.0","116.2",""
"","·  Südburgenland, TL3","","9.7","109.6","16.4","78.6","69.1",""
"","Lower Austria, TL2","","11.3","76.4","13.3","39.9","40.2",""
"","·  Mostviertel-Eisenwurzen, TL3","","5.6","33.4","4.8","14.2","14.0",""
"","·  Niederösterreich-Süd, TL3","","6.3","58.1","8.6","39.1","33.9",""
"","·  Sankt Pölten, TL3","","8.3","57.7","8.9","33.1","26.9",""
"","·  Waldviertel, TL3","","3.6","48.9","5.0","17.9","16.8",""
"","·  Weinviertel, TL3","","19.1","124.3","21.0","56.5","58.9",""
"","·  Wiener Umland/Nordteil, TL3","","23.6","132.5","26.6","77.8","81.6",""
"","·  Wiener Umland/Südteil, TL3","","27.0","142.2","34.5","99.3","103.2",""
"","Vienna, TL2","","26.8","139.1","28.4","93.4","106.1",""
"","·  Vienna, TL3","","26.8","139.1","28.4","93.4","106.1",""
"","Carinthia, TL2","","0.1","3.0","0.2","4.8","2.3",""
"","·  Klagenfurt-Villach, TL3","","0.3","6.1","0.5","8.9","5.0",""
"","·  Oberkärnten, TL3","","0.1","2.4","0.2","3.6","2.1",""
"","·  Unterkärnten, TL3","","0.2","5.7","0.4","8.8","4.4",""
"","Styria, TL2","","1.6","20.9","2.5","18.9","14.6",""
"","·  Graz, TL3","","1.7","28.8","3.1","35.0","31.3",""
"","·  Liezen, TL3","","0.7","3.4","0.6","1.3","0.5",""
"","·  Östliche Obersteiermark, TL3","","0.5","3.6","0.5","3.0","0.4",""
"","·  Oststeiermark, TL3","","3.7","51.6","6.1","45.1","36.5",""
"","·  West- und Südsteiermark, TL3","","1.5","31.4","3.3","36.4","30.6",""
"","·  Westliche Obersteiermark, TL3","","0.0","0.4","0.0","1.2","0.2",""
"","Upper Austria, TL2","","2.3","24.5","2.2","7.3","11.2",""
"","·  Innviertel, TL3","","1.6","31.6","2.3","8.6","16.8",""
"","·  Linz-Wels, TL3","","4.5","46.6","3.7","13.6","23.4",""
"","·  Mühlviertel, TL3","","2.1","23.0","1.6","7.7","12.6",""
"","·  Steyr-Kirchdorf, TL3","","4.8","31.3","3.7","8.8","10.4",""
"","·  Traunviertel, TL3","","1.7","20.0","2.0","6.0","6.9",""
"","Salzburg, TL2","","0.4","6.8","0.6","2.2","2.6",""
"","·  Lungau, TL3","","0.0","0.0","0.0","0.0","0.0",""
"","·  Pinzgau-Pongau, TL3","","0.0","0.1","0.0","0.2","0.0",""
"","·  Salzburg und Umgebung, TL3","","0.8","15.7","1.4","4.9","6.0",""
"","Tyrol, TL2","","0.1","1.2","0.0","0.4","0.0",""
"","·  Außerfern, TL3","","0.3","2.4","0.0","0.6","0.0",""
