"","Physicians by categories","","","","","","","","","","",""
"","Measure: Health and social employment","","","","","","","","","","",""
"","Combined unit of measure: Per 1 000 inhabitants","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","Time period","","2015","2016","2017","2018","2019","2020","2021","2022","2023",""
"","Reference area","","","","","","","","","","",""
"","Health profession: Generalist medical practitioners","","","","","","","","","","",""
"","Australia","","E   1.57","E   1.57","E   1.63","E   1.64","E   1.7","E   1.75","E   1.77","E   1.78","",""
"","Austria","","1.65","B   1.58","1.56","","1.53","1.49","1.48","1.46","1.43",""
"","Belgium","","1.13","1.14","1.14","1.16","1.17","1.19","1.21","1.21","",""
"","Canada","","1.26","1.27","1.3","1.32","1.32","1.33","1.33","P   1.33","",""
"","Chile","","1.04","1.15","1.25","1.34","B   1.25","1.34","1.43","1.49","1.63",""
"","Colombia","","E   1.57","E   1.61","E   1.66","E   1.72","E   1.76","E   1.81","","","",""
"","Czechia","","","","","","EB   0.69","E   0.66","E   0.72","EB   0.78","",""
"","Denmark","","0.81","0.8","0.8","0.8","0.8","0.8","0.8","","",""
"","Estonia","","0.8","0.81","0.8","0.83","0.83","0.82","0.87","0.88","",""
"","Finland","","1.34","1.33","1.33","1.35","1.4","1.38","1.42","","",""
"","France","","1.41","1.41","1.41","1.4","1.4","1.39","1.38","1.38","",""
"","Germany","","0.96","0.96","0.97","0.98","1","1.02","1.04","1.05","",""
"","Greece","","0.41","0.42","0.43","0.41","0.44","0.45","0.47","E   0.46","",""
"","Hungary","","","","0.7","0.73","0.75","B   0.66","0.67","0.69","",""
"","Iceland","","0.58","B   0.64","0.61","0.62","0.6","0.59","0.57","0.56","0.57",""
"","Ireland","","1.84","1.8","1.83","1.85","1.84","1.88","2.34","D   1.76","E   2.1",""
"","Israel","","1.12","1.1","1.09","1.1","1.11","1.11","1.13","1.13","",""
"","Italy","","0.89","0.9","0.89","0.89","0.88","0.85","0.82","0.8","",""
"","Korea","","0.61","0.62","0.64","0.65","0.67","0.68","0.69","0.71","",""
"","Latvia","","0.7","0.72","0.73","0.73","0.72","0.75","0.77","0.76","",""
"","Lithuania","","0.97","1","1.05","1.03","1.03","0.98","1.02","1.04","",""
"","Luxembourg","","0.87","0.87","0.9","","","","","","",""
"","Mexico","","0.83","0.86","0.87","0.86","0.88","0.88","0.89","0.87","",""
"","Netherlands","","1.56","1.59","1.62","1.67","1.74","1.79","1.82","1.83","",""
"","New Zealand","","EB   1.29","E   1.29","E   1.34","E   1.37","E   1.37","EB   1.22","E   1.25","E   1.26","E   1.29",""
"","Norway","","B   0.86","0.88","0.91","0.92","0.95","0.97","0.99","1.01","1.05",""
"","Poland","","0.38","0.42","0.41","0.52","B   0.87","0.85","0.88","0.98","",""
"","Portugal","","2.4","2.52","2.62","2.68","2.81","2.9","2.96","3.03","",""
"","Slovenia","","0.66","0.68","0.68","0.68","0.68","0.69","0.69","0.69","",""
"","Spain","","0.75","0.75","0.76","B   0.89","0.92","0.91","0.95","0.95","",""
"","Sweden","","0.65","0.64","0.64","0.64","0.62","0.61","0.62","","",""
"","Switzerland","","1.16","1.15","1.14","1.14","1.13","1.14","1.14","1.15","",""
"","Türkiye","","0.57","0.58","0.6","B   0.6","0.63","0.67","0.72","0.73","",""
"","United Kingdom","","B   0.77","0.76","0.75","0.75","0.76","0.78","0.81","E   0.81","E   0.8",""
"","United States","","0.31","0.31","0.31","0.3","0.31","0.3","0.31","0.31","",""
"","Non-OECD economies","","","","","","","","","","",""
"","·  Brazil","","0.62","0.64","0.67","0.67","0.69","0.77","0.83","","",""
"","·  Bulgaria","","0.63","0.65","0.62","0.62","0.61","0.6","0.6","0.6","",""
"","·  Croatia","","0.77","0.82","0.81","0.86","0.83","0.77","0.84","0.83","",""
"","·  Cyprus","","0.87","0.92","0.97","1.05","0.95","1.14","1.21","1.38","",""
"","·  Indonesia","","","","0.17","0.23","0.22","0.51","0.52","","",""
"","·  Peru","","","","","","","","1.07","","",""
"","·  Romania","","0.77","0.77","0.77","0.76","0.78","0.79","0.79","0.8","",""
"","·  South Africa","","0.25","","","0.51","","","","","",""
"","Health profession: General practitioners","","","","","","","","","","",""
"","Australia","","E   1.16","E   1.17","E   1.2","E   1.2","E   1.23","E   1.23","E   1.24","E   1.23","",""
"","Austria","","0.77","0.76","0.75","","0.76","0.75","0.75","0.75","0.73",""
"","Belgium","","1.13","1.14","1.14","1.16","1.17","1.19","1.21","1.21","",""
"","Canada","","1.26","1.27","1.3","1.32","1.32","1.33","1.33","P   1.33","",""
"","Chile","","D   1.04","D   1.15","D   1.25","D   1.34","BD   1.25","D   1.34","D   1.43","D   1.49","1.63",""
"","Colombia","","E   1.57","E   1.61","E   1.66","E   1.72","E   1.76","E   1.81","","","",""
"","Czechia","","","","","","EB   0.69","E   0.66","E   0.72","EB   0.78","",""
"","Denmark","","0.81","0.8","0.8","0.8","0.8","0.8","0.8","","",""
"","Estonia","","0.72","0.73","0.71","0.73","0.72","0.71","0.72","0.72","",""
"","France","","1.02","1.01","1.01","0.99","0.99","0.98","0.97","0.96","",""
"","Germany","","0.71","0.7","0.71","0.72","0.72","0.72","0.73","0.73","",""
"","Greece","","0.32","0.33","0.34","0.34","0.35","0.36","0.37","E   0.38","",""
"","Hungary","","","","0.45","0.45","0.46","B   0.39","0.4","0.43","",""
"","Iceland","","0.58","B   0.64","0.61","0.62","0.6","0.59","0.57","0.56","0.57",""
"","Ireland","","0.75","0.76","0.82","0.84","0.82","0.87","0.86","D   0.77","E   1.01",""
"","Israel","","0.28","0.28","0.28","0.29","0.29","0.3","0.31","0.33","",""
"","Italy","","0.74","0.74","0.73","0.72","0.71","0.7","0.68","0.67","",""
"","Korea","","0.13","0.13","0.14","0.14","0.14","0.15","0.15","0.15","",""
"","Latvia","","0.7","0.72","0.73","0.73","0.72","0.75","0.77","0.76","",""
"","Lithuania","","0.91","0.92","0.94","0.91","0.91","0.89","0.9","0.95","",""
"","Luxembourg","","0.87","0.87","0.9","","","","","","",""
"","Mexico","","0.64","0.65","0.64","0.64","0.65","0.67","0.69","0.69","",""
"","Netherlands","","0.84","0.85","0.87","0.88","0.9","0.92","0.93","0.93","",""
"","New Zealand","","EB   0.88","E   0.93","E   0.98","E   0.99","E   0.98","EB   0.97","E   0.99","E   1","E   1.01",""
"","Norway","","B   0.8","0.81","0.83","0.84","0.85","0.86","0.86","0.87","0.9",""
"","Poland","","0.22","0.22","0.22","0.23","B   0.27","0.28","0.29","0.31","",""
"","Portugal","","2.17","2.27","2.35","2.43","2.62","2.72","2.77","2.86","",""
"","Slovenia","","0.55","0.57","0.6","0.62","0.6","0.62","0.62","0.64","",""
"","Spain","","0.75","0.75","0.76","B   0.89","0.92","0.91","0.95","0.95","",""
"","Sweden","","0.65","0.64","0.64","0.64","0.62","0.61","0.62","","",""
"","Türkiye","","D   0.57","D   0.58","D   0.6","BD   0.6","D   0.63","D   0.67","D   0.72","D   0.73","",""
"","United Kingdom","","BD   0.77","D   0.76","D   0.75","D   0.75","D   0.76","D   0.78","D   0.81","ED   0.81","E   0.8",""
"","United States","","0.31","0.31","0.31","0.3","0.31","0.3","0.31","0.31","",""
"","Non-OECD economies","","","","","","","","","","",""
"","·  Bulgaria","","0.62","0.61","0.6","0.6","0.59","0.58","0.57","0.58","",""
"","·  Croatia","","0.55","0.55","0.56","0.61","0.58","0.57","0.61","0.64","",""
"","·  Cyprus","","0.87","0.92","0.97","1.05","0.95","1.14","1.21","1.38","",""
"","·  Romania","","0.62","0.63","0.62","0.62","0.63","0.64","0.65","0.66","",""
"","Health profession: Other generalist (non-specialist) medical practitioners","","","","","","","","","","",""
"","Australia","","E   0.41","E   0.4","E   0.43","E   0.43","E   0.48","E   0.51","E   0.53","E   0.55","",""
"","Austria","","0.89","B   0.82","0.81","","0.77","0.74","0.73","0.71","0.7",""
"","Belgium","","0","0","0","0","0","0","0","0","",""
"","Canada","","0","0","0","0","0","0","0","0","",""
"","Czechia","","","","","","0","0","0","","",""
"","Denmark","","0","0","0","0","0","0","0","","",""
"","Estonia","","0.08","0.08","0.09","0.1","0.11","0.1","0.15","0.16","",""
"","France","","0.39","0.4","0.4","0.41","0.41","0.42","0.42","0.42","",""
"","Germany","","0.25","0.25","0.26","0.26","0.28","0.3","0.31","0.32","",""
"","Greece","","0.09","0.09","0.09","0.07","0.1","0.08","0.1","E   0.08","",""
"","Hungary","","","","0.25","0.28","0.29","B   0.28","0.27","0.26","",""
"","Ireland","","1.09","1.04","1.01","1.01","1.01","1.01","1.49","D   1","E   1.09",""
"","Israel","","0.85","0.82","0.8","0.81","0.82","0.81","0.82","0.8","",""
"","Italy","","0.15","0.16","0.17","0.17","0.17","0.15","0.14","0.13","",""
"","Korea","","0.48","0.49","0.5","0.51","0.53","0.54","0.55","0.55","",""
"","Latvia","","0","0","0","0","0","0","0","0","",""
"","Lithuania","","0.06","0.09","0.11","0.12","0.12","0.09","0.12","0.09","",""
"","Luxembourg","","0","0","0","","","","","","",""
"","Mexico","","0.19","0.21","0.23","0.22","0.23","0.21","0.21","0.18","",""
"","Netherlands","","0.72","0.74","0.75","0.78","0.84","0.87","0.89","0.9","",""
"","New Zealand","","EB   0.42","E   0.36","E   0.37","E   0.38","E   0.39","EB   0.25","E   0.26","E   0.27","E   0.27",""
"","Norway","","B   0.07","0.07","0.08","0.09","0.1","0.12","0.13","0.14","0.15",""
