"","","","","","","","","","","","","","","","","","2012-13",""
"","","","","","2007-08","","2008-09","","2009-10","","2010-11","","2011-12","","2012-13","","95% confidence",""
"","","","","","","","","","","","","","","","","","interval",""
"","","","","","","","","","","","","","","","","","",""
"Access & waiting","","","","","83.8","","84.9","","85.0","","84.2","","83.8","","84.3","S","0.19",""
"Safe, high quality, coordinated care","","","","","64.9","","65.3","","64.4","","64.6","","64.8","","65.4","S","0.24",""
"Better information, more choice","","","","","66.7","","67.7","","66.8","","67.2","","67.2","","68.2","S","0.27",""
"Building closer relationships","","","","","83.0","","83.2","","82.9","","83.0","","83.0","","84.6","S","0.17",""
"Clean, friendly, comfortable place to be","","","","","78.1","","79.2","","79.1","","79.3","","79.4","","79.8","S","0.15",""
"","","","","","","","","","","","","","","","","","",""
"Overall patient experience score","","","","","75.3","","76.0","","75.6","","75.7","","75.6","","76.5","S","0.16",""
"","","","","","","","","","","","","","","","","","",""
