"","","","","","","","","","2012-13","",""
"","","","","","2011-12","","2012-13","","95% confidence","",""
"","","","","","","","","","interval","",""
"","","","","","","","","","","",""
"Access & waiting","","","","","71.1","","72.4","S","0.52","",""
"Safe, high quality, coordinated care","","","","","72.1","","71.3","S","0.49","",""
"Better information, more choice","","","","","68.3","","69.1","S","0.50","",""
"Building closer relationships","","","","","84.7","","84.7","","0.34","",""
"","","","","","","","","","","",""
"Overall patient experience score","","","","","74.0","","74.4","","0.38","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"",""," ","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
