"Test Organism","Sample","Average of Log CFU/Sample","Standard Deviation of Log CFU/Sample"
"Pantoea agglomerans"," ABS Plastic","",""
"","Day 0","7.0464260446887","0.016167689697271"
"","Day 1","4.7293766630462","0.84779013552055"
"","Day 3","4.7605655935368","0.21474201720045"
""," Glass","",""
"","Day 0","7.0062079683042","0.045154522242081"
"","Day 1","4.5862427213075","0.44996817419602"
"","Day 3","4.4983349260157","0.49124755577461"
""," Stainless Steel","",""
"","Day 0","6.9985285692608","0.014091587793027"
"","Day 1","4.5707348912481","0.40617276605661"
"","Day 3","5.1040090920882","0.11273422983022"
"Burkholderia thailandensis"," ABS Plastic","",""
"","Day 0","7.3558829406782","0.016352254904882"
"","Day 1","3.9078865221412","0.11843881878071"
"","Day 3","4.4512842730413","0.66178252816295"
""," Glass","",""
"","Day 0","7.3936699107282","0.055381808353223"
"","Day 1","4.6957522258553","0.097223252707592"
"","Day 3","4.6215728835884","0.27887678754745"
""," Stainless Steel","",""
"","Day 0","7.1978482388301","0.22354551471887"
"","Day 1","4.46628031069","0.48357919636991"
"","Day 3","4.483120885085","0.10383351771779"
"Ralstonia pickettii"," ABS Plastic","",""
"","Day 0","6.5227955932955","0.068444289871194"
"","Day 1","4.0483034613008","0.032221712626137"
"","Day 3","0.69897000433602","0"
""," Glass","",""
"","Day 0","6.5198799674882","0.040518552659889"
"","Day 1","4.1996803325314","0.014738059876139"
"","Day 3","1.5688348074111","0.35095798005627"
""," Stainless Steel","",""
"","Day 0","6.5209047028233","0.021699906349997"
"","Day 1","4.3921112260871","0.031295545461171"
"","Day 3","1.6004250164103","0.26243669340171"
"Vibrio harveyi"," ABS Plastic","",""
"","Day 0","7.169584170257","0.069218408506164"
"","Day 1","0.2519967398693","0.01551794187563"
"","Day 3","0.070825491961371","0.017917623203865"
""," Glass","",""
"","Day 0","7.037339622025","0.07575307087007"
"","Day 1","0.28421096406874","0.016712908291399"
"","Day 3","0.080942923059443","0.0052327484895046"
""," Stainless Steel","",""
"","Day 0","7.2563981995216","0.044960334870508"
"","Day 1","0.28736304440022","0.02749078713905"
"","Day 3","0.079188176395323","0.0030029105746086"
"Yersinia ruckeri"," ABS Plastic","",""
"","Day 0","7.840621051076","0.047752362243408"
"","Day 1","5.5027561516755","0.26575691269809"
"","Day 3","5.8603653080353","0.20510166787386"
""," Glass","",""
"","Day 0","7.8509411992042","0.035798382582054"
"","Day 1","5.989622679669","0.11270304115414"
"","Day 3","6.8280232011623","0.086111703352322"
""," Stainless Steel","",""
"","Day 0","7.8240974319679","0.059722061255238"
"","Day 1","6.2015953159954","0.44546645127152"
"","Day 3","6.1946916036085","0.5330908187718"
"Escherichia coli"," ABS Plastic","",""
"","Day 0","7.3526205552043","0.1176974050159"
"","Day 1","6.7449714589145","0.43299129819519"
"","Day 3","5.4709463829903","0.51504126383094"
""," Glass","",""
"","Day 0","7.4266995678905","0.064211368078991"
"","Day 1","6.1527516671068","0.50474567014404"
"","Day 3","5.3881000875737","0.24167530648317"
""," Stainless Steel","",""
"","Day 0","7.431946378657","0.039089698956447"
"","Day 1","6.7119054594365","0.5573089185989"
"","Day 3","5.7651545971861","0.67895709263944"
"Serratia marcescens"," ABS Plastic","",""
"","Day 0","8.135605462442","0.025115147877978"
"","Day 1","6.9730390487245","0.061551269187726"
"","Day 3","6.0219016175833","0.070682695264095"
""," Glass","",""
"","Day 0","8.0604779287971","0.061897704836047"
"","Day 1","6.9260646739224","0.22471202052252"
"","Day 3","6.3605590086762","0.13215004652012"
""," Stainless Steel","",""
"","Day 0","8.1824046068356","0.045107480027851"
"","Day 1","7.314758139168","0.13441299497562"
"","Day 3","6.3407854042368","0.18350946077506"
