"Material","Organism","Sampler","Log10 Recovery (Inoculation Control)","Log10 Recovery (Test Sample)","Delta Log Recovery","Mean Delta Log Recovery","Standard Deviation Log Recovery"
"ABS Plastic","Serratia marcescens","Solar Cult","7.7279333359379","6.6076096344422","1.1203237014956","2.3342010174705","0.95997886544658"
"","Escherichia coli","3M","7.7913592434444","4.7276205004394","3.063738743005","",""
"","Escherichia coli","LabPlas","7.8437157121394","5.763583851262","2.0801318608773","",""
"","Escherichia coli","Solar Cult","7.7555971511134","6.2561876940838","1.4994094570296","",""
"","Serratia marcescens","3M","7.734137875821","5.5751855902935","2.1589522855275","",""
"","Serratia marcescens","LabPlas","7.0677803416207","3.3805260868212","3.6872542547995","",""
"","Yersinia ruckeri","3M","7.7459990160891","3.8491109888651","3.896888027224","",""
"","Yersinia ruckeri","LabPlas","7.569018642921","5.2978179427817","2.2712007001392","",""
"","Yersinia ruckeri","Solar Cult","7.5142009064726","6.2842907793361","1.2299101271365","",""
"Glass","Serratia marcescens","Solar Cult","7.7279333359379","6.368879770696","1.3590535652419","2.1948407512223","0.81695527235285"
"","Escherichia coli","3M","7.7478498178752","5.4735844071513","2.2742654107239","",""
"","Escherichia coli","LabPlas","7.6808975419655","6.1920608108699","1.4888367310956","",""
"","Escherichia coli","Solar Cult","7.7563158187764","5.7573990658023","1.9989167529741","",""
"","Serratia marcescens","3M","7.734137875821","5.398788791228","2.335349084593","",""
"","Serratia marcescens","LabPlas","7.0677803416207","4.0155141756081","3.0522661660126","",""
"","Yersinia ruckeri","3M","7.7459990160891","3.8075603533351","3.9384386627541","",""
"","Yersinia ruckeri","LabPlas","7.569018642921","5.4780161974767","2.0910024454442","",""
"","Yersinia ruckeri","Solar Cult","7.5142009064726","6.2987629643108","1.2154379421618","",""
"Stainless Steel","Serratia marcescens","Solar Cult","7.7279333359379","6.151358604637","1.5765747313008","2.3840674426465","0.83124040601255"
"","Yersinia ruckeri","3M","7.7459990160891","3.7268956599751","4.019103356114","",""
"","Escherichia coli","3M","7.8586225218418","5.8302735864156","2.0283489354262","",""
"","Escherichia coli","LabPlas","7.6308307617314","4.8358716506462","2.7949591110853","",""
"","Escherichia coli","Solar Cult","7.7737471845354","6.0667390812675","1.7070081032679","",""
"","Serratia marcescens","3M","7.734137875821","4.9940976666016","2.7400402092194","",""
"","Serratia marcescens","LabPlas","7.0677803416207","3.9912496914535","3.0765306501672","",""
"","Yersinia ruckeri","LabPlas","7.569018642921","5.2008982396074","2.3681204033136","",""
"","Yersinia ruckeri","Solar Cult","7.5142009064726","6.3682794225482","1.1459214839243","",""
