"Data Dictionary - HCP Influenza Vaccination by Hospital and County","","",""
"Field","Format","Definition",""
"Influenza_Season","Plain Text","October 01, 2023 through March 31, 2024",""
"State","Plain Text","California",""
"CDPH_HAI_HCP_FLU_VACCINATION","Plain Text","California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",""
"County","Plain Text","Reported County",""
"Facility_ID","Plain Text","Facility_ID is the primary key used to track facility information for all facilities stored in the Electronic Licensing Management System (ELMS) for CDPH Center for Health Care Quality, Licensing and Certification Program. ",""
"Facility_Name","Plain Text","Facility name for facilities reporting to National Healthcare Safety Network (NHSN) healthcare personnel influenza vaccination data for the 2023-24 influenza season, specifically October 1, 2023, through March 31, 2024 for California General Acute Care Hospitals reporting.  ",""
"Hospital_Type","Plain Text","HAI Program designation for hospital types. These include major teaching, community (<125 beds, 125-250 beds, and >250 beds), pediatric, critical access, long-term acute care (LTAC), and free-standing rehabilitation hospitals.",""
"HCP_Total_Number_Vaccinated","Number","Total number of Health Care Personnel (HCP) vaccinated. HCP include all paid (employee) and unpaid (licensed independent practitioners, other contract personnel and adult students/trainees and volunteers) persons working in health care settings and have the potential to transmit influenza to and from other HCP and patients. ",""
"HCP_Total_Number_Working","Number","Total number of Health Care Personnel (HCP) working",""
"HCP_Percent_Vaccinated","Number","Percentage of HCP vaccinated.",""
"Emp_Number_Vaccinated","Number","Total number of hospital employees vaccinated",""
"Emp_Number_Working","Number","Total number of hospital employees working",""
"Emp_Percent_Vaccinated","Number","Percentage of hospital employees vaccinated",""
"Lip_Number_Vaccinated","Number","Total number of licensed independent practitioners vaccinated",""
"Lip_Number_Working","Number","Total number of licensed independent practitioners working",""
"Lip_Percent_Vaccinated","Number","Percentage of licensed independent practitioners vaccinated",""
"Cont_Number_Vaccinated","Number","Total number of other contract personnel vaccinated",""
"Cont_Number_Working","Number","Total number of other contract personnel working",""
"Cont_Percent_Vaccinated","Number","Percentage of contract personnel vaccinated",""
"StudVol_Number_Vaccinated","Number","Total number of students, trainees, and volunteers vaccinated",""
"StudVol_Number_Working","Number","Total number of students, trainees, and volunteers working",""
"StudVol_Percent_Vaccinated","Number","Percentage of students, trainees, and volunteers vaccinated",""
"Met 2020 goal of 90% (>=90% in 2023-24)","Plain Text","In 2023-24, hospitals should have achieved at least 90% (Healthy People 2020 goal) HCP vaccination coverage. Did hospital achieve at least 90% HCP vaccination coverage in 2023-24?  Yes or No.",""
"Notes","Plain Text","“Non-reporter” indicates if hospital did not report data (all data fields are blank); ""Reported combined data"" indicates when hospital reports consolidated data with another hospital.",""
"","","",""
"Additional information","Inpatient rehabilitation units are excluded, for detailed explanation see Technical Notes.","",""
"Source","Influenza Vaccination among Health Care Personnel in California Hospitals, 2022-23 Season. Healthcare-Associated Infections Program, California Department of Public Health.","",""
"","https://www.cdph.ca.gov/Programs/CHCQ/HAI/Pages/HealthcarePersonnelInfluenzaVaccinationReportingInCA_Hospitals.aspx","",""
