"Variable","","n","%","Best CT","","Univariate Analysis","",""
"","","","","n","%","OR","IC95%","p"
"Job Demand","","","","","","","",""
"","Mental","162","62,8","58","35,8","1,00","",""
"","Physical","72","27,9","11","15,3","0,32","0,16-0,66","0,002*"
"","Mixed","24","9,3","6","25,0","0,60","0,16-1,59","0,302"
"Time of Work","","","","","","","",""
"","More than 27 years","133","51,6","44","33,1","1,00","",""
"","Up to 27 years","125","48,4","31","24,8","0,67","0,39-1,15","0,144*"
"Working Hours per Week","","","","","","","",""
"","Up to 30 hours/week","10","3,9","2","20,0","1,00","",""
"","More than 30 hours/week","248","96,1","73","29,4","1,67","0,35-8,05","0,524"
"Hazardous and Risky Work Allowance","","","","","","","",""
"","Yes","118","45,7","38","32,2","1,00","",""
"","No","140","54,3","37","26,4","0,76","0,441,30","0,309"
"Night or Shift Work","","","","","","","",""
"","No","168","65,1","47","28,0","1,00","",""
"","Yes","90","34,9","28","31,1","1,16","0,66-2,03","0,597"
