"Variable","","Multivariate Analysis","",""
"","","OR","IC95%","p"
"","Gender (female)","0,39","0,18-0,83","0,015*"
"","Skin color (white)","0,37","0,16-0,84","0,017*"
"Job Requirements","","","",""
"","Mental","1,0","-","-"
"","Physical","0,40","0,17-0,97","0,042*"
"","Mixed","0,45","0,14-1,41","0,171"
"Hospitalization (no)","","0,14","0,03-0,57","0,007*"
"Difficulty Sleeping (no)","","0,12","0,04-0,43","0,001*"
"Self-perceived Health","","","",""
"","Excellent","1,0","-","-"
"","Good","0,51","0,20-1,29","0,156"
"","Poor","0,22","0,09-0,54","0,001*"
"Musculoskeletal Symptoms","","","",""
"","No complaints","1,0","-","-"
"","Last 12 months","0,55","0,18-1,68","0,290"
"","Last 7 days","0,29","0,10-0,87","0,027*"
"","Work impairment","0,25","0,08-0,82","0,022*"
