"Immunoblot","","","","","","","","","","","","","","",""
"Expt-1","","","","","","","","","","","","","","",""
"","","","Runx1","","","","Runx3","","","","b-actin","","","Runx1/b-actin","Runx3/b-actin"
"","","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","",""
"Set1","Uninf","DC- SAG ","0.02","87.79","4389.5","","0.03","118.94","3964.6666666667","","0.02","91.99","4599.5","0.95434286335471","0.86197775120484"
"Set2","Uninf","DC + SAG","0.02","88.22","4411","","0.03","127.38","4246","","0.02","96.08","4804","0.91819317235637","0.88384679433805"
"Set3","LDPm 24h","DC- SAG ","0.02","90.63","4531.5","","0.03","132","4400","","0.02","85.93","4296.5","1.0546956825323","1.0240893750727"
"Set4","LDPm 24h","DC + SAG","0.02","81.86","4093","","0.03","138.83","4627.6666666667","","0.02","87.83","4391.5","0.93202778094045","1.0537781319974"
"","","","","","","","","","","","","","","",""
"Expt-2","","","","","","","","","","","","","","",""
"","","","Runx1","","","","Runx3","","","","b-actin","","","Runx1/b-actin","Runx3/b-actin"
"","","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","",""
"Set1","Uninf","DC- SAG ","0.01","68.93","6893","","0.12","143.62","1196.8333333333","","0.01","67.11","6711","1.0271196542989","0.17833904534843"
"Set2","Uninf","DC + SAG","0.01","64.06","6406","","0.12","156.74","1306.1666666667","","0.01","64.58","6458","0.99194797150821","0.20225560028905"
"Set3","LDPm 24h","DC- SAG ","0.01","68.22","6822","","0.12","162.24","1352","","0.01","66.61","6661","1.0241705449632","0.20297252664765"
"Set4","LDPm 24h","DC + SAG","0.01","77.9","7790","","0.12","152.21","1268.4166666667","","0.01","67.82","6782","1.1486287230905","0.18702693404109"
"","","","","","","","","","","","","","","",""
"Expt-3","","","","","","","","","","","","","","",""
"","","","Runx1","","","","Runx3","","","","b-actin","","","Runx1/b-actin","Runx3/b-actin"
"","","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","","Area","Intensity","Intensity/Area","",""
"Set1","Uninf","DC- SAG ","0.01","60.27","6027","","0.1","179.98","1799.8","","0.01","79.03","7903","0.76262178919398","0.22773630266987"
"Set2","Uninf","DC + SAG","0.01","70.71","7071","","0.1","200.11","2001.1","","0.01","79.73","7973","0.88686818010786","0.25098457293365"
"Set3","LDPm 24h","DC- SAG ","0.01","71.15","7115","","0.1","184.01","1840.1","","0.01","84.54","8454","0.84161343742607","0.2176602791578"
"Set4","LDPm 24h","DC + SAG","0.01","87.93","8793","","0.1","188.15","1881.5","","0.01","87.12","8712","1.0092975206612","0.21596648301194"
