"Description in SR ","NDB_No2","Year of SR Release","Sodium (mg/100g)","","","","Total Sugar (g/100g)","","","","Saturated Fat (g/100g)","","","","Total Fat (g/100g)","","","","Potassium (mg/100g)","","","","Total Dietary Fiber (g/100g)","","","","","","","","","",""
"","","","N3","Mean","SEM","%Change4","N3","Mean ","SEM","%Change4","N3","Mean ","SEM","%Change4","N3","Mean","SEM","%Change4","N3","Mean ","SEM","%Change4","N3","Mean ","SEM","%Change4","","","","","","",""
"Bagels, plain, toasted, enriched, with calcium propionate (includes onion, poppy, sesame)","18002","2013","0","537","","","2","5.82","","","0","0.283","","","2","1.72","","","2","85","","","2","2.6","","","","","","","","",""
"Bagels, plain, toasted, enriched, with calcium propionate (includes onion, poppy, sesame)","18002","2015","0","457","","-15","0","9.14","","57","0","0.229","","-19","0","1.43","","-17","0","116","","36","0","1.8","","-31","","","","","","",""
"Butter, whipped, with salt","01002","2013","0","659","","","0","0.06","","","0","50.489","","","580","81.11","0.065","","26","26","2.333","","0","0","","","","","","","","",""
"Butter, whipped, with salt","01002","2015","9","583","8.719","-12","","","","","0","45.39","","-10","9","78.30","0.228","","9","41","1.498","58","","","","","","","","","","",""
"Bread, french or vienna (includes sourdough)","18029","2013","0","513","","","1","2.56","","","0","0.497","","","2","1.83","","","2","128","","","2","2.4","","","","","","","","",""
"Bread, french or vienna (includes sourdough)","18029","2014","6","602","28.302","17","3","4.62","0.303","80","0","0.529","","","6","2.42","0.43","32","6","117","3.073","","3","2.2","0.042","","","","","","","",""
"Bread, italian","18033","2013","0","613","","","0","0.83","","","0","0.855","","","38","3.5","0.124","","13","110","2.87","","0","2.7","","","","","","","","",""
"Bread, italian","18033","2015","0","550","","-10","0","3.17","","282","0","0","","-100","","","","","","","","","0","3.2","","19","","","","","","",""
"Bread, pita, whole-wheat","18042","2013","0","444","","","0","0.82","","","0","0.41","","","3","2.6","0.092","","2","170","","","0","7.4","","","","","","","","",""
"Bread, pita, whole-wheat","18042","2015","0","527","","19","0","2.87","","250","0","0.147","","-64","0","1.71","","-34","","","","","0","6.1","","-18","","","","","","",""
"Bread stuffing, cornbread, dry mix, prepared","18085","2013","0","455","","","0","3.92","","","0","1.755","","","0","8.8","","","0","62","","","0","2.9","","","","","","","","",""
"Bread stuffing, cornbread, dry mix, prepared","18085","2015","0","526","","16","0","0","","-100","","","","","","","","","","","","","","","","","","","","","","",""
"Bread, whole-wheat, commercially prepared, toasted","18076","2013","0","493","","","2","5.77","","","0","0.922","","","2","4.07","","","2","326","","","2","9.2","","","","","","","","",""
"Bread, whole-wheat, commercially prepared, toasted","18076","2015","0","565","","15","","","","","","","","","","","","","","","","","0","7.5","","-18","","","","","","",""
"Cake, cherry fudge with chocolate frosting","18095","2013","0","261","","","0","32.94","","","0","5.066","","","1","12.5","","","1","166","","","0","1.2","","","","","","","","",""
