"TABLE A-9. Fatal occupational injuries by event or exposure for all fatal injuries and major private industry sector, all United States, 2022","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Event or exposure(1)","Event code(1)","Total fatal injuries (number)","Goods producing(2)","","","","Service providing(2)","","","","","","",""
"","","","Total goods producing","Natural resources and mining(3)","Construction","Manufacturing","Total service providing","Trade, transportation and utilities","Information","Financial activities","Professional and business services","Educational and health services","Leisure and hospitality","Other services"
"","","","","","","","","","","","","","",""
"Total","","5486","–","530","1069","404","–","1561","48","100","598","178","306","200"
"Violence and other injuries by persons or animals","1","849","–","–","57","44","–","233","08","29","–","48","122","52"
"Intentional injury by person","11","791","–","–","51","–","–","–","–","–","73","–","116","49"
"Intentional injury by other person","111","524","–","–","25","–","–","–","–","–","–","–","107","26"
"Shooting by other person--intentional","1111","435","–","–","21","–","–","–","–","–","–","–","87","22"
"Stabbing, cutting, slashing, piercing","1112","44","–","–","–","–","–","–","–","–","–","03","11","–"
"Hitting, kicking, beating, shoving","1113","27","–","–","–","–","–","10","–","01","–","04","–","01"
"Multiple violent acts by other person","1118","05","–","–","–","–","–","–","–","01","–","–","–","–"
"Self-inflicted injury--intentional","112","267","–","14","26","–","–","–","–","–","20","–","09","23"
"Shooting--intentional self-harm","1121","133","–","05","16","–","–","32","–","–","08","–","–","12"
"Hanging, strangulation, asphyxiation--intentional self-harm","1122","92","–","05","07","–","–","–","–","05","09","–","–","–"
"Jumping from building or other structure--intentional self-harm","1123","16","–","–","–","–","–","–","–","–","–","–","–","–"
"Cutting, stabbing--intentional self-harm","1124","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Drug overdose--intentional self-harm","1125","03","–","–","–","–","–","–","–","–","–","–","–","–"
"Inhalation of substance--intentional self-harm","1126","07","–","–","–","–","–","–","–","–","–","–","–","–"
"Injury by person--unintentional or intent unknown","12","24","–","–","03","–","–","04","–","–","–","–","–","–"
"Animal and insect related incidents","13","33","–","16","03","–","–","–","–","–","–","–","–","–"
"Bites and stings","131","13","–","–","03","–","–","–","–","–","–","–","–","–"
"Struck by animal","132","18","–","14","–","–","–","–","–","–","–","–","–","–"
"Trampled by or stepped on by animal","1321","05","–","05","–","–","–","–","–","–","–","–","–","–"
"Mauled, clawed, or scratched by animal","1323","03","–","–","–","–","–","–","–","–","–","–","–","–"
"Gored or rammed by animal","1324","03","–","03","–","–","–","–","–","–","–","–","–","–"
"Transportation incidents","2","2066","–","214","243","98","–","907","23","22","194","54","62","39"
"Aircraft incidents","21","101","–","–","–","04","–","29","02","–","08","–","08","–"
"Aircraft crash during takeoff or landing","212","21","–","–","–","–","–","09","–","–","–","–","01","–"
"Aircraft crash during takeoff or landing--due to mechanical failure","2121","02","–","–","–","–","–","01","–","–","–","–","01","–"
"Aircraft crash during takeoff or landing--between air vehicles","2122","01","–","–","–","–","–","–","–","–","–","–","–","–"
"Aircraft crash during takeoff or landing--into structure, object, or ground","2124","12","–","–","–","–","–","06","–","–","–","–","–","–"
"Aircraft crash due to low-altitude entanglement","214","05","–","03","–","–","–","–","–","–","–","–","–","–"
"Other in-flight crash","215","70","–","06","–","03","–","19","02","–","–","–","07","–"
"Other in-flight crash due to mechanical failure","2151","12","–","–","–","–","–","03","–","–","–","04","–","–"
"Other in-flight crash between air vehicles","2152","08","–","–","–","–","–","–","–","–","–","–","06","–"
