"TABLE SNR04. Highest incidence rates1 of nonfatal injury and illness cases with job transfer or restriction, 2023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ","",""
"Industry2                                                                                                              ","NAICS Code3                                                                                                            ","Incidence Rate"
"Couriers and express delivery services (Private Industry)","4921","003.9"
"Spectator sports (Private Industry)","71121","003.4"
"Light truck and utility vehicle manufacturing (Private Industry)","336112","003.3"
"Truss manufacturing (Private Industry)","321214","002.8"
"Skiing facilities (Private Industry)","71392","002.8"
"Farm management services (Private Industry)","115116","002.7"
"Aluminum foundries (except die-casting) (Private Industry)","331524","002.7"
"Automobile manufacturing (Private Industry)","336111","002.6"
"Used household and office goods moving (Private Industry)","48421","002.6"
"Animal (except poultry) slaughtering (Private Industry)","311611","002.4"
"Cut stone and stone product manufacturing (Private Industry)","327991","002.4"
"Power, distribution, and specialty transformer manufacturing (Private Industry)","335311","002.4"
"General warehousing and storage (Private Industry)","49311","002.4"
"Manufactured home (mobile home) manufacturing (Private Industry)","321991","002.3"
"Motor home manufacturing (Private Industry)","336213","002.3"
"Soft drink manufacturing (Private Industry)","312111","002.1"
"Hog and pig farming (Private Industry)4","1122","002.0"
"Frozen cakes, pies, and other pastries manufacturing (Private Industry)","311813","002.0"
"Mayonnaise, dressing, and other prepared sauce manufacturing (Private Industry)","311941","002.0"
"Urethane and other foam product (except polystyrene) manufacturing (Private Industry)","32615","002.0"
"Travel trailer and camper manufacturing (Private Industry)","336214","002.0"
"Truck, utility trailer, and RV (recreational vehicle) rental and leasing (Private Industry)","53212","002.0"
"Postharvest crop activities (except cotton ginning) (Private Industry)","115114","001.9"
"Nonchocolate confectionery manufacturing (Private Industry)","31134","001.9"
"Bottled water manufacturing (Private Industry)","312112","001.9"
"Iron foundries (Private Industry)","331511","001.9"
"","",""
"All Ownerships Combined","","000.6"
"","",""
"1The incidence rates represent the number of injuries and illnesses per 100 full-time equivalent workers and were calculated as: (N/EH) x 200,000, where ","",""
"     N = number of injuries and illnesses","",""
"     EH = total hours worked by all employees during the calendar year","",""
"     200,000 = base for 100 full-time equivalent workers (working 40 hours per week, 50 weeks per year)","",""
"2High rate industries were those having the highest incidence rate of injury and illness cases with days of job transfer or restriction and at least 500 total recordable cases at the most detailed level of publication based on the North American Industry Classification System -- United States 2017.","",""
"3North American Industry Classification System -- United States, 2017","",""
"4Excludes farms with fewer than 11 employees.","",""
"SOURCE: U.S. Bureau of Labor Statistics, U.S. Department of Labor","",""
