"Industry3                                                                                                              ","NAICS Code4                                                                                                            ","Incidence Rate"
"Performing arts companies (Private Industry)","7111","008.5"
"Nursing and residential care facilities (State Government)","623","006.8"
"Siding contractors (Private Industry)","23817","004.8"
"Scheduled passenger air transportation (Private Industry)","481111","004.5"
"Local messengers and local delivery (Private Industry)","4922","004.2"
"Couriers and express delivery services (Private Industry)","4921","004.1"
"Urban transit systems (Private Industry)","4851","004.0"
"Correctional institutions (State Government)","92214","004.0"
"Nursing care facilities (skilled nursing facilities) (Private Industry)","6231","003.9"
"Hospitals (State Government)","622","003.5"
"Skiing facilities (Private Industry)","71392","003.4"
"Ambulance services (Private Industry)","62191","003.3"
"Hog and pig farming (Private Industry)5","1122","003.2"
"Cut stock, resawing lumber, and planing (Private Industry)","321912","003.1"
"Bituminous coal underground mining (Private Industry)6,7","212112","003.0"
"Wood preservation (Private Industry)","321114","002.9"
"Continuing care retirement communities and assisted living facilities for the elderly (Private Industry)","6233","002.9"
"Seafood product preparation and packaging (Private Industry)","3117","002.8"
"Support activities for printing (Private Industry)","32312","002.8"
"Nursing and residential care facilities (Local Government)","623","002.8"
"Spectator sports (Private Industry)","71121","002.8"
"Fluid milk manufacturing (Private Industry)","311511","002.7"
"Framing contractors (Private Industry)","23813","002.6"
"Farm product warehousing and storage (Private Industry)","49313","002.6"
"Used household and office goods moving (Private Industry)","48421","002.5"
"Carpet and upholstery cleaning services (Private Industry)","56174","002.5"
"","",""
"All Ownerships Combined","","001.0"
