"TABLE SNR05. Incidence rate1, and number of nonfatal occupational injuries by industry and ownership, 2023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ","","","","",""
"Industry2                                                                                                              ","NAICS Code3                                                                                                            ","Incidence Rate","Number of cases (thousands)","Percent relative standard error-Incidence rate","Percent relative standard error-Number of cases"
"All Ownerships Combined4","","002.5","2940.6","000.5","000.5"
"Private Industry4","","002.2","2368.9","000.5","000.5"
"Goods producing4","11-33, except 22","002.5","540.4","000.8","000.8"
" Natural resources and mining4,5","11-21","002.8","046.4","002.7","002.8"
"  Agriculture, forestry, fishing and hunting4","11","004.0","038.2","003.0","003.2"
"   Crop production4","111","004.3","015.3","004.4","004.7"
"    Oilseed and grain farming4","1111","002.6","000.4","015.8","015.6"
"    Vegetable and melon farming4","1112","004.0","002.7","007.7","009.7"
"    Fruit and tree nut farming4","1113","004.9","005.2","005.5","006.3"
"    Greenhouse, nursery, and floriculture production4","1114","003.9","005.1","008.0","007.7"
"   Animal production and aquaculture4","112","003.9","008.9","005.6","006.2"
"    Cattle ranching and farming4","1121","003.4","004.9","007.6","008.7"
"     Beef cattle ranching and farming, including feedlots4","11211","004.7","001.5","011.5","011.8"
"     Dairy cattle and milk production4","11212","003.0","003.3","010.0","011.6"
"    Hog and pig farming4","1122","008.4","002.1","012.7","013.0"
"    Poultry and egg production4","1123","003.5","001.4","011.6","012.6"
"    Other animal production4","1129","004.1","000.5","027.9","028.0"
"   Forestry and logging","113","003.0","001.5","023.6","023.4"
"    Logging","1133","003.0","001.3","025.7","025.4"
"   Fishing, hunting and trapping","114","004.2","000.3","022.8","022.1"
"    Hunting and trapping","1142","009.4","000.2","030.6","026.9"
"   Support activities for agriculture and forestry","115","003.8","012.1","005.7","006.2"
"    Support activities for crop production","1151","004.0","010.8","005.9","006.4"
"     Support activities for crop production","11511","004.0","010.8","005.9","006.4"
"      Soil preparation, planting, and cultivating","115112","002.4","000.6","027.8","028.5"
"      Postharvest crop activities (except cotton ginning)","115114","005.0","003.9","005.5","006.4"
"      Farm labor contractors and crew leaders","115115","003.7","005.0","008.2","009.1"
"      Farm management services","115116","005.4","001.0","037.1","038.9"
"    Support activities for animal production","1152","002.5","000.8","033.0","035.8"
"    Support activities for forestry","1153","003.2","000.5","019.5","020.5"
"  Mining, quarrying, and oil and gas extraction6","21","001.2","008.2","004.6","004.5"
"   Oil and gas extraction","211","000.9","000.9","023.3","022.9"
"    Oil and gas extraction","2111","000.9","000.9","023.3","022.9"
"     Crude petroleum extraction7","21112","000.7","000.5","037.8","037.4"
"     Natural gas extraction7","21113","001.2","000.4","013.4","012.6"
"   Mining (except oil and gas)5,8","212","002.0","004.5","000.0","000.0"
"    Coal mining5,8","2121","002.9","001.6","000.0","000.0"
"     Coal mining5,8","21211","002.9","001.6","000.0","000.0"
"      Bituminous coal and lignite surface mining5,8","212111","001.2","000.3","000.0","000.0"
"      Bituminous coal underground mining5,8","212112","004.2","001.3","000.0","000.0"
