"TABLE Q5. Incidence rates1 of other recordable cases of nonfatal occupational injuries and illnesses by quartile distribution and employment size, 2023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ","","","",""
"Industry, NAICS code2, and establishment employment size                                                               ","Average incidence rates for all establishments: 
    (mean)","One-quarter of the establishments had a rate lower than or equal to: 
    (1st quartile)","One-half of the establishments had a rate lower than or equal to: 
    (median)","Three-fourths of the establishments had a rate lower than or equal to: 
    (3rd quartile)"
"All industries including state and local government4","","","",""
"Total all sizes","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.3","(-3-)   ","(-3-)   ","001.8"
"   250 - 999","001.2","(-3-)   ","000.5","001.8"
"   1,000+","001.4","000.1","000.6","002.2"
"Private industry4","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.2","(-3-)   ","(-3-)   ","001.7"
"   250 - 999","001.0","(-3-)   ","000.4","001.5"
"   1,000+","001.1","000.1","000.4","001.8"
"Goods producing4","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.3","(-3-)   ","(-3-)   ","001.8"
"   250 - 999","000.8","000.2","000.5","001.1"
"   1,000+","000.8","000.2","000.4","001.0"
"Natural resources and mining4,5","","","",""
"Total all sizes","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.2","(-3-)   ","(-3-)   ","001.7"
"   250 - 999","001.2","000.2","000.6","001.6"
"   1,000+","001.3","000.2","000.9","002.7"
"Agriculture, forestry, fishing and hunting4","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.8","(-3-)   ","(-3-)   ","002.4"
"   250 - 999","002.2","000.3","001.3","003.4"
"   1,000+","001.7","000.4","001.5","003.0"
"Crop production (NAICS 111000)4","","","",""
"Total all sizes","001.9","(-3-)   ","(-3-)   ","001.0"
"   11 - 49","001.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.0","(-3-)   ","(-3-)   ","003.2"
"   250 - 999","002.8","000.4","001.4","004.7"
"   1,000+","002.8","-","-","-"
"Oilseed and grain farming (NAICS 111100)4","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.4","-","-","-"
"Vegetable and melon farming (NAICS 111200)4","","","",""
"Total all sizes","001.8","(-3-)   ","(-3-)   ","001.9"
"   11 - 49","001.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.3","(-3-)   ","001.2","003.7"
"   250 - 999","001.2","-","-","-"
"Fruit and tree nut farming (NAICS 111300)4","","","",""
"Total all sizes","001.9","(-3-)   ","(-3-)   ","001.3"
"   11 - 49","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.1","(-3-)   ","(-3-)   ","003.8"
"   250 - 999","001.8","(-3-)   ","001.0","002.9"
"   1,000+","003.1","-","-","-"
"Greenhouse, nursery, and floriculture production (NAICS 111400)4","","","",""
"Total all sizes","001.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.7","(-3-)   ","(-3-)   ","002.2"
"   250 - 999","004.4","000.5","001.8","023.8"
"Animal production and aquaculture (NAICS 112000)4","","","",""
"Total all sizes","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.7","(-3-)   ","001.0","002.6"
"   250 - 999","001.9","000.8","001.3","002.8"
"   1,000+","000.7","-","-","-"
"Cattle ranching and farming (NAICS 112100)4","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.3","(-3-)   ","000.5","001.8"
"   250 - 999","002.8","-","-","-"
"Beef cattle ranching and farming, including feedlots (NAICS 112110)4","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.5","(-3-)   ","(-3-)   ","002.4"
"Dairy cattle and milk production (NAICS 112120)4","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.3","(-3-)   ","000.5","001.4"
"   250 - 999","003.3","-","-","-"
"Hog and pig farming (NAICS 112200)4","","","",""
"Total all sizes","003.5","(-3-)   ","(-3-)   ","004.4"
"   11 - 49","004.0","(-3-)   ","(-3-)   ","004.4"
"   50 - 249","003.5","001.5","002.3","005.0"
"   250 - 999","000.8","-","-","-"
"Poultry and egg production (NAICS 112300)4","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","001.1"
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.7","(-3-)   ","001.1","002.3"
"   250 - 999","001.6","-","-","-"
"Other animal production (NAICS 112900)4","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","003.2","-","-","-"
"Forestry and logging (NAICS 113000)","","","",""
"Total all sizes","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.3","(-3-)   ","(-3-)   ","002.6"
