"TABLE Q6. Incidence rates1 of total cases of nonfatal occupational injury, by quartile distribution and employment size, 2022                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","","","",""
"Industry, NAICS code2, and establishment employment size                                                               ","Average incidence rates for all establishments: 
    (mean)","One-quarter of the establishments had a rate lower than or equal to: 
    (1st quartile)","One-half of the establishments had a rate lower than or equal to: 
    (median)","Three-fourths of the establishments had a rate lower than or equal to: 
    (3rd quartile)"
"All industries including state and local government4","","","",""
"Total all sizes","002.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.9","(-3-)   ","001.5","004.4"
"   250 - 999","002.8","000.3","001.9","004.4"
"   1,000+","002.9","000.3","002.0","004.8"
"Private industry4","","","",""
"Total all sizes","002.3","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.1","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.9","(-3-)   ","001.5","004.3"
"   250 - 999","002.5","000.2","001.6","004.1"
"   1,000+","002.5","000.2","001.6","004.5"
"Goods producing4","","","",""
"Total all sizes","002.6","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.8","(-3-)   ","(-3-)   ","004.2"
"   50 - 249","003.3","(-3-)   ","002.2","004.8"
"   250 - 999","002.4","000.8","001.8","003.4"
"   1,000+","002.0","000.5","001.3","002.7"
"Natural resources and mining4,5","","","",""
"Total all sizes","002.9","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.7","(-3-)   ","(-3-)   ","004.1"
"   50 - 249","003.6","(-3-)   ","002.4","005.4"
"   250 - 999","002.7","000.7","001.8","004.5"
"   1,000+","003.6","000.8","003.2","005.3"
"Agriculture, forestry, fishing and hunting4","","","",""
"Total all sizes","004.0","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.3","(-3-)   ","(-3-)   ","004.9"
"   50 - 249","004.9","001.2","003.9","007.0"
"   250 - 999","004.1","001.3","003.4","006.0"
"   1,000+","004.6","002.1","003.3","007.0"
"Crop production (NAICS 111000)4","","","",""
"Total all sizes","003.9","(-3-)   ","(-3-)   ","005.2"
"   11 - 49","003.0","(-3-)   ","(-3-)   ","004.6"
"   50 - 249","004.4","(-3-)   ","003.5","006.6"
"   250 - 999","003.8","001.3","003.6","006.1"
"   1,000+","006.7","004.3","006.9","009.0"
"Oilseed and grain farming (NAICS 111100)4","","","",""
"Total all sizes","002.7","(-3-)   ","(-3-)   ","004.6"
"   11 - 49","002.9","(-3-)   ","(-3-)   ","005.9"
"   50 - 249","002.4","-","-","-"
"Vegetable and melon farming (NAICS 111200)4","","","",""
"Total all sizes","003.1","(-3-)   ","(-3-)   ","002.4"
"   11 - 49","001.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","003.7","001.2","003.6","005.7"
"   250 - 999","004.1","002.5","003.1","008.0"
"Fruit and tree nut farming (NAICS 111300)4","","","",""
"Total all sizes","004.8","(-3-)   ","(-3-)   ","006.6"
"   11 - 49","003.7","(-3-)   ","(-3-)   ","005.6"
"   50 - 249","004.6","(-3-)   ","004.2","006.8"
"   250 - 999","004.4","001.9","004.6","006.4"
"   1,000+","007.4","-","-","-"
"Greenhouse, nursery, and floriculture production (NAICS 111400)4","","","",""
"Total all sizes","003.6","(-3-)   ","(-3-)   ","004.8"
"   11 - 49","003.0","(-3-)   ","(-3-)   ","004.7"
"   50 - 249","004.4","001.2","003.4","006.5"
"   250 - 999","002.8","001.3","001.3","004.4"
"Other crop farming (NAICS 111900)4","","","",""
