"","DAILY MORNING DISCUSSION","","","","","","","Meeting.# 02","","","","","","","","","","","","",""
"","","","","","","","","Meeting Date: 25 Oct, 24","","","","","","","","","","","","",""
"S.No","Job Description","Equipment/Location","Job Raised by","Job Assigned to","Expected Time to Complete","Job Assigning Date","Job Completion Date","Status","Remarks","","","","","","","","","","","",""
"1","Installation of JL1's Pre Heating Pump in JL4","JL4","Electrical Department","Electrical Department","2 hours","25 Oct, 24","","Completed","In Testing Phase","","","","","","","","","","","",""
"2","Maintenance of Club House","Club House","Electrical Department","Electrical Department","1 day","25 Oct, 24","","Completed","","","","","","","","","","","","",""
"3","Absorption Hot Water Pump 1 & 2 maintenance","Abs Chiller Area","HVAC Department","HVAC Department","1 day","25 Oct, 24","","Completed","","","","","","","","","","","","",""
"4","Centrifugal Chiller No 4 PMS","Chiller No 4","HVAC Department","HVAC Department","1 day","25 Oct, 24","","Completed","","","","","","","","","","","","",""
"5","Replacement of RO Multimedia ","RO","HVAC Department","HVAC Department","3 days","25 Oct, 24","","Work in Progress","Multimedia will be arranged from Kathore","","","","","","","","","","","",""
"6","Mess Area Dispensor Repairing","Mess Area","Admin Department","Admin Department","2 days","25 Oct, 24","","Work in Progress","","","","","","","","","","","","",""
"7","Fire Extinguishers Numbering","All Locations","HSE Department","Mechanical Department","2 days","25 Oct, 24","","Work in Progress","","","","","","","","","","","","",""
"8","Fire Extinguishers Area Cleaning","All Locations","HSE Department","Mechanical Department","2 days","25 Oct, 24","","Work in Progress","","","","","","","","","","","","",""
"9","Secondary Containment for Oil Spillage ","Store Room","HSE Department","Mechanical Department","1 days","25 Oct, 24","","Work in Progress","","","","","","","","","","","","",""
"10","Points Mapping Activity (Generation Reports)","HVAC","HVAC Department","Automation Department","2 days","25 Oct, 24","","Work in Progress","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
