"","","","","","","","","","",""
"","DAILY MORNING DISCUSSION","","","","","","","","Meeting.# 03",""
"","","","","","","","","","Meeting Date: 26 Oct, 24",""
"","S.No","Job Description","Equipment/Location","Job Raised by","Job Assigned to","Expected Time to Complete","Job Assigning Date","Job Completion Date","Status","Remarks"
"","1","Thermostate Switch Change on DG-2","DG-2","Electrical Department","Electrical Department","2 hours","26 Oct, 24","","Work in Progress",""
"","2","Heat Exchanger Boxup in JL-1","JL-1","Mechanical Department","Mechanical Department","1 day","26 Oct, 24","","Work in Progress",""
"","3","Compensator Fitting in Exhaust Flange (JL-1)","Muffler Room","Mechanical Department","Mechanical Department","","26 Oct, 24","","Work in Progress",""
"","4","Cable Laying in Level Transmittor ","Raw Water Tank","Automation Department","Automation Department","2 days","26 Oct, 24","","Work in Progress",""
"","5","Core Cutting Area Sensor Installation","Absorption Chiller Area","HVAC Department","Mechanical Department","","26 Oct, 24","","Work in Progress",""
"","6","Proper Conduiting of Cables in Cooling Tower Area","Cooling Tower","Electrical Department","Electrical Department","","26 Oct, 24","","Work in Progress",""
"","7","Absorption Hot Water Pump No 3 PMS","Absorption Chiller Area","HVAC Department","HVAC Department","1 day","26 Oct, 24","","Work in Progress",""
"","8","Weekly Checklist Activity","Scrap Area, Cooling Tower, LTM","Admin Department","Admin Department","1 day","26 Oct, 24","","Work in Progress","Construction work going on in LTM, Scrap Area visit to be conducted on Wednesday"
"","9","LTM Transformer Cleaning","LTM","Electrical Department","Electrical Department","1 day","26 Oct, 24","","Work in Progress",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
