"","Time and Attendance Sheet","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","Pay Period","","","Department/Program","","","","","","","","Employee Name","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","14-Oct-17","","Human resources department","","","","","","","","Jerlyn Thompson","","","","","","","",""
"","","to","","","","","","","","",""," ","","","","","","","",""
"","","27-Oct-17 ",""," ","",""," ",""," ","","","","","",""," ","","","",""
"","","","","","SA","SU ","M ","TU","W","TH","F","SA","SU","M","TU","W","TH","F","ADJ","TOTAL"
"","",""," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","HRS","HOURS"
"","","Date","","","10/14","10/15","10/16","10/17","10/18","10/19","10/20","10/21","10/22","10/23","10/24","10/25","10/26","10/27","",""
"","",""," "," ",""," ","","","","","","","","","","","","","",""
"","Regular Hours","","","","","","8.00","8.00","8.00","0.00","0.00","","","8.00","8.00","8.00","0.00","0.00","","48.00"
"","","","",""," "," ","","","","","","","","","","","","","",""
"","Overtime Hours","","","","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","0.00"
"","","","",""," "," ","","","","","","","","","","","","","",""
"","Holiday Hours","","","","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","0.00"
"","","","",""," "," ","","","","","","","","","","","","","",""
"","Paid Time Off","","","","","","0.00","0.00","0.00","0.00","3.00","","","0.00","0.00","0.00","2.00","0.00","","5.00"
"","","","",""," "," ","","","","","","","","","","","","","",""
"","Leave w/o pay","","","","","","0.00","0.00","0.00","8.00","0.00","","","0.00","0.00","0.00","0.00","8.00","","16.00"
"","","","",""," "," ","","","","",""," "," ","","","","","","",""
"","Other Leave Hours (Admin)","","","","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","0.00"
"","  TOTAL REGULAR HOURS","","","","","","8.00","8.00","8.00","0.00","3.00","","","8.00","8.00","8.00","2.00","0.00","","53.00"
"","  TOTAL OVERTIME HOURS","","","","","","0.00","0.00","0.00","0.00","0.00","","","0.00","0.00","0.00","0.00","0.00","","0.00"
"","""I acknowledge that all information on this document fully reflects my time and attendance during this pay period.""","","","","","","","","","","","","","","","","","","",""
