"QUESTIONNAIRE","","","","","","",""
"","","","","5","4","",""
"","Questions","responses","","","","",""
"","","Yes","No","","","",""
"Strategic Management

","Is your organisation meeting its own expectations as regards managing its own information?","37","3","","","",""
"","Does your organisation have a Knowledge and Information Management (KIM) strategy?","40","0","","","",""
"","If there is a strategy, is it integrated within the corporate strategy of your organisation?","39","1","","","",""
"","","116","4","","","",""
"Business Objectives
","Are there performance measures for KIM?","40","0","","","",""
"","If there are, have they been reported to executive board within the last 2 years?","39","1","","","",""
"","Has the business identified what information and knowledge is business critical?","36","4","","","",""
"","If so, has business critical information been included in a business continuity plan?","40","0","","","",""
"","Have costs and resource needs for KIM been determined?","39","1","","","",""
"","","194","6","","","",""
"Management support and controls
","What level of manager has corporate responsibility for KIM?","35","5","","","",""
"","Do managers understand why and how KIM is critical to the organisation?","36","4","","","",""
"","Is there a KIM champion at Board level?","33","7","","","",""
"","Does the organisation have a full list of its information assets?","35","5","","","",""
"","Is there an identified owner for each information asset?","37","3","","","",""
"","","176","24","","","",""
