"CAMPAIGN","Agent","Campaign NR","DISPOSITION","CALLS"
"N91 Test","0","N91","Abandon","2"
"","0","N91","Answering Machine","129"
"","0","N91","Busy","41"
"","0","N91","Dial Error","30"
"","0","N91","Hangup","2"
"","0","N91","No Answer","458"
"","0","N91","Operator Intercept","14"
"","6120","N91","Regret","1"
"","6120","N91","Callback","2"
"","6120","N91","Do not call","3"
"","6120","N91","Callback","12"
"","6120","N91","Call completed","26"
"","6154","N91","Callback","2"
"","6154","N91","Do not call","1"
"","6154","N91","Callback","17"
"","6154","N91","Call completed","31"
"","6158","N91","Callback","1"
"","6158","N91","Callback","1"
"N92 Test 2","0","N92","Abandon","1"
"","0","N93","Answering Machine","136"
"","0","N94","Busy","53"
"","0","N95","Dial Error","30"
"","0","N96","Hangup","2"
"","0","N97","No Answer","414"
"","0","N98","Operator Intercept","12"
"","6120","N99","Regret","1"
"","6120","N100","Callback","2"
"","6120","N101","Do not call","4"
"","6129","N102","Callback","3"
"","6129","N103","Call completed","20"
"","6129","N104","Callback","24"
"","6154","N105","Do not call","1"
"","6154","N106","Callback","2"
"","6158","N107","Call completed","1"
"","6158","N108","Callback","1"
"","6158","N109","Callback","2"
"","6158","N110","Call completed","4"
