"Timecard: Daily, Weekly, Monthly, Yearly","","","","","","","","","","","","","","","","","","","","","","","",""
"March","Date","Week 1 Hours","Sum Hours","Pay/hr","Km Start","Km End","Driven","Salary","Tips","Earnings","Tips Avg/hr","Pay Avg/hr","Date","Week 4 Hours","Sum Hours","Pay/hr","Km Start","Km End","Driven","Salary","Tips","Earnings","Tips Avg/hr","Pay Avg/hr"
"Sunday","","","","","","","0","$0.00","","$0.00","","$0.00","20","11:00 - 14:00, 16:30 - 21:00","","","","","","$0.00","","$0.00","","$0.00"
"Monday","","","","","","","","$0.00","","$0.00","","$0.00","21","","","","","","","$0.00","","$0.00","","$0.00"
"Tuesday","1","","","","","","","$0.00","","$0.00","","$0.00","22","17:00 - 20:00","","","","","","$0.00","","$0.00","","$0.00"
"Wednesday","2","","","","","","","$0.00","","$0.00","","$0.00","23","","","","","","","$0.00","","$0.00","","$0.00"
"Thursday","3","11:00 - 13:30","2.5","","","","","$2.50","","$2.50","$0.00","$0.00","24","11:00 - 13:00","","","","","","$0.00","","$0.00","","$0.00"
"Friday","4","11:00 - 13:30","2.5","","","","","$2.50","","$2.50","$0.00","$0.00","25","11:00 - 14:00","","","","","","$0.00","","$0.00","","$0.00"
"Saturday","5","11:00 - 14:30","3.5","","","","","$3.50","","$3.50","$0.00","$0.00","26","11:00 - 14:00, 17:00 - 21:00","","","","","","$0.00","","$0.00","","$0.00"
"Weekly Totals","","","8.5","","","","0","$8.50","$0.00","$8.50","","","","","0","","","","","$0.00"," ","$0.00","",""
"","Date","Week 2 Hours","Sum Hours","Pay/hr","Km Start","Km End","Driven","Salary","Tips","Earnings","Tips Avg/hr","Pay Avg/hr","Date","Week 5 Hours","Sum Hours","Pay/hr","Km Start","Km End","Driven","Salary","Tips","Earnings","Tips Avg/hr","Pay Avg/hr"
"Sunday","6","11:00 - 13:30, 16:30 - 20:30","6.5","","","","","$6.50","","$6.50","$0.00"," ","27","11:00 - 14:00","","","","","","","","","",""
"Monday","7","","","","","","","$0.00","","$0.00","","$0.00","28","","","","","","","","","","",""
"Tuesday","8","","","","","","","$0.00","","$0.00","","$0.00","29","17:00 - 20:00","","","","","","","","","",""
"Wednesday","9","","","","","","","$0.00","","$0.00","","$0.00","30","","","","","","","","","","",""
"Thursday","10","11:00 - 14:30","3.5","","","","","$3.50","","$3.50","$0.00","$0.00","31","11:00 - 14:00, 17:00 - 20:00","","","","","","","","","",""
"Friday","11","11:00 - 13:30","2.5","","","","","$2.50","","$2.50","$0.00","$0.00","","","","","","","","","","","",""
"Saturday","12","","","","","","","$0.00","","$0.00","","$0.00","","","","","","","","","","","",""
"Weekly Totals","","","12.5","","","","","$12.50","$0.00","$12.50","","","","","","","","","","","","","",""
"","Date","Week 3 Hours","Sum Hours","Pay/hr","Km Start","Km End","Driven","Salary","Tips","Earnings","Tips Avg/hr","Pay Avg/hr","","","","","","","","","","","",""
"Sunday","13","11:00 - 13:30","2.5","","","","","$2.50","","$2.50","$0.00","$0.00","","","","","","","","0.00","","0.00","","0.00"
"Monday","14","","","","","","","$0.00","","$0.00","","$0.00","","","","","","","","0.00","","0.00","","0.00"
"Tuesday","15","","","","","","","$0.00","","$0.00","","$0.00","","","","","","","","0.00","","0.00","","0.00"
"Wednesday","16","","","","","","","$0.00","","$0.00","","$0.00","","","","","","","","0.00","","0.00","","0.00"
"Thursday","17","11:00 - 13:30","2.5","","","","","$2.50","","$2.50","$0.00","$0.00","","","","","","","","0.00","","0.00","","0.00"
"Friday","18","11:00 - 14:00","3","","","","","$3.00","","$3.00","$0.00","$0.00","","","","","","","","0.00","","0.00","","0.00"
"Saturday","19","11:00 - 13:30, 17:00 - 20:00","5.5","","","","","$5.50","","$5.50","$0.00","$0.00","","","","","","","","0.00","","0.00","","0.00"
"Weekly Totals","","","13.5","","","","","$13.50","$0.00","$13.50","","","","","0.00","","","","","0.00","0.00","0.00","",""
"March","Monthly total: Hours","","34.5","Monthly total: Salary","","","$34.50","Monthly total: tips","","","$0.00","Monthly total: Earnings","","","$34.50","Monthly total: kilometers","","","0","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Timecard: Daily, Weekly, Monthly, Yearly","","","","","","","","","","","","","","","","","","","","","","","",""
