"","","Time In:","Lunch Start","Lunch End","Time Out","Total Hours Worked","Total Regular Hours","Overtime Hours","Double Overtime Hours"
"Sunday","1/31/2016","4:30 PM","","","8:30 PM","4","4","0","0"
"Monday","2/1/2016","8:00 AM","4:00 PM","5:00 PM","11:00 PM","14","8","4","2"
"Tuesday","2/2/2016","11:00 AM","3:00 PM","4:00 PM","9:00 PM","9","8","1","0"
"Wednesday","2/3/2016","12:00 PM","4:00 PM","5:00 PM","9:00 PM","8","8","0","0"
"Thursday","2/4/2016","12:00 PM","4:30 PM","5:30 PM","9:00 PM","8","8","0","0"
"Friday","2/5/2016","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8","4","0","0"
"Saturday","2/6/2016","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8","0","8","0"
"","","","","","Total Weekly Hours","59","40","13","2"
"","","","","","","","","",""
"Sunday","2/7/2016","4:30 PM","","","8:30 PM","4","4","0","0"
"Monday","2/8/2016","12:00 PM","4:00 PM","4:30 PM","8:30 PM","8","8","0","0"
"Tuesday","2/9/2016","11:00 AM","3:00 PM","4:00 PM","9:00 PM","9","8","1","0"
"Wednesday","2/10/2016","10:00 AM","4:00 PM","5:00 PM","9:00 PM","10","8","2","0"
"Thursday","2/11/2016","12:00 PM","4:30 PM","5:30 PM","9:00 PM","8","8","0","0"
"Friday","2/12/2016","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8","4","0","0"
"Saturday","2/13/2016","","","","","0","0","0","0"
"","","","","","Total Weekly Hours","47","40","3","0"
