"","","","","","","","","","",""
"","","","","","","","","","",""
"","","GV8","","","","","","","",""
"","","","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Week"
"","","","2/8/2016","2/9/2016","2/10/2016","2/11/2016","2/12/2016","2/13/2016","2/14/2016","30"
"","","E","67%","55%","67%","56%","56%","","","60%"
"","","L","75%","62%","56%","65%","55%","","","63%"
"","","N","72%","65%","76%","78%","56%","","","69%"
"","","Target","70.20%","70.20%","70.20%","70.20%","70.20%","70.20%","70.20%","70.20%"
"","","all shifts","71%","60.67%","66%","66%","56%","","","64%"
"","","GV9","","","","","","","",""
"","","","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Week"
"","","","2/8/2016","2/9/2016","2/10/2016","2/11/2016","2/12/2016","2/13/2016","2/14/2016","30"
"","","E","45%","55%","45%","57%","55%","55%","52%","52%"
"","","L","46%","56%","47%","56%","54%","41%","45%","49%"
"","","N","65%","54%","45%","54%","56%","54%","57%","55%"
"","","Target","48.30%","48.30%","48.30%","48.30%","48.30%","48.30%","48.30%","48.30%"
"","","all shifts","52%","55.00%","46%","56%","55%","50%","51%","52%"
"","","GV11","","","","","","","",""
"","","","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Week"
"","","","2/8/2016","2/9/2016","2/10/2016","2/11/2016","2/12/2016","2/13/2016","2/14/2016","30"
"","","E","44%","23%","56%","42%","43%","49%","41%","43%"
"","","L","42%","54%","65%","55%","45%","55%","53%","53%"
"","","N","46%","65%","63%","45%","65%","57%","59%","57%"
"","","Target","53.00%","53.00%","53.00%","53.00%","53.00%","53.00%","53.00%","53.00%"
"","","all shifts","44%","47.33%","61%","47%","51%","54%","51%","51%"
"","","GV12","","","","","","","",""
"","","","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Week"
"","","","2/8/2016","2/9/2016","2/10/2016","2/11/2016","2/12/2016","2/13/2016","2/14/2016","30"
"","","E","71%","56%","21%","45%","71%","","","53%"
"","","L","77%","74%","22%","59%","77%","","","62%"
"","","N","74%","23%","45%","56%","74%","","","54%"
"","","Target","61.30%","61.30%","61.30%","61.30%","61.30%","","","61.30%"
"","","all shifts","74%","51%","29%","53.3%","74.0%","","","56%"
"","","Overall","","","","","","","",""
"","","Line","Mon","Tue","Wed","Thu","Fri","Sat","Sun",""
"","","GV8","71%","61%","66%","66%","56%","","",""
"","","GV9","52%","55%","46%","56%","55%","50%","51%",""
"","","GV11","44%","47%","61%","47%","51%","54%","51%",""
"","","GV12","74%","51%","29%","53%","74%","","",""
"","","All","60%","54%","51%","56%","59%","52%","51%",""
"","","Target","55% Overall","","","","","","",""
"","","If the target is 55% overall. Then the fact we run line GV9 and GV11 on Satuday could mean these lines will never reach target for the overall target. How can I resolve this. ","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
