"","","Values","","","","","","","","","","","","",""
"Department","Week","Sum of  CALLS    "," ACHT"," Staff Time"," Login Time "," Talk Time "," Pause Time "," Idle Time "," Wait Time "," Dispo Time "," Idle %"," Occupancy %"," Utilization %","No of Days","Sum of CPA"
"Schedule","Week 1","1495","64","8:15:47","7:44:02","1:24:11","6:16:37","0:29:38","0:02:00","0:03:22","26.54%","73.46%","18.14%","19","79"
"","Week 2","911","76","8:04:00","7:33:10","1:12:42","6:15:31","0:26:07","0:07:03","0:02:36","30.58%","69.42%","16.04%","15","61"
"Inbound","Week 1","1943","158","8:34:30","7:46:19","2:44:47","0:58:44","0:04:09","4:43:09","0:03:41","63.04%","36.96%","35.34%","30","65"
"","Week 2","1415","135","8:41:48","7:57:50","2:04:02","1:08:16","0:03:26","5:22:50","0:03:14","71.94%","28.06%","25.96%","24","58"
"FC Followup","Week 1","930","110","8:28:05","7:36:23","2:11:08","5:36:32","0:25:22","0:11:05","0:03:59","21.25%","78.75%","28.73%","11","85"
"","Week 2","911","97","8:37:42","7:49:19","2:22:10","5:13:45","0:31:09","0:26:02","0:04:36","28.04%","71.96%","30.29%","10","91"
"CWR Followup","Week 1","870","110","8:17:56","7:45:09","1:49:58","5:43:45","0:38:56","0:01:36","0:03:41","26.29%","73.71%","23.64%","14","62"
"","Week 2","771","119","8:26:29","8:01:03","2:14:12","5:29:35","0:31:40","0:06:39","0:04:23","21.66%","78.34%","27.90%","11","70"
"Ref Genration","Week 1","90","170","8:37:46","7:59:12","0:46:55","3:03:42","0:02:00","4:43:34","0:01:34","85.48%","14.52%","9.79%","6","15"
"","Week 2","66","173","8:20:46","7:52:24","0:34:22","3:02:36","0:11:04","4:32:00","0:00:44","88.97%","11.03%","7.27%","5","13"
"Library","Week 1","242","32","8:28:28","7:52:19","0:11:36","7:55:40","0:01:36","0:18:47","0:00:51","62.09%","37.91%","2.45%","12","20"
"","Week 2","173","42","8:38:49","8:02:12","0:20:37","7:48:06","0:09:46","0:18:51","0:01:30","56.42%","43.58%","4.27%","6","29"
"Expert Helpdesk","Week 1","199","170","8:41:29","8:40:48","1:15:17","0:10:48","0:52:13","6:21:43","0:01:28","84.97%","15.03%","14.46%","7","28"
"","Week 2","71","155","7:40:32","7:40:12","0:31:30","0:03:07","2:29:56","4:35:29","0:00:30","93.00%","7.00%","6.85%","6","12"
"Outbond","Week 1","714","156","8:30:20","7:54:22","3:30:18","2:37:08","0:24:09","1:53:48","0:04:57","39.06%","60.94%","44.33%","8","84"
"","Week 2","651","198","8:49:40","8:03:32","3:47:54","2:33:12","0:28:47","1:54:40","0:05:08","38.10%","61.90%","47.13%","9","72"
"Grand Total","","11452","120","8:28:00","7:51:13","1:52:29","3:51:08","0:23:19","2:17:53","0:03:10","58.22%","41.78%","23.87%","194","59"
