"Employee Name:","Employee Name","","","","",""
"Pay Period:","12/01/2014","<----->","2014/12/15","","",""
"","","","","","",""
"Day","Date","Log in ","Lunch Starts","Lunch Ends","Log Out","Total Hours"
"Saturday","2014/11/29","","","","","0.00"
"Sunday","2014/11/30","","","","","0.00"
"Monday","2014/12/1","10:30 AM","12:30 PM","1:00 PM","7:00 PM","8.00"
"Tuesday","2014/12/2","10:00 AM","12:00 PM","1:00 PM","7:00 PM","8.00"
"Wednesday","2014/12/3","10:00 AM","11:00 AM","12:00 PM","7:00 PM","8.00"
"Thursday","2014/12/4","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8.00"
"Friday","2014/12/5","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8.00"
"Weely Total","","","","","","40.00"
"Saturday","12/6/2014","2:30 PM","5:30 PM","","","3.00"
"Sunday","12/7/2014","","","","","0.00"
"Monday","12/8/2014","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8.00"
"Tuesday","12/9/2014","8:00 AM","2:00 PM","","","6.00"
"Wednesday","12/10/2014","12:30 PM","4:30 PM","5:30 PM","9:30 PM","8.00"
"Thursday","12/11/2014","10:00 AM","5:00 PM","","","7.00"
"Friday","12/12/2014","11:30 AM","3:30 PM","4:30 PM","8:30 PM","8.00"
"Weely Total","","","","","","40.00"
"Saturday","12/13/2014","3:00 PM","10:00 PM","","","7.00"
"Sunday","12/14/2014","","","","","0.00"
"Monday","12/15/2014","10:00 AM","2:00 PM","","","4.00"
"Tuesday","12/16/2014","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8.00"
"Wednesday","12/17/2014","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8.00"
"Thursday","12/18/2014","8:00 AM","1:00 PM","","","5.00"
"Friday","12/19/2014","8:00 AM","12:00 PM","1:00 PM","5:00 PM","8.00"
"Weely Total","","","","","","40.00"
