"Carrier","Types","Time","Total"
"SPRESS","HARDWARE SWAP","5.57","3594"
"","NEW ACTIVATION","15.5","2079"
"","ADD A LINE","10.31","3460"
"","PLAN CHANGE","4.57","261"
"","UPGRADE","8.57","11880"
"DNAGO","HARDWARE SWAP","5.42","10048"
"","NEW ACTIVATION","16.32","2612"
"","ADD A LINE","11.3","2636"
"","PLAN CHANGE","4.21","239"
"","UPGRADE","10.15","12879"
"MILANI","HARDWARE SWAP","6.15","6983"
"","NEW ACTIVATION","14.17","2879"
"","ADD A LINE","10.28","4965"
"","PLAN CHANGE","4.55","359"
"","UPGRADE","9.42","19824"
"DRUIPE","HARDWARE SWAP","",""
"","NEW ACTIVATION","",""
"","ADD A LINE","",""
"","PLAN CHANGE","",""
"","UPGRADE","",""
"BELANI","HARDWARE SWAP","5.13","54"
"","NEW ACTIVATION","8.34","733"
"","UPGRADE","5.14","789"
"MERILI","NEW ACTIVATION","7.35","2199"
"","HARDWARE SWAP","19.41","1558"
"PITALI","NEW ACTIVATION","10.1","902"
"","HARDWARE SWAP","5.23","2915"
"CATI","NEW ACTIVATION","",""
"MAXX","NEW ACTIVATION","6.12","2591"
"TMPO","NEW ACTIVATION","6.34","2210"
"ERGO","NEW ACTIVATION","8.34","13"
"TRN","NEW ACTIVATION","",""
"PETRO","NEW ACTIVATION","9.46","375"
"MANIA","NEW ACTIVATION","6.7","1824"
