"DBD24 Oldest Calls","",""
"","",""
"AREA / REGION","SLA24","Oldest Call"
"7988-NY/NJ/CT REGION","77","07/16/13"
"7985-CAPITOL REGION","42","08/01/13"
"7980-NEW ENGLAND REGION","36","08/17/13"
"7976-MID-ATLANTIC REGION","57","08/18/13"
"0205-EASTERN AREA","212",""
"7954-NORTH CENTRAL REGION","4","07/26/13"
"7987-FLORIDA/GEORGIA REGION","87","09/27/13"
"7989-MID SOUTH REGION","17","06/06/13"
"7953-MI/OH/WV REGION","15","08/26/13"
"0208-CENTRAL AREA","123",""
"7964-SOUTH CENTRAL REGION","62","06/15/13"
"7960-CALIFORNIA REGION","42","08/26/13"
"7959-GOLD REGION","20","07/26/13"
"7971-CENTRAL REGION","5","09/27/13"
"0221-WESTERN AREA","129",""
"Grand Total","464",""
