"Sources","Document Name","Submission Date ","Review Completion date","KPI (10 days)","Result"
"CS-CP","Detailed Plan","5-Jan-13","15-Jan-13","0","1"
"","Detailed Plan & Estidama","9-Jan-13","15-Jan-13","4","1"
"","Method Statement","9-Jan-13","15-Jan-13","4","1"
"","Detailed Plan","10-Jan-13","22-Jan-13","-2",""
"","Concept Plan","11-Jan-13","19-Jan-13","2","1"
"","Detailed Plan","20-Jan-13","10-Feb-13","-10",""
"","Detailed Plan","20-Jan-13","31-Jan-13","-1",""
"","Detailed Plan & Estidama","3-Feb-13","13-Feb-13","0","1"
"","Work Description","3-Feb-13","9-Feb-13","3","1"
"","Detailed Plan & Estidama","3-Feb-13","14-Feb-13","-1",""
"","Detailed Plan & Estidama","4-Feb-13","14-Feb-13","0","1"
"","Telecom Service Request","18-Feb-13","25-Feb-13","3","1"
"","Detailed Plan & Estidama","2-Mar-13","12-Mar-13","0","1"
"","Detailed Plan","6-Mar-13","17-Mar-13","-1",""
"","Method Statement","5-Mar-13","15-Mar-13","0","1"
"","Factual Report","5-Mar-13","15-Mar-13","0","1"
"","Detailed Plan","7-Mar-13","19-Mar-13","-2",""
"","Factual Report","7-Mar-13","19-Mar-13","-2",""
"","Detailed Plan","8-Mar-13","12-Mar-13","6","1"
"","Detailed Plan & Estidama","8-Mar-13","17-Mar-13","1","1"
"","Detailed Plan","5-Jan-12","15-Jan-12","0","1"
"","Detailed Plan & Estidama","9-Jan-12","15-Jan-12","4","1"
"","Method Statement","9-Jan-12","15-Jan-13","4","1"
"","Detailed Plan","10-Jan-12","22-Jan-12","-2",""
"","Concept Plan","11-Jan-12","19-Jan-12","2","1"
"","Detailed Plan & Estidama","3-Feb-12","13-Feb-12","0","1"
"","Work Description","3-Feb-12","9-Feb-12","3","1"
"","Detailed Plan & Estidama","3-Feb-12","14-Feb-12","-1",""
"","Detailed Plan & Estidama","4-Feb-12","14-Feb-12","0","1"
"","Detailed Plan & Estidama","2-Mar-12","12-Mar-12","0","1"
"","Detailed Plan","6-Mar-12","17-Mar-12","-1",""
"","Method Statement","5-Mar-12","15-Mar-12","0","1"
"Mobilization","Site Mobilization","5-Jan-13","15-Jan-13","0","1"
"","Temporary Fence","11-Jan-12","19-Jan-12","2","1"
"","Temporary Fence","3-Feb-12","9-Feb-12","3","1"
"","Temporary Fence","4-Feb-13","14-Feb-13","0","1"
"","Site Mobilization","10-Jan-13","22-Jan-13","-2",""
"","Site Mobilization","3-Feb-12","14-Feb-12","-1",""
"","Site Mobilization","10-Jan-12","22-Jan-12","-2",""
"","Site Mobilization","4-Feb-13","14-Feb-13","0","1"
"","Temporary Fence","6-Mar-12","17-Mar-12","-1",""
"","Temporary Fence","4-Feb-13","14-Feb-13","0","1"
"","Site Mobilization","7-Mar-13","19-Mar-13","-2",""
"","Site Mobilization","6-Mar-12","17-Mar-12","-1",""
"DOT","DOT","5-Jan-13","15-Jan-13","0","1"
"","DOT","5-Jan-12","15-Jan-12","0","1"
"","DOT","3-Feb-13","13-Feb-13","0","1"
"","DOT","3-Feb-12","13-Feb-12","0","1"
"","DOT","4-Feb-12","14-Feb-12","0","1"
"","DOT","2-Mar-12","12-Mar-12","0","1"
"","DOT","20-Jan-13","10-Feb-13","-10",""
"","DOT","10-Jan-12","22-Jan-12","-2",""
"","DOT","7-Mar-13","19-Mar-13","-2",""
"","DOT","8-Mar-13","12-Mar-13","6","1"
