"Agent Code","Team","Staff Initials & Name"
"CCL","SALES","SALES"
"","SALES","AGP"
"","SALES","PPL"
"","SALES","LYN"
"","SALES","HEP"
"","SALES","SUB-TOTAL FOR TEAM"
"","UNASSGN","UNASSGN"
"","UNASSGN","PNG"
"","UNASSGN","WIT"
"","UNASSGN","SUB-TOTAL FOR TEAM"
"","SUB-TOTAL FOR AGENT CODE","SUB-TOTAL FOR AGENT CODE"
"TAB","SUB-TOTAL FOR AGENT CODE","TAB"
"","SUB-TOTAL FOR AGENT CODE","UNASSGN"
"","SUB-TOTAL FOR AGENT CODE","WEB"
"","SUB-TOTAL FOR AGENT CODE","SUB-TOTAL FOR TEAM"
"","SUB-TOTAL FOR AGENT CODE","SUB-TOTAL FOR AGENT CODE"
