"","2012","","","","","","","","","2013","","","","","","","","","2014","","","","","","","",""
"","Fitch","","","S&P","","","Moody's","","","Fitch","","","S&P","","","Moody's","","","Fitch","","","S&P","","","Moody's","",""
"Company","Type of Audit","Month","Company Rating","Type of Audit","Month","Company Rating","Type of Audit","Month","Company Rating","Type of Audit","Month","Company Rating","Type of Audit","Month","Company Rating","Type of Audit","Month","Company Rating","Type of Audit","Month","Company Rating","Type of Audit","Month","Company Rating","Type of Audit","Month","Company Rating"
"Company 1","FULL","MARCH","NORMAL","FULL","JULY","BAD","FULL","MAY","GOOD","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","FULL","MARCH","GOOD"
"Company 2","FULL","AUGUST","GOOD","-","-","-","-","-","-","Credit . ","JULY","-","-","-","-","SPOT","MARCH","NORMAL","SPOT","JUNE","NORMAL","-","-","-","-","-","-"
"Company 3","FULL","FEBRUARY","NORMAL","FULL","JULY","NORMAL","-","-","-","FULL","MARCH","NORMAL","FULL","SEPTEMBER","GOOD","-","-","-","CREDIT .","JANUARY","-","FULL","MARCH","GOOD","-","-","-"
"Company 4","","","","FULL","MARCH","GOOD","-","-","-","FULL","MARCH","GOOD","FULL","AUGUST","GOOD","-","-","-","CREDIT .","JANUARY","-","-","-","-","-","-","-"
"Company 5","FULL","JANUARY","NORMAL","FULL","JULY","NORMAL","-","-","-","FULL","MAY","NORMAL","-","-","-","FULL","JULY","NORMAL","CREDIT .","APRIL","-","-","-","-","-","-","-"
"Company 6","SPOT","JUNE","BAD","FULL","FEBRUARY","NORMAL","-","-","-","FULL","JULY","BAD","FULL","MARCH","GOOD","-","-","-","-","-","-","-","-","-","-","-","-"
"Company 7","FULL","MARCH","NORMAL","FULL","JULY","GOOD","FULL","MAY","GOOD","FULL","APRIL","NORMAL","FULL","SEPTEMBER","GOOD","SPOT","JUNE","BAD","FULL","APRIL","GOOD","-","-","-","-","-","-"
"Company 8","FULL","MAY","GOOD","FULL","OCTOBER","BAD","-","-","-","FULL","APRIL","NORMAL","FULL","NOVEMBER","NORMAL","-","-","-","FULL","FEBRUARY","GOOD","-","-","-","-","-","-"
"Company 9","-","-","-","FULL","MAY","GOOD","-","-","-","FULL","FEBRUARY ","BAD","-","-","-","-","-","-","CREDIT .","MAY","-","-","-","-","-","-","-"
"Company 10","-","-","-","FULL","FEBRUARY","NORMAL","-","-","-","FULL","MARCH","GOOD","FULL","AUGUST","GOOD","-","-","-","CREDIT .","FEBRUARY","-","SPOT","JUNE","BAD","-","-","-"
