"Table 4.  Median usual weekly earnings of part-time wage and salary workers, by selected demographic characteristics, 2016 annual averages","","","","","","","","","",""
"","","","","","","","","","",""
"Characteristic","Total","","","Women","","","Men","","","Women's
earnings
as a
percentage
of men's"
"","Number
of
workers
(thousands)","Median
weekly
earnings","Standard
error
of
median","Number
of
workers
(thousands)","Median
weekly
earnings","Standard
error
of
median","Number
of
workers
(thousands)","Median
weekly
earnings","Standard
error
of
median",""
"","","","","","","","","","",""
"Race and Hispanic or
Latino ethnicity","","","","","","","","","",""
"White","19536","254","1","12913","259","2","6623","244","2","106.1"
"Black or African American","3033","236","3","1917","234","4","1116","238","5","98.3"
"Asian","1305","264","6","827","267","8","478","260","8","102.7"
"Hispanic or Latino ethnicity","4115","247","3","2667","246","3","1449","250","5","98.4"
"","","","","","","","","","",""
"Age","","","","","","","","","",""
"Total, 16 years and older","24832","252","1","16259","255","2","8573","245","2","104.1"
"16 to 24 years","8456","194","1","4698","193","2","3758","196","2","98.5"
"16 to 19 years","3572","157","2","1893","152","3","1678","162","3","93.8"
"20 to 24 years","4884","222","2","2805","220","2","2080","225","3","97.8"
"25 years and older","16376","291","2","11561","291","2","4815","292","3","99.7"
"25 to 34 years","4256","286","3","2831","287","4","1424","284","4","101.1"
"35 to 44 years","3189","303","4","2493","304","5","696","301","9","101"
"45 to 54 years","3119","312","4","2454","310","5","665","319","7","97.2"
"55 to 64 years","3254","298","4","2304","296","5","950","303","8","97.7"
"65 years and older","2559","254","4","1479","241","5","1080","274","7","88"
"","","","","","","","","","",""
"Marital status","","","","","","","","","",""
"Never married","11991","214","1","6648","213","2","5342","216","2","98.6"
"Married, spouse present(1)","9310","307","2","6923","305","3","2387","312","5","97.8"
"Widowed, divorced, or separated(2)","3531","270","3","2688","268","4","843","279","7","96.1"
"Widowed","749","247","7","637","246","8","112","250","22","98.4"
"Divorced","1957","286","5","1463","281","6","495","299","10","94"
"Separated(2)","825","259","6","589","260","7","236","258","10","100.8"
"","","","","","","","","","",""
"Footnotes:","","","","","","","","","",""
"(1) Refers to people in opposite-sex married couples only. See the technical notes section.","","","","","","","","","",""
"(2) Separated includes people who are married, spouse absent. See the technical notes section.","","","","","","","","","",""
"Note: Estimates for the race groups shown (White, Black or African American, and Asian) do not sum to totals because data are not presented for all race groups. People of Hispanic or Latino ethnicity may be of any race; estimates for the race groups include Hispanics.
Source: U.S. Bureau of Labor Statistics.","","","","","","","","","",""
