"Table 20. Inflation-adjusted median hourly earnings, by age, for wage and salary workers paid hourly rates, 1979–2016 annual averages (in constant 2016 dollars)","","","","","","","","","",""
"","","","","","","","","","",""
"Year","Total, 16 years and older","16 to 24 years","","","25 years and older","","","","",""
"","","Total","16 to 19 years","20 to 24 years","Total","25 to 34 years","35 to 44 years","45 to 54 years","55 to 64 years","65 years and older"
"","","","","","","","","","",""
"Total","","","","","","","","","",""
"1979","13.7","10.77","9.57","12.41","15.77","16.05","16.33","15.93","15.34","9.97"
"1980","13.39","10.31","8.94","11.92","15.42","15.72","16","15.69","14.97","9.89"
"1981","13.07","10.08","9.09","11.7","15.2","15.46","15.74","15.25","14.75","9.95"
"1982","12.92","9.69","8.61","11.15","15.02","15.19","15.81","15.36","14.62","9.86"
"1983","12.82","9.36","8.28","10.76","15.02","14.91","15.85","15.44","14.7","10.09"
"1984","12.84","9.21","8.04","10.62","15.07","14.91","15.79","15.59","14.58","10.2"
"1985","12.83","9.06","7.81","10.51","15","14.72","15.94","15.68","14.7","10.09"
"1986","12.97","9.23","7.76","10.59","15.13","14.67","16.3","16.17","15","10.4"
"1987","13.07","9.27","7.7","10.53","15.07","14.53","16.04","15.88","14.99","10.26"
"1988","13.14","9.36","7.87","10.51","15.12","14.51","15.96","15.94","14.61","10.21"
"1989","13.07","9.25","7.89","10.56","14.84","14.28","16","15.74","14.62","10.13"
"1990","12.89","9.2","8","10.53","14.55","14.08","15.72","15.67","14.3","10.25"
"1991","12.89","9.04","8.06","10.31","14.57","13.81","15.76","15.65","14.07","10.21"
"1992","12.95","9.01","7.94","10.12","14.65","13.71","15.74","15.97","14.23","10.3"
"1993","12.88","9.02","7.86","10.07","14.65","13.54","15.73","16.14","14.57","10.46"
"1994","12.84","9.01","7.87","9.97","14.62","13.43","15.9","16.06","14.46","10.24"
"1995","12.79","9.08","7.89","10.05","14.65","13.63","15.68","15.85","14.4","10.41"
"1996","12.8","9.05","7.88","10.2","14.66","13.45","15.46","15.61","14.31","10.32"
